,start_rnd,duration_rnd,loudness_start,rem_loudness_start,loud_start_diff,loudness_max,rem_loudness_max,loud_max_diff,pitches,rem_pitches,pitch_eucl_dist,timbre,rem_timbre,timbre_eucl_dist
0,0.0,0.7,-60.0,-60.0,0.0,-20.934,-20.934,0.0,"[0.115, 0.281, 0.095, 0.079, 0.135, 0.17, 1.0, 0.529, 0.105, 0.052, 0.084, 0.084]","[0.115, 0.281, 0.095, 0.079, 0.135, 0.17, 1.0, 0.529, 0.105, 0.052, 0.084, 0.084]",0.0,"[17.013, -1.234, 101.233, -276.977, 87.097, 100.228, 56.061, -121.836, -45.359, 103.176, -87.455, 7.384]","[17.013, -1.234, 101.233, -276.977, 87.097, 100.228, 56.061, -121.836, -45.359, 103.176, -87.455, 7.384]",0.0
1,0.7,0.3,-44.333999999999996,-44.333999999999996,0.0,-41.001999999999995,-41.001999999999995,0.0,"[0.713, 0.586, 0.47, 0.528, 0.355, 0.421, 0.427, 0.361, 0.446, 0.416, 0.452, 1.0]","[0.713, 0.586, 0.47, 0.528, 0.355, 0.421, 0.427, 0.361, 0.446, 0.416, 0.452, 1.0]",0.0,"[17.184, -14.772, 23.774, 4.249, 34.029, -49.276, 16.847, 13.623, -4.56, -2.106, -11.261, -4.36]","[17.184, -14.772, 23.774, 4.249, 34.029, -49.276, 16.847, 13.623, -4.56, -2.106, -11.261, -4.36]",0.0
2,1.0,0.3,-47.386,-47.383,0.0030000000000001137,-22.768,-22.616,0.15200000000000102,"[0.288, 0.441, 0.434, 0.465, 0.446, 0.476, 1.0, 0.257, 0.222, 0.241, 0.261, 0.334]","[0.25, 0.372, 0.344, 0.372, 0.383, 0.471, 1.0, 0.256, 0.193, 0.194, 0.221, 0.283]",0.18493242008906932,"[25.22, -96.953, 27.036, -163.901, 36.327, 45.698, -9.921, 1.484, -32.138, 77.882, -5.837, 0.602]","[25.098, -73.867, 29.217, -166.947, 30.812, 40.186, -16.095, 29.574, -30.529, 79.203, 2.651, -2.304]",38.984635486304086
3,1.3,0.2,-31.109,-30.581999999999997,0.5270000000000046,-22.715,-22.728,-0.013000000000001677,"[0.083, 0.118, 0.1, 0.167, 0.233, 0.867, 1.0, 0.301, 0.076, 0.043, 0.057, 0.086]","[0.162, 0.221, 0.207, 0.366, 0.427, 1.0, 0.977, 0.318, 0.142, 0.109, 0.167, 0.132]",0.38336796944971807,"[29.675, 22.623, -43.088, 51.302, -31.294, 35.321, -57.569, -52.153, -44.844, 49.776, -102.817, -4.859]","[29.85, -57.949, -74.434, 108.062, -27.699, -12.492, -63.469, 17.905, -36.201, 4.995, -55.362, -13.602]",149.48760472694718
4,1.5,0.5,-45.082,-45.205,-0.12299999999999756,-19.378,-18.277,1.100999999999999,"[0.047, 0.045, 0.038, 0.065, 0.112, 0.112, 0.164, 0.437, 0.555, 1.0, 0.176, 0.06]","[0.047, 0.047, 0.039, 0.066, 0.112, 0.112, 0.164, 0.437, 0.555, 1.0, 0.176, 0.06]",0.0024494897427831805,"[27.738, -96.704, 11.267, -177.86, 22.926, 53.795, -24.995, 36.005, -29.322, 39.964, -10.658, -4.383]","[27.724, -97.882, 12.064, -176.126, 21.199, 52.013, -25.319, 35.676, -30.733, 43.041, -5.169, -6.151]",7.490988586294872
5,1.9,0.4,-34.488,-33.979,0.5090000000000003,-18.727999999999998,-19.53,-0.8020000000000032,"[0.792, 0.848, 0.703, 0.553, 0.637, 0.637, 0.636, 0.508, 0.38, 0.665, 1.0, 0.972]","[0.79, 0.85, 0.703, 0.553, 0.637, 0.637, 0.637, 0.509, 0.381, 0.667, 1.0, 0.97]",0.004358898943540678,"[37.227, -38.528, 19.351, 36.529, -8.991, -5.724, -65.387, 36.909, -16.731, -12.147, -6.026, -29.906]","[36.847, -45.725, 18.205, 32.638, -5.506, -4.205, -64.178, 40.617, -15.276, -14.158, -11.954, -26.542]",12.275046354291296
6,2.3,0.5,-41.188,-41.568999999999996,-0.3809999999999931,-7.9479999999999995,-8.068,-0.1200000000000001,"[0.084, 0.125, 0.147, 0.09, 0.127, 0.649, 0.241, 0.076, 0.243, 0.121, 1.0, 0.283]","[0.085, 0.126, 0.146, 0.092, 0.128, 0.648, 0.242, 0.078, 0.243, 0.122, 1.0, 0.284]",0.0040000000000000036,"[45.629, 28.252, -15.202, -77.932, 16.656, 27.29, -5.737, 66.285, 12.797, -14.262, -7.316, 12.665]","[45.618, 28.301, -15.835, -77.535, 17.173, 29.118, -5.399, 66.443, 13.373, -13.969, -5.963, 12.656]",2.5607061526071284
7,2.8,0.3,-21.701,-21.531,0.1700000000000017,-7.854,-7.892,-0.038000000000000256,"[0.148, 0.227, 0.209, 0.147, 0.189, 0.627, 0.357, 0.118, 0.418, 0.134, 1.0, 0.305]","[0.148, 0.227, 0.209, 0.147, 0.189, 0.627, 0.357, 0.118, 0.418, 0.134, 1.0, 0.305]",0.0,"[47.427, 24.731, 0.778, -105.806, 19.323, -0.047, -6.853, 40.633, 10.111, -7.876, 0.628, 10.913]","[47.452, 24.783, 1.235, -105.349, 18.741, -0.777, -7.014, 40.586, 9.677, -8.225, 0.365, 10.602]",1.340458130640415
8,3.1,0.5,-14.375,-14.39,-0.015000000000000568,-7.619,-7.415,0.20399999999999974,"[0.142, 0.12, 0.162, 0.11, 0.159, 0.685, 0.228, 0.073, 0.209, 0.119, 1.0, 0.317]","[0.142, 0.12, 0.162, 0.111, 0.159, 0.685, 0.228, 0.073, 0.208, 0.119, 1.0, 0.318]",0.001732050807568879,"[49.873, 83.935, -7.264, -32.205, 29.842, -21.638, -4.931, 5.283, 25.153, -16.122, 3.321, 8.442]","[49.882, 83.758, -7.095, -32.542, 29.969, -21.035, -4.607, 5.585, 25.151, -16.263, 3.981, 8.208]",1.1223631319675496
9,3.6,0.3,-14.014000000000001,-13.953,0.06100000000000172,-7.058,-7.013,0.04499999999999993,"[0.161, 0.237, 0.274, 0.143, 0.198, 0.655, 0.384, 0.244, 0.447, 0.129, 1.0, 0.327]","[0.16, 0.237, 0.275, 0.143, 0.197, 0.655, 0.384, 0.244, 0.447, 0.13, 1.0, 0.327]",0.0020000000000000018,"[49.716, 34.106, 8.319, -68.748, 26.75, -24.079, -5.746, 23.36, 24.464, -0.469, -4.724, 10.314]","[49.687, 33.561, 8.422, -69.757, 27.355, -23.128, -4.949, 24.042, 24.107, -1.52, -4.879, 10.004]",2.247107029048685
