,start_rnd,duration_rnd,loudness_start,rem_loudness_start,loud_start_diff,loudness_max,rem_loudness_max,loud_max_diff,pitches,rem_pitches,pitch_eucl_dist,timbre,rem_timbre,timbre_eucl_dist
0,3.6,0.4,-27.075,-26.513,0.5619999999999976,-7.4239999999999995,-7.023,0.4009999999999998,"[0.476, 0.426, 0.372, 0.358, 0.49, 0.286, 0.587, 1.0, 0.668, 0.531, 0.574, 0.762]","[0.72, 0.45, 0.407, 0.327, 0.447, 0.513, 0.512, 1.0, 0.68, 0.711, 0.712, 0.793]",0.4169532347877877,"[45.649, 44.663, 34.028, 63.98, -2.478, 20.167, -0.167, 16.177, -3.699, -11.265, 28.677, -42.241]","[43.793, 13.427, 23.038, 69.46, 18.75, 48.437, 5.758, 30.579, 6.123, -27.728, 3.026, -39.341]",60.466295562073256
1,5.0,0.4,-25.58,-22.179000000000002,3.4009999999999962,-4.135,-4.266,-0.13100000000000023,"[0.707, 0.55, 0.357, 0.25, 0.46, 0.367, 0.486, 0.797, 0.376, 0.233, 0.501, 1.0]","[0.621, 0.537, 0.307, 0.279, 0.466, 0.362, 0.475, 0.671, 0.378, 0.272, 0.4, 1.0]",0.19669773765857093,"[47.181, 52.363, 10.145, 92.612, -0.286, 27.433, -7.269, 15.64, -12.907, -14.127, 23.255, -31.425]","[46.966, 29.673, 17.364, 77.558, 15.157, 30.928, -1.909, 11.301, -5.392, -24.292, 18.464, -23.857]",36.49531137009246
2,6.3,0.4,-27.546999999999997,-25.619,1.9279999999999973,-6.914,-6.4079999999999995,0.5060000000000002,"[0.493, 0.312, 0.406, 0.267, 0.476, 0.256, 0.484, 1.0, 0.676, 0.59, 0.771, 0.583]","[0.579, 0.413, 0.382, 0.306, 0.549, 0.344, 0.453, 1.0, 0.686, 0.679, 0.752, 0.729]",0.2518451905437148,"[44.584, 30.559, 8.038, 107.153, 4.011, 16.738, 2.646, 13.564, 7.172, -15.765, -7.583, -28.833]","[42.612, 28.966, 43.831, 47.652, 9.612, 66.341, -0.256, 24.272, -5.873, -4.939, -27.668, -31.948]",90.24040509660847
3,6.7,0.4,-28.043000000000003,-25.25,2.793000000000003,-4.6819999999999995,-4.937,-0.2550000000000008,"[0.232, 0.069, 0.029, 0.06, 0.078, 0.091, 0.308, 0.129, 0.093, 0.103, 0.215, 1.0]","[0.991, 0.771, 0.406, 0.359, 0.558, 0.573, 0.587, 0.866, 0.37, 0.519, 0.559, 1.0]",1.6589966847465367,"[47.996, -31.355, -11.277, 16.425, 16.839, 23.373, 1.302, 10.938, 11.278, -52.616, -36.464, -9.799]","[44.258, 26.709, 10.965, 72.509, 28.301, 61.335, -5.519, 27.017, 7.203, -34.608, -11.364, -31.447]",101.69863874703535
4,7.6,0.5,-16.346,-28.085,-11.739,-5.047,-4.917,0.1299999999999999,"[0.077, 0.056, 0.101, 0.186, 1.0, 0.084, 0.068, 0.094, 0.056, 0.066, 0.071, 0.12]","[0.178, 0.057, 0.027, 0.059, 0.097, 0.103, 0.355, 0.112, 0.082, 0.095, 0.171, 1.0]",1.3100332056860238,"[46.005, 37.472, -30.177, -42.219, -13.614, -9.851, 11.079, 11.787, -1.565, 13.181, -40.495, -21.98]","[47.293, -49.815, -16.94, 20.601, 21.138, 24.076, 4.409, 12.024, 8.229, -56.755, -37.11, -6.294]",139.24802740793135
5,8.5,0.5,-22.729,-16.442999999999998,6.286000000000001,-4.1819999999999995,-5.29,-1.1080000000000005,"[0.258, 0.374, 0.283, 0.232, 1.0, 0.57, 0.365, 0.507, 0.216, 0.247, 0.306, 0.425]","[0.077, 0.058, 0.104, 0.187, 1.0, 0.092, 0.074, 0.099, 0.058, 0.067, 0.075, 0.12]",0.9219880693371254,"[44.543, -29.962, 4.13, -44.089, -9.624, 37.573, 22.946, 26.182, 6.268, -10.951, -38.491, -14.718]","[45.663, 35.642, -30.735, -41.828, -6.51, -11.664, 12.333, 10.177, -3.436, 16.073, -40.798, -20.094]",95.8503121434667
6,8.9,0.4,-21.965999999999998,-18.160999999999998,3.8049999999999997,-6.303,-6.662000000000001,-0.3590000000000009,"[1.0, 0.517, 0.536, 0.387, 0.658, 0.33, 0.388, 0.975, 0.512, 0.493, 0.516, 0.654]","[0.061, 0.059, 0.07, 0.27, 1.0, 0.084, 0.08, 0.135, 0.101, 0.091, 0.12, 0.096]",1.7603917177719282,"[46.882, -33.357, 18.951, 31.298, 16.693, 26.104, 19.982, -1.782, 13.333, -41.958, -22.08, -6.615]","[46.132, 5.354, 3.514, 32.874, -9.59, 21.541, 34.082, 29.451, 1.575, -21.905, -44.843, -12.41]",68.68715804282486
7,11.2,0.4,-16.343,-24.05,-7.707000000000001,-5.148,-4.408,0.7399999999999993,"[0.077, 0.045, 0.07, 0.234, 1.0, 0.113, 0.063, 0.064, 0.04, 0.069, 0.122, 0.149]","[0.268, 0.127, 0.055, 0.098, 0.165, 0.179, 0.276, 0.117, 0.104, 0.09, 0.176, 1.0]",1.2423119576016324,"[48.071, 31.739, -8.173, 10.05, -4.653, 15.356, 12.569, 21.184, -11.108, 1.364, -29.028, -17.026]","[49.526, -13.245, -29.26, 69.983, 22.888, -13.309, 1.029, -28.77, -5.462, -28.068, -10.384, -0.794]",108.53691750275573
8,11.6,0.4,-18.668,-19.233,-0.5650000000000013,-6.27,-6.973,-0.7030000000000003,"[0.044, 0.042, 0.04, 0.209, 1.0, 0.08, 0.075, 0.064, 0.043, 0.032, 0.042, 0.067]","[0.137, 0.106, 0.175, 0.579, 1.0, 0.906, 0.293, 0.132, 0.078, 0.09, 0.123, 0.255]",0.9740574931696794,"[46.917, 8.645, -24.193, 15.489, -26.776, 32.455, 18.728, 14.362, 1.264, -11.861, -27.74, -18.787]","[49.086, 20.322, -17.715, 6.772, -15.249, -25.013, -1.027, 41.314, -4.625, -0.882, 3.326, -12.064]",77.30869544883033
9,12.1,0.4,-19.778,-16.546,3.2319999999999993,-3.95,-5.247000000000001,-1.2970000000000006,"[0.114, 0.067, 0.113, 0.307, 1.0, 0.289, 0.156, 0.217, 0.091, 0.096, 0.094, 0.218]","[0.074, 0.045, 0.076, 0.228, 1.0, 0.123, 0.067, 0.072, 0.041, 0.064, 0.115, 0.148]",0.27397262636986197,"[48.288, 1.608, -21.028, 23.078, -9.855, 39.509, 21.078, 2.045, 11.356, -33.267, -6.296, -20.937]","[48.339, 23.591, -13.536, 23.338, 2.491, 8.244, 12.827, 20.205, -12.446, -5.581, -22.841, -17.263]",60.725004709756924
