,start_rnd,duration_rnd,loudness_start,rem_loudness_start,loud_start_diff,loudness_max,rem_loudness_max,loud_max_diff,pitches,rem_pitches,pitch_eucl_dist,timbre,rem_timbre,timbre_eucl_dist
0,0.6,0.2,-19.738,-19.840999999999998,-0.10299999999999798,-6.152,-6.167999999999999,-0.015999999999999126,"[0.214, 0.223, 0.203, 0.4, 0.533, 0.748, 1.0, 0.869, 0.769, 0.17, 0.169, 0.195]","[0.212, 0.219, 0.189, 0.391, 0.529, 0.692, 1.0, 0.886, 0.774, 0.169, 0.158, 0.191]",0.062457985878508815,"[47.588, 96.142, -55.139, -6.409, 0.509, 19.23, -19.935, 31.713, -14.569, 49.521, 12.383, 2.802]","[47.465, 102.442, -54.042, -14.891, 1.439, 26.67, -17.896, 28.125, -14.934, 58.425, 0.452, 3.805]",20.22057956637247
1,0.8,0.2,-18.34,-18.281,0.05900000000000105,-8.772,-8.783,-0.010999999999999233,"[0.919, 0.707, 0.461, 0.605, 0.703, 0.203, 0.104, 0.719, 1.0, 0.255, 0.188, 0.709]","[0.904, 0.711, 0.461, 0.604, 0.699, 0.204, 0.106, 0.719, 1.0, 0.257, 0.19, 0.702]",0.017888543819998333,"[44.045, 54.766, -125.869, -0.505, -24.424, -92.136, -46.218, 20.971, 3.626, -4.894, -13.805, -3.022]","[44.037, 53.837, -126.295, -3.954, -26.794, -95.319, -48.189, 21.837, 6.584, -8.802, -15.066, -1.413]",7.84376172509084
2,1.0,0.2,-22.549,-22.438000000000002,0.1109999999999971,-9.363999999999999,-9.208,0.1559999999999988,"[1.0, 0.477, 0.263, 0.611, 0.637, 0.245, 0.168, 0.76, 0.796, 0.31, 0.302, 0.927]","[1.0, 0.49, 0.28, 0.609, 0.618, 0.26, 0.177, 0.725, 0.758, 0.288, 0.277, 0.917]",0.070760158281338,"[43.418, 51.025, -139.872, 11.378, -25.689, -87.597, -49.118, 2.74, 6.256, -7.431, -11.648, -7.499]","[43.568, 50.937, -137.322, 10.376, -25.853, -90.905, -49.156, 1.218, 7.308, -7.996, -13.412, -5.014]",5.615806798671061
3,1.2,0.2,-24.394000000000002,-24.397,-0.002999999999996561,-8.54,-8.441,0.09899999999999842,"[0.518, 0.385, 0.319, 0.28, 0.116, 0.11, 0.434, 0.435, 1.0, 0.997, 0.924, 0.056]","[0.525, 0.444, 0.331, 0.286, 0.147, 0.143, 0.442, 0.441, 1.0, 0.998, 0.898, 0.051]",0.08100617260431454,"[42.288, 21.013, -140.753, 44.286, -39.24, -96.632, -52.304, 7.991, -4.841, 12.042, -20.064, -10.913]","[42.35, 21.643, -143.509, 40.482, -31.159, -75.97, -47.41, 4.29, -9.551, 23.839, -10.724, -10.942]",28.300634056501284
4,1.4,0.2,-27.125999999999998,-26.921999999999997,0.20400000000000063,-7.303,-7.438,-0.1349999999999998,"[0.135, 0.25, 0.229, 0.358, 0.55, 0.504, 1.0, 0.942, 0.669, 0.165, 0.121, 0.116]","[0.139, 0.257, 0.226, 0.348, 0.544, 0.462, 1.0, 0.96, 0.684, 0.167, 0.118, 0.116]",0.050358713248056686,"[43.905, 63.822, -61.724, -47.976, 2.497, 81.155, -2.853, 43.793, -11.955, 16.919, -12.368, -10.195]","[43.476, 64.919, -57.647, -62.37, 2.298, 81.178, -2.36, 42.16, -13.583, 19.876, -27.197, -9.888]",21.43674896060501
5,1.8,0.2,-30.526,-30.344,0.1819999999999986,-19.132,-19.055,0.07700000000000173,"[0.338, 0.609, 0.215, 1.0, 0.614, 0.046, 0.133, 0.832, 0.5, 0.206, 0.132, 0.168]","[0.335, 0.609, 0.225, 1.0, 0.617, 0.046, 0.13, 0.824, 0.503, 0.208, 0.137, 0.167]",0.015165750888103114,"[35.016, 122.126, -163.929, -12.64, -0.708, 7.215, -24.452, -45.983, 25.017, -42.765, 2.024, -9.429]","[34.799, 116.078, -161.469, -19.75, -0.768, 18.301, -22.148, -34.955, 30.777, -53.771, -0.814, -9.894]",22.486382412473557
6,2.9,0.2,-31.933000000000003,-31.026999999999997,0.9060000000000059,-8.15,-8.236,-0.0860000000000003,"[0.894, 0.604, 0.315, 0.228, 0.278, 0.263, 0.172, 0.478, 0.829, 0.397, 0.096, 1.0]","[0.903, 0.616, 0.311, 0.229, 0.273, 0.257, 0.174, 0.473, 0.814, 0.399, 0.095, 1.0]",0.023706539182259418,"[42.185, 3.152, -157.389, 61.954, -20.958, -87.322, -45.364, -14.901, -5.655, 6.42, -39.856, 1.962]","[42.273, 11.592, -162.237, 60.34, -15.608, -66.312, -41.157, -13.513, -11.654, 21.8, -28.505, -0.62]",31.544599585348998
7,3.1,0.2,-28.987,-28.869,0.11799999999999855,-7.787000000000001,-7.615,0.1720000000000006,"[0.242, 0.329, 0.208, 0.183, 0.234, 0.391, 0.404, 1.0, 0.766, 0.16, 0.18, 0.164]","[0.24, 0.329, 0.21, 0.184, 0.238, 0.399, 0.41, 1.0, 0.77, 0.156, 0.178, 0.166]",0.012845232578665105,"[46.813, 58.97, -67.728, 36.279, -3.369, -40.789, -17.217, 35.129, 1.608, -30.318, -14.522, -6.984]","[46.585, 57.162, -74.228, 32.633, -1.759, -9.175, -13.393, 40.318, 0.975, -21.006, 7.771, -12.777]",41.47409659052262
8,3.3,0.2,-23.875999999999998,-23.414,0.4619999999999962,-15.627,-15.212,0.4150000000000009,"[1.0, 0.761, 0.384, 0.289, 0.298, 0.384, 0.321, 0.287, 0.333, 0.392, 0.378, 0.695]","[1.0, 0.752, 0.373, 0.269, 0.266, 0.371, 0.303, 0.271, 0.319, 0.371, 0.353, 0.663]",0.0682715167547931,"[35.668, 87.391, -158.715, 46.853, 19.327, -34.311, 1.622, -5.883, 13.914, -72.271, -21.15, 7.552]","[35.726, 89.044, -160.835, 49.243, 22.196, -35.71, -0.652, -8.699, 14.6, -70.917, -16.482, 6.283]",7.869946886733098
9,4.6,0.2,-30.250999999999998,-30.184,0.06699999999999662,-8.299,-8.238999999999999,0.0600000000000005,"[0.887, 0.952, 0.542, 0.702, 0.747, 0.269, 0.252, 0.746, 1.0, 0.299, 0.089, 0.312]","[0.897, 0.966, 0.556, 0.714, 0.75, 0.266, 0.252, 0.747, 1.0, 0.296, 0.089, 0.321]",0.027294688127912387,"[40.819, -6.715, -179.454, 65.981, -6.797, -105.43, -46.2, -18.583, -6.744, 4.29, -51.826, -0.097]","[40.912, -5.872, -178.461, 65.788, -8.11, -107.308, -45.641, -18.452, -8.533, -0.341, -50.605, -1.237]",5.8957793377975065
