,start_rnd,duration_rnd,loudness_start,rem_loudness_start,loud_start_diff,loudness_max,rem_loudness_max,loud_max_diff,pitches,rem_pitches,pitch_eucl_dist,timbre,rem_timbre,timbre_eucl_dist
0,0.4,0.2,-19.317,-19.482,-0.16499999999999915,-13.939,-14.923,-0.984,"[0.033, 0.065, 0.037, 0.036, 0.593, 0.577, 0.996, 1.0, 0.377, 0.394, 0.013, 0.002]","[0.612, 0.364, 0.307, 0.417, 1.0, 0.493, 0.279, 0.268, 0.119, 0.615, 0.138, 0.217]",1.4291871815825945,"[43.127, 65.9, -55.457, -40.077, -16.985, -26.9, 31.66, 29.943, -57.885, -23.638, -7.094, 11.257]","[41.757, 49.343, -57.733, -37.261, -9.004, -29.671, 34.075, 38.36, -65.782, -23.53, -9.487, 7.751]",22.75009571408437
1,0.8,0.4,-22.846999999999998,-25.808000000000003,-2.9610000000000056,-1.7719999999999998,-2.795,-1.0230000000000001,"[0.803, 0.226, 0.174, 0.23, 1.0, 0.649, 0.393, 0.228, 0.21, 0.85, 0.324, 0.367]","[0.756, 0.196, 0.159, 0.219, 1.0, 0.735, 0.403, 0.229, 0.206, 0.812, 0.302, 0.391]",0.11606894502837524,"[49.317, 76.487, -56.554, 118.011, -21.925, -35.484, -54.22, 18.439, -4.962, -23.751, 0.832, -1.739]","[47.792, 56.967, -67.356, 115.782, -3.183, -8.837, -42.784, 25.957, -5.48, -11.64, 13.029, -0.702]",45.28158661089516
2,1.2,0.3,-20.183,-21.9,-1.7169999999999987,-10.81,-11.465,-0.6549999999999994,"[0.391, 0.541, 0.879, 1.0, 0.746, 0.241, 0.174, 0.247, 0.342, 0.573, 0.822, 0.71]","[0.372, 0.538, 0.936, 1.0, 0.713, 0.204, 0.167, 0.237, 0.297, 0.539, 0.905, 0.813]",0.16402743672934725,"[43.703, 32.69, -7.638, 24.045, 11.985, 5.384, -46.31, 43.72, 20.689, 21.927, -32.092, -30.295]","[43.483, 9.523, -12.919, 31.445, 15.884, 0.028, -39.128, 35.581, 16.681, 24.822, -32.333, -18.948]",30.56760067457045
3,1.5,0.3,-29.045,-28.775,0.2700000000000031,-13.568,-14.478,-0.9100000000000001,"[0.775, 0.347, 0.144, 0.036, 0.142, 0.112, 0.037, 0.066, 0.081, 0.062, 0.057, 1.0]","[0.82, 0.383, 0.171, 0.071, 0.151, 0.129, 0.045, 0.088, 0.1, 0.085, 0.055, 1.0]",0.08418432158068388,"[41.386, 5.119, -38.661, -4.499, -44.662, 2.486, -31.163, 27.232, -7.235, 62.217, 26.267, -18.743]","[39.037, 27.288, -16.349, -23.955, -38.166, 38.999, -16.985, -7.379, -12.445, 74.109, -4.063, -16.383]",72.39972441936503
4,4.4,0.3,-16.994,-16.750999999999998,0.2430000000000021,-8.587,-9.255,-0.668000000000001,"[0.512, 0.369, 0.622, 0.396, 0.256, 0.329, 0.239, 1.0, 0.276, 0.286, 0.219, 0.238]","[0.494, 0.387, 0.605, 0.442, 0.267, 0.327, 0.251, 1.0, 0.247, 0.278, 0.206, 0.27]",0.07362064927722387,"[47.994, -8.977, 5.056, -9.864, -17.438, -5.829, 26.271, 33.866, -8.372, -21.63, -12.462, 0.62]","[47.487, -26.038, 3.427, 6.962, -7.316, -13.518, 32.307, 31.037, -13.89, -21.816, -16.445, -2.668]",28.98746249674159
5,4.7,0.2,-16.698,-18.074,-1.3760000000000012,-13.024000000000001,-13.589,-0.5649999999999995,"[0.447, 0.437, 0.406, 0.087, 0.371, 0.649, 1.0, 0.792, 0.876, 0.96, 0.83, 0.906]","[0.427, 0.422, 0.458, 0.104, 0.381, 0.707, 1.0, 0.781, 0.861, 0.952, 0.876, 0.843]",0.11652038448271618,"[43.289, 33.462, -12.69, -2.353, -12.188, -63.182, 20.007, -17.481, -63.64, 4.224, -11.236, 46.12]","[42.309, 15.349, -13.112, 13.489, -8.825, -63.911, 20.393, -11.223, -69.281, 7.749, -13.892, 44.815]",26.159985741586333
6,6.8,0.3,-27.303,-26.247,1.056000000000001,-16.274,-17.05,-0.7759999999999998,"[0.096, 0.206, 0.466, 1.0, 0.325, 0.111, 0.126, 0.141, 0.117, 0.25, 0.712, 0.158]","[0.062, 0.156, 0.415, 1.0, 0.277, 0.098, 0.123, 0.138, 0.093, 0.242, 0.763, 0.117]",0.11691877522451219,"[38.501, 141.467, -63.703, 19.236, -65.91, -30.282, -67.906, -0.528, -25.404, 13.678, -7.14, -51.644]","[37.281, 118.082, -73.129, 11.631, -50.698, -19.471, -59.207, -11.798, -21.695, 11.064, 4.822, -46.923]",37.841343184406135
7,7.5,0.2,-23.706999999999997,-24.662,-0.9550000000000018,-18.541,-20.345,-1.8039999999999985,"[0.181, 0.123, 0.238, 0.091, 0.035, 1.0, 0.191, 0.025, 0.745, 0.198, 0.035, 0.31]","[0.135, 0.092, 0.276, 0.068, 0.046, 1.0, 0.172, 0.047, 0.638, 0.151, 0.034, 0.328]",0.1414178206592083,"[39.287, 107.036, 9.822, -16.454, -18.428, 2.422, -89.695, -47.077, -30.04, -22.87, 3.956, -41.982]","[37.5, 82.771, 9.581, -25.958, -10.484, -1.724, -90.181, -31.888, -18.212, -29.832, -11.084, -34.744]",38.21736950654767
8,9.0,0.2,-27.576999999999998,-25.570999999999998,2.0060000000000002,-16.635,-19.54,-2.9049999999999976,"[1.0, 0.442, 0.306, 0.181, 0.308, 0.22, 0.16, 0.729, 0.402, 0.49, 0.198, 0.365]","[0.529, 0.155, 0.054, 0.109, 0.776, 0.139, 0.133, 1.0, 0.212, 0.031, 0.079, 0.684]",1.0175244468807616,"[37.025, 106.64, 64.011, -41.757, -27.454, 34.141, -26.205, -50.683, -63.184, -12.53, -31.369, -12.771]","[36.752, 89.882, 1.42, 20.539, -34.952, -39.904, -74.184, -5.05, -71.585, 8.192, 3.613, -30.625]",141.58054553504164
9,10.1,0.3,-15.32,-16.473,-1.1529999999999987,-10.649000000000001,-12.08,-1.4309999999999992,"[0.298, 0.342, 0.674, 0.341, 0.196, 0.176, 0.16, 1.0, 0.288, 0.236, 0.139, 0.138]","[0.404, 0.386, 0.625, 0.357, 0.188, 0.189, 0.142, 1.0, 0.215, 0.226, 0.148, 0.286]",0.20928449536456348,"[45.745, -18.271, -8.238, 38.701, -9.76, -41.015, 27.065, 19.694, 8.191, -13.599, -29.007, 7.981]","[44.622, -56.425, -19.453, 14.147, 3.447, -22.076, 41.498, 38.513, 2.586, -13.195, -18.192, 3.843]",58.7103680451758
