,start_rnd,duration_rnd,loudness_start,rem_loudness_start,loud_start_diff,loudness_max,rem_loudness_max,loud_max_diff,pitches,rem_pitches,pitch_eucl_dist,timbre,rem_timbre,timbre_eucl_dist
0,0.0,0.6,-60.0,-60.0,0.0,-60.0,-60.0,0.0,"[0.973, 0.971, 1.0, 0.89, 0.703, 0.516, 0.451, 0.56, 0.616, 0.57, 0.683, 0.866]","[0.973, 0.971, 1.0, 0.89, 0.703, 0.516, 0.451, 0.56, 0.616, 0.57, 0.683, 0.866]",0.0,"[0.0, 171.13, 9.469, -28.48, 57.491, -50.067, 14.833, 5.359, -27.228, 0.973, -10.64, -7.228]","[0.0, 171.13, 9.469, -28.48, 57.491, -50.067, 14.833, 5.359, -27.228, 0.973, -10.64, -7.228]",0.0
1,0.6,0.4,-60.0,-60.0,0.0,-13.367,-13.367,0.0,"[0.292, 0.08, 0.035, 0.033, 0.038, 0.146, 0.27, 1.0, 0.199, 0.075, 0.077, 0.483]","[0.292, 0.08, 0.035, 0.033, 0.038, 0.146, 0.27, 1.0, 0.199, 0.075, 0.077, 0.483]",0.0,"[34.461, 6.843, 2.147, -38.414, 6.244, 182.582, 61.412, -4.269, -30.169, 47.412, 43.668, 0.616]","[34.461, 6.843, 2.147, -38.414, 6.244, 182.582, 61.412, -4.269, -30.169, 47.412, 43.668, 0.616]",0.0
2,1.0,0.2,-27.267,-27.267,0.0,-20.165,-20.165,0.0,"[0.031, 0.011, 0.024, 0.02, 0.038, 0.086, 0.117, 1.0, 0.578, 0.106, 0.037, 0.142]","[0.031, 0.011, 0.024, 0.02, 0.038, 0.086, 0.117, 1.0, 0.578, 0.106, 0.037, 0.142]",0.0,"[36.141, -32.797, -26.911, -39.12, -30.485, -3.7, 12.915, 12.516, -12.83, -18.329, 0.295, 9.255]","[36.141, -32.797, -26.911, -39.12, -30.485, -3.7, 12.915, 12.516, -12.83, -18.329, 0.295, 9.255]",0.0
3,1.2,0.2,-26.19,-26.19,0.0,-19.873,-19.873,0.0,"[0.009, 0.005, 0.011, 0.005, 0.004, 0.047, 0.275, 1.0, 0.411, 0.022, 0.006, 0.104]","[0.009, 0.005, 0.011, 0.005, 0.004, 0.047, 0.275, 1.0, 0.411, 0.022, 0.006, 0.104]",0.0,"[36.049, -40.699, -64.596, 1.765, -3.534, -62.522, -6.043, -32.185, -12.216, 37.181, -8.13, 5.081]","[36.049, -40.699, -64.596, 1.765, -3.534, -62.522, -6.043, -32.185, -12.216, 37.181, -8.13, 5.081]",0.0
4,1.4,0.4,-28.241,-28.241,0.0,-18.448,-18.448,0.0,"[0.056, 0.015, 0.09, 0.014, 0.02, 0.083, 0.404, 1.0, 0.247, 0.028, 0.009, 0.141]","[0.056, 0.015, 0.09, 0.014, 0.02, 0.083, 0.404, 1.0, 0.247, 0.028, 0.009, 0.141]",0.0,"[37.281, -14.918, -17.852, -0.032, -8.78, 15.231, 28.993, -4.205, -15.626, -7.938, -7.435, 5.83]","[37.281, -14.918, -17.852, -0.032, -8.78, 15.231, 28.993, -4.205, -15.626, -7.938, -7.435, 5.83]",0.0
5,1.9,0.2,-27.226,-27.226,0.0,-25.013,-25.013,0.0,"[0.032, 0.011, 0.055, 0.007, 0.012, 0.054, 0.368, 1.0, 0.194, 0.016, 0.014, 0.117]","[0.032, 0.011, 0.055, 0.007, 0.012, 0.054, 0.368, 1.0, 0.194, 0.016, 0.014, 0.117]",0.0,"[33.196, -31.284, -33.504, -4.37, -1.663, -40.916, 10.33, -24.406, -2.731, 13.729, -16.055, 25.529]","[33.196, -31.284, -33.504, -4.37, -1.663, -40.916, 10.33, -24.406, -2.731, 13.729, -16.055, 25.529]",0.0
6,2.1,0.2,-30.775,-30.775,0.0,-18.439,-18.439,0.0,"[0.108, 0.097, 0.181, 0.071, 0.093, 0.112, 0.382, 1.0, 0.32, 0.11, 0.022, 0.251]","[0.108, 0.097, 0.181, 0.071, 0.093, 0.112, 0.382, 1.0, 0.32, 0.11, 0.022, 0.251]",0.0,"[37.279, 19.459, -50.957, -5.309, -13.564, -62.1, -19.426, -27.665, -23.464, 18.417, -6.296, 0.478]","[37.279, 19.459, -50.957, -5.309, -13.564, -62.1, -19.426, -27.665, -23.464, 18.417, -6.296, 0.478]",0.0
7,2.3,0.4,-26.241,-26.241,0.0,-17.057000000000002,-17.057000000000002,0.0,"[0.099, 0.074, 0.093, 0.02, 0.025, 0.101, 0.288, 1.0, 0.227, 0.067, 0.019, 0.099]","[0.099, 0.074, 0.093, 0.02, 0.025, 0.101, 0.288, 1.0, 0.227, 0.067, 0.019, 0.099]",0.0,"[37.312, -6.616, -25.931, -7.396, -24.977, 3.839, -20.731, -24.862, -9.448, 9.972, -25.683, 6.889]","[37.312, -6.616, -25.931, -7.396, -24.977, 3.839, -20.731, -24.862, -9.448, 9.972, -25.683, 6.889]",0.0
8,2.7,0.2,-28.381,-28.381,0.0,-22.454,-22.454,0.0,"[0.064, 0.021, 0.079, 0.017, 0.028, 0.046, 0.172, 1.0, 0.182, 0.028, 0.017, 0.323]","[0.064, 0.021, 0.079, 0.017, 0.028, 0.046, 0.172, 1.0, 0.182, 0.028, 0.017, 0.323]",0.0,"[34.899, -25.078, -17.734, 7.304, -14.263, -35.475, -9.9, -24.664, -23.079, 20.273, -9.287, 21.127]","[34.899, -25.078, -17.734, 7.304, -14.263, -35.475, -9.9, -24.664, -23.079, 20.273, -9.287, 21.127]",0.0
9,2.9,0.2,-28.929000000000002,-28.929000000000002,0.0,-17.026,-17.026,0.0,"[0.017, 0.005, 0.04, 0.006, 0.006, 0.074, 0.668, 1.0, 0.316, 0.03, 0.007, 0.108]","[0.017, 0.005, 0.04, 0.006, 0.006, 0.074, 0.668, 1.0, 0.316, 0.03, 0.007, 0.108]",0.0,"[38.508, 18.58, -37.45, -6.503, -45.629, -60.622, -40.532, -25.168, -10.979, 24.987, 3.257, -12.199]","[38.508, 18.58, -37.45, -6.503, -45.629, -60.622, -40.532, -25.168, -10.979, 24.987, 3.257, -12.199]",0.0
10,3.1,0.4,-24.408,-24.408,0.0,-15.852,-15.852,0.0,"[0.067, 0.035, 0.116, 0.015, 0.023, 0.083, 0.492, 1.0, 0.19, 0.046, 0.006, 0.185]","[0.067, 0.035, 0.116, 0.015, 0.023, 0.083, 0.492, 1.0, 0.19, 0.046, 0.006, 0.185]",0.0,"[38.342, 26.97, -16.575, 46.031, -3.298, -10.001, 2.468, -50.749, -20.029, 7.712, -35.989, 21.939]","[38.342, 26.97, -16.575, 46.031, -3.298, -10.001, 2.468, -50.749, -20.029, 7.712, -35.989, 21.939]",0.0
11,3.4,0.2,-28.509,-28.509,0.0,-22.796,-22.796,0.0,"[0.073, 0.033, 0.106, 0.032, 0.04, 0.133, 0.852, 1.0, 0.219, 0.061, 0.037, 0.388]","[0.073, 0.033, 0.106, 0.032, 0.04, 0.133, 0.852, 1.0, 0.219, 0.061, 0.037, 0.388]",0.0,"[33.391, -25.614, -9.924, -13.395, 12.635, -18.534, 8.465, -29.644, -14.896, -23.336, -28.195, 18.04]","[33.391, -25.614, -9.924, -13.395, 12.635, -18.534, 8.465, -29.644, -14.896, -23.336, -28.195, 18.04]",0.0
12,3.7,0.2,-30.326,-30.326,0.0,-16.99,-16.99,0.0,"[0.017, 0.007, 0.025, 0.005, 0.005, 0.04, 0.448, 1.0, 0.229, 0.017, 0.005, 0.1]","[0.017, 0.007, 0.025, 0.005, 0.005, 0.04, 0.448, 1.0, 0.229, 0.017, 0.005, 0.1]",0.0,"[37.715, 32.42, -62.797, 9.246, -2.144, -13.689, -14.709, -38.821, 18.24, 20.956, 29.251, -5.7]","[37.715, 32.42, -62.797, 9.246, -2.144, -13.689, -14.709, -38.821, 18.24, 20.956, 29.251, -5.7]",0.0
13,3.9,0.4,-26.302,-26.302,0.0,-19.284000000000002,-19.284000000000002,0.0,"[0.066, 0.044, 0.065, 0.024, 0.029, 0.172, 0.511, 1.0, 0.289, 0.038, 0.019, 0.126]","[0.066, 0.044, 0.065, 0.024, 0.029, 0.172, 0.511, 1.0, 0.289, 0.038, 0.019, 0.126]",0.0,"[37.261, -18.937, -67.788, -1.57, -10.033, -36.218, -20.452, -16.748, 2.141, 0.579, -11.615, 2.639]","[37.261, -18.937, -67.788, -1.57, -10.033, -36.218, -20.452, -16.748, 2.141, 0.579, -11.615, 2.639]",0.0
