,start_rnd,duration_rnd,loudness_start,rem_loudness_start,loud_start_diff,loudness_max,rem_loudness_max,loud_max_diff,pitches,rem_pitches,pitch_eucl_dist,timbre,rem_timbre,timbre_eucl_dist
0,4.7,0.2,-9.603,-18.684,-9.081000000000001,-5.212999999999999,-5.9270000000000005,-0.7140000000000013,"[0.269, 0.338, 0.164, 0.323, 1.0, 0.649, 0.146, 0.06, 0.064, 0.113, 0.657, 0.286]","[0.44, 0.368, 0.262, 0.475, 1.0, 0.135, 0.085, 0.064, 0.091, 0.274, 0.335, 0.553]",0.729660880135423,"[50.868, 46.806, -25.45, 19.293, 41.465, -29.51, -37.036, 22.345, 12.579, 4.69, -14.382, 1.388]","[49.78, 82.986, -19.983, 49.143, -5.82, -6.391, -44.774, -5.531, -16.927, -3.206, -44.443, -32.894]",94.07584299914618
1,5.1,0.2,-23.893,-17.83,6.063000000000002,-12.952,-7.345,5.607,"[0.015, 0.045, 0.106, 1.0, 0.338, 0.036, 0.018, 0.013, 0.011, 0.016, 0.017, 0.013]","[0.04, 0.191, 0.063, 1.0, 0.576, 0.104, 0.037, 0.018, 0.017, 0.021, 0.039, 0.054]",0.29609120216581913,"[44.159, 85.999, -41.947, -28.275, 53.3, 0.998, -81.419, 12.74, -29.096, 12.721, 10.29, -20.8]","[48.501, 81.809, -19.556, 17.344, 4.522, 17.236, -65.85, 6.291, -8.331, -36.181, -14.263, -35.501]",95.85076126458256
2,5.3,0.1,-21.045,-22.73,-1.6849999999999987,-9.557,-8.117,1.4399999999999995,"[0.156, 0.191, 0.274, 0.672, 1.0, 0.035, 0.019, 0.031, 0.074, 0.035, 0.072, 0.157]","[0.131, 0.409, 0.428, 0.457, 1.0, 0.859, 0.795, 0.788, 0.332, 0.332, 0.056, 0.057]",1.4619575917241923,"[43.828, 38.592, -64.342, 75.954, 61.532, 8.057, -56.872, 23.065, -67.276, 0.863, -43.058, 2.696]","[43.617, -9.593, -17.441, 117.632, 39.718, -74.024, -27.654, -2.993, -25.141, 13.338, -32.83, 0.085]",130.56363747613653
3,5.7,0.2,-23.544,-28.111,-4.567,-9.927,-8.646,1.2809999999999988,"[0.007, 0.017, 0.325, 1.0, 0.176, 0.033, 0.016, 0.016, 0.011, 0.006, 0.006, 0.007]","[0.075, 0.084, 0.155, 0.121, 0.259, 1.0, 0.265, 0.142, 0.089, 0.085, 0.066, 0.057]",1.3597551250133237,"[47.378, 64.974, -25.624, -45.043, 20.096, -4.625, -94.728, 12.173, -1.666, -2.542, 39.04, -27.493]","[47.648, 46.791, 78.805, 12.794, 102.239, 21.796, -13.722, 10.016, -29.806, 30.137, 36.364, -32.109]",174.58992080587012
4,5.9,0.2,-13.887,-14.354000000000001,-0.4670000000000005,-9.587,-10.141,-0.5540000000000003,"[0.186, 0.123, 0.302, 0.904, 0.963, 1.0, 0.785, 0.608, 0.275, 0.252, 0.728, 0.211]","[0.106, 0.172, 0.425, 1.0, 0.293, 0.167, 0.131, 0.131, 0.155, 0.193, 0.272, 0.098]",1.4386681340740122,"[48.16, 64.106, 106.102, 18.253, 78.969, -35.14, -28.121, 16.763, -19.316, 23.756, 4.197, -29.937]","[48.23, 50.646, 125.789, 13.433, 93.926, -26.179, -12.383, 11.503, -33.346, -5.932, -7.959, -29.454]",48.964991085468405
5,6.2,0.3,-14.751,-16.192999999999998,-1.4419999999999984,-4.699,-5.983,-1.2839999999999998,"[0.721, 1.0, 0.285, 0.364, 0.354, 0.613, 0.585, 0.32, 0.335, 0.203, 0.956, 0.553]","[0.75, 0.53, 0.169, 0.298, 0.313, 0.591, 0.675, 0.387, 0.485, 0.355, 1.0, 0.857]",0.6279036550299735,"[50.578, 44.391, 21.001, -75.474, 34.36, -5.315, -14.86, -2.026, -11.232, -4.975, 2.747, -23.196]","[49.52, 9.607, 36.782, -78.407, 35.822, -41.813, 5.361, 56.026, 20.274, 21.205, 19.497, 3.698]",96.24823964623977
6,6.7,0.2,-6.9670000000000005,-19.22,-12.252999999999998,-4.401,-8.215,-3.814,"[0.107, 0.174, 0.117, 0.123, 0.679, 1.0, 0.35, 0.075, 0.078, 0.104, 0.677, 0.334]","[0.1, 0.058, 0.061, 0.125, 0.684, 1.0, 0.158, 0.05, 0.056, 0.069, 0.054, 0.093]",0.7085746255688246,"[52.448, 50.475, -21.014, -6.565, 11.009, -53.444, -20.252, 8.057, 3.087, -9.174, -10.613, 9.633]","[45.063, 77.104, 37.182, -59.863, 24.292, -6.016, -20.145, -35.472, -18.241, 16.376, -15.318, 7.266]",111.56682951038808
7,7.0,0.2,-19.44,-17.869,1.5710000000000015,-6.809,-8.334,-1.5249999999999995,"[0.435, 0.321, 0.247, 0.453, 1.0, 0.122, 0.071, 0.058, 0.073, 0.201, 0.299, 0.535]","[0.103, 0.199, 1.0, 0.821, 0.148, 0.059, 0.032, 0.019, 0.031, 0.306, 0.227, 0.066]",1.3410406406966195,"[49.045, 62.076, -24.212, 28.704, 9.381, 10.7, -41.909, 2.862, -16.755, -3.014, -29.318, -33.751]","[47.869, 39.553, 47.55, 43.006, 100.12, -10.871, 13.62, 32.521, -37.628, -4.244, -3.005, 21.954]",150.8562781590478
8,9.3,0.2,-18.665,-27.544,-8.879000000000001,-9.045,-5.305,3.74,"[0.114, 0.219, 1.0, 0.772, 0.147, 0.054, 0.028, 0.017, 0.029, 0.287, 0.217, 0.074]","[0.042, 0.117, 0.411, 1.0, 0.414, 0.116, 0.05, 0.049, 0.057, 0.066, 0.13, 0.037]",0.7414155380082076,"[47.204, 19.819, 38.28, 36.326, 102.774, -6.581, 11.797, 34.8, -37.22, -7.043, -1.932, 20.114]","[46.415, -3.268, 20.99, 1.603, 37.761, 82.79, -3.031, 25.511, -24.296, 8.555, -15.512, -31.108]",133.3293699752609
9,10.7,0.3,-8.918,-8.306000000000001,0.6119999999999983,-6.132999999999999,-3.885,2.2479999999999993,"[0.145, 0.206, 0.222, 0.594, 0.393, 0.923, 0.348, 0.118, 0.373, 0.128, 1.0, 0.327]","[0.432, 0.379, 0.486, 0.546, 0.551, 1.0, 0.585, 0.204, 0.129, 0.296, 0.468, 0.504]",0.8251478655368382,"[52.207, 54.978, -19.792, -16.583, 13.683, -37.663, 13.078, 22.586, 23.859, -13.498, -8.748, -5.259]","[52.686, 49.843, -6.364, 4.464, 35.465, -34.03, -0.276, -6.359, 14.978, 15.106, -14.51, 9.496]",57.460014436127665
10,11.0,0.3,-13.058,-11.252,1.8059999999999992,-7.05,-5.016,2.034,"[0.433, 0.4, 0.242, 0.151, 0.22, 0.797, 0.389, 0.312, 0.515, 0.698, 1.0, 0.651]","[0.377, 0.566, 0.759, 0.567, 1.0, 0.331, 0.46, 0.403, 0.494, 0.406, 0.393, 0.268]",1.3823017036812189,"[48.239, 8.318, -2.484, 52.349, 34.429, -63.885, 13.053, 71.544, 17.881, 8.307, -36.941, -26.663]","[51.064, 94.983, 11.315, 34.116, 45.792, -49.925, -29.551, 9.821, 5.094, 3.049, -29.683, 11.429]",125.24104524875222
11,13.3,0.3,-11.958,-16.074,-4.116000000000001,-5.563,-5.577999999999999,-0.01499999999999968,"[0.333, 0.547, 0.759, 0.554, 1.0, 0.323, 0.448, 0.393, 0.489, 0.38, 0.362, 0.242]","[0.442, 1.0, 0.837, 0.76, 0.824, 0.451, 0.39, 0.507, 0.966, 0.403, 0.301, 0.225]",0.7492649731570267,"[50.515, 72.952, 1.56, 29.755, 52.205, -49.089, -27.147, 10.585, 4.739, 3.832, -26.929, 11.672]","[49.381, 67.566, 6.788, -55.837, 52.538, -3.127, -18.209, -27.289, 4.788, 33.113, -33.61, -10.713]",111.41662712988578
12,13.6,0.1,-19.562,-16.99,2.5720000000000027,-10.584000000000001,-11.109000000000002,-0.5250000000000004,"[0.114, 0.093, 0.097, 0.153, 1.0, 0.884, 0.136, 0.098, 0.113, 0.072, 0.055, 0.072]","[0.642, 1.0, 0.691, 0.674, 0.62, 0.618, 0.333, 0.333, 0.551, 0.548, 0.605, 0.181]",1.663640886730066,"[48.511, 68.876, 10.231, -40.143, 54.206, -26.557, -74.667, -9.011, -5.918, 1.165, 10.693, -20.651]","[46.965, 88.239, -78.202, -49.01, 15.182, -60.5, 2.377, 19.607, 8.198, 14.098, -4.546, 5.719]",137.84132440599953
13,15.1,0.3,-9.191,-14.897,-5.7059999999999995,-5.992000000000001,-3.179,2.813000000000001,"[0.35, 0.347, 0.504, 0.359, 0.509, 1.0, 0.588, 0.256, 0.178, 0.258, 0.268, 0.557]","[0.407, 0.474, 0.415, 0.448, 0.327, 0.666, 0.973, 0.744, 1.0, 0.503, 0.335, 0.285]",1.174925955113768,"[51.593, 92.778, -58.287, -7.25, 4.198, -28.981, -17.286, -0.882, -19.914, 29.111, -31.269, -4.02]","[50.575, 73.445, 39.937, -7.407, 58.789, 9.893, -17.634, 29.659, -2.42, 42.25, -36.472, -2.574]",126.31252694012578
14,15.5,0.1,-14.364,-18.794,-4.43,-5.667000000000001,-6.314,-0.6469999999999994,"[0.045, 0.354, 0.349, 0.355, 0.884, 1.0, 0.851, 0.792, 0.326, 0.334, 0.036, 0.016]","[0.228, 0.43, 0.384, 0.47, 0.804, 0.85, 0.525, 0.566, 1.0, 0.452, 0.189, 0.136]",0.8636990216504821,"[50.181, 38.173, -12.69, 36.039, 45.716, -17.557, -27.788, 12.154, -9.008, -8.384, -24.627, -27.081]","[49.196, 64.534, -32.647, 7.884, 31.398, -3.882, -63.207, 2.746, -14.71, -3.811, -2.666, 11.496]",75.13841079634304
15,22.9,0.1,-14.882,-20.185,-5.302999999999999,-9.006,-7.779,1.2270000000000003,"[0.289, 0.22, 0.129, 0.121, 0.477, 0.522, 0.925, 0.888, 1.0, 0.99, 0.682, 0.044]","[0.38, 0.616, 0.414, 0.166, 0.129, 0.156, 0.35, 0.404, 1.0, 0.427, 0.204, 0.113]",1.2722036000577894,"[49.907, 50.972, -41.636, -57.657, 34.142, -50.865, 3.827, 19.347, 23.428, 22.101, 11.189, 0.089]","[46.427, 109.274, -38.217, 38.971, -16.832, -64.897, -40.32, 11.991, -4.247, -21.876, 2.242, 20.226]",144.02651605173264
