,start_rnd,duration_rnd,loudness_start,rem_loudness_start,loud_start_diff,loudness_max,rem_loudness_max,loud_max_diff,pitches,rem_pitches,pitch_eucl_dist,timbre,rem_timbre,timbre_eucl_dist
0,0.0,0.3,-60.0,-60.0,0.0,-41.977,-60.0,-18.023000000000003,"[0.94, 0.829, 0.668, 0.43, 0.335, 0.274, 0.154, 0.136, 0.199, 0.183, 0.476, 1.0]","[1.0, 0.976, 0.233, 0.179, 0.165, 0.153, 0.123, 0.105, 0.1, 0.084, 0.076, 0.322]",0.9809097817842373,"[1.017, 169.44, 15.74, -57.021, 48.038, -62.364, 19.096, -5.191, -26.299, 3.671, 11.19, -9.606]","[0.0, 171.13, 9.469, -28.48, 57.491, -50.067, 14.833, 5.359, -27.228, 0.973, -10.64, -7.228]",41.45119572461089
1,0.3,0.3,-41.992,-60.0,-18.008000000000003,-15.859000000000002,-18.378,-2.5189999999999984,"[0.093, 0.27, 0.383, 1.0, 0.432, 0.046, 0.069, 0.061, 0.054, 0.243, 0.31, 0.074]","[0.191, 0.391, 0.514, 1.0, 0.319, 0.042, 0.064, 0.074, 0.085, 0.294, 0.272, 0.101]",0.24519380090043058,"[29.596, -32.66, 25.378, -145.828, 53.822, 31.735, 10.027, 33.804, -30.292, 64.897, -36.303, 8.565]","[22.293, 48.87, 44.79, -182.934, 29.739, 72.865, 36.114, -64.279, -43.6, 104.167, 21.707, 7.114]",161.59557915054484
2,0.6,0.1,-39.848,-42.349,-2.5009999999999977,-23.958000000000002,-26.289,-2.3309999999999995,"[0.036, 0.256, 1.0, 0.498, 0.102, 0.055, 0.053, 0.039, 0.043, 0.224, 0.138, 0.042]","[0.034, 0.318, 1.0, 0.417, 0.08, 0.048, 0.047, 0.035, 0.038, 0.19, 0.097, 0.036]",0.11786432878526057,"[31.097, -41.13, -15.431, -27.301, 11.304, 39.218, 2.386, -2.413, -51.359, 29.731, -5.982, 8.622]","[29.039, -49.61, -27.815, -32.654, 9.942, 35.518, 1.784, -1.409, -47.96, 26.889, -5.832, 4.09]",17.755871761194946
3,0.7,0.4,-31.699,-33.736999999999995,-2.037999999999993,-17.368,-19.675,-2.307000000000002,"[0.158, 0.138, 0.166, 0.312, 0.333, 0.237, 0.303, 0.265, 0.318, 0.987, 1.0, 0.358]","[0.133, 0.116, 0.147, 0.271, 0.271, 0.212, 0.265, 0.232, 0.308, 1.0, 0.908, 0.315]",0.14399652773591448,"[33.898, 8.179, 0.698, 105.702, 34.994, -12.655, -37.009, 115.459, -1.678, -11.952, -67.568, 0.212]","[32.015, 3.841, -8.079, 95.057, 29.347, -13.874, -35.68, 113.205, -0.73, -10.272, -66.263, -0.229]",16.07966492188192
4,1.1,0.1,-48.79,-49.723,-0.9329999999999998,-31.651,-33.793,-2.1419999999999995,"[0.317, 0.397, 0.512, 0.889, 0.979, 1.0, 0.559, 0.303, 0.173, 0.077, 0.121, 0.164]","[0.311, 0.399, 0.535, 0.934, 1.0, 0.926, 0.511, 0.285, 0.155, 0.076, 0.119, 0.16]",0.10716342659695052,"[21.797, -6.614, -46.551, -3.91, 16.115, 40.789, -15.057, 38.954, -39.105, 14.444, -0.437, -8.728]","[19.689, -9.049, -50.73, -16.173, 9.608, 40.96, -15.567, 39.401, -40.487, 19.856, -4.133, -9.1]",16.310940071007554
5,1.2,0.2,-43.717,-45.573,-1.8560000000000016,-24.604,-26.728,-2.1240000000000023,"[0.14, 0.281, 0.069, 0.059, 0.126, 0.512, 1.0, 0.129, 0.021, 0.068, 0.048, 0.036]","[0.155, 0.245, 0.065, 0.074, 0.166, 0.657, 1.0, 0.091, 0.022, 0.065, 0.04, 0.042]",0.16106209982488123,"[28.134, -32.242, -42.542, -61.467, 98.145, 48.933, 3.366, -20.567, -37.12, 67.617, -35.194, 15.715]","[26.504, -43.9, -49.382, -63.951, 96.764, 42.407, 0.068, -9.811, -32.611, 66.694, -26.695, 12.167]",21.646944634289618
6,1.4,0.2,-42.24,-42.81,-0.5700000000000003,-18.021,-20.174,-2.1529999999999987,"[0.036, 0.074, 0.106, 0.076, 0.089, 0.159, 0.407, 1.0, 0.474, 0.111, 0.06, 0.04]","[0.034, 0.072, 0.098, 0.07, 0.095, 0.194, 0.444, 1.0, 0.431, 0.103, 0.054, 0.037]",0.06852736679604726,"[30.425, 65.868, 8.692, -24.94, 38.963, 51.127, -16.129, 71.003, -32.636, 31.574, -61.045, 30.777]","[28.672, 57.063, -0.539, -30.057, 39.37, 50.729, -19.111, 68.599, -32.865, 33.957, -61.419, 28.981]",14.699942142743277
7,1.7,0.7,-42.217,-44.035,-1.8179999999999978,-35.617,-37.451,-1.8340000000000032,"[0.227, 0.267, 0.314, 0.451, 0.57, 1.0, 0.627, 0.603, 0.434, 0.311, 0.36, 0.3]","[0.271, 0.31, 0.36, 0.498, 0.641, 1.0, 0.683, 0.681, 0.452, 0.314, 0.491, 0.316]",0.20030227157973027,"[17.173, 44.628, -116.077, 45.397, 14.178, -62.063, -76.093, 124.006, 15.878, 12.982, -25.039, 13.209]","[15.815, 37.745, -121.135, 39.578, 16.053, -60.997, -72.912, 124.239, 22.787, 7.667, -19.484, 13.925]",15.193524804995056
8,2.4,0.1,-57.224,-57.623999999999995,-0.3999999999999986,-29.874000000000002,-32.413000000000004,-2.5390000000000015,"[0.17, 0.109, 0.116, 0.36, 0.153, 0.108, 0.129, 0.076, 1.0, 0.784, 0.31, 0.159]","[0.143, 0.088, 0.105, 0.28, 0.109, 0.084, 0.099, 0.114, 1.0, 0.613, 0.258, 0.137]",0.21207545826898502,"[23.338, -33.208, -2.548, -77.867, 45.75, 80.41, 32.666, 7.844, -2.423, 18.344, -16.867, 1.057]","[22.539, -42.052, -19.778, -57.016, 38.337, 59.351, 24.159, 2.049, -0.992, 9.264, -10.448, -0.067]",39.26624580985557
9,2.5,0.1,-38.555,-39.736,-1.1809999999999974,-23.138,-25.33,-2.1919999999999966,"[1.0, 0.725, 0.38, 0.193, 0.136, 0.038, 0.068, 0.154, 0.269, 0.219, 0.187, 0.771]","[1.0, 0.644, 0.328, 0.181, 0.107, 0.042, 0.08, 0.153, 0.23, 0.189, 0.203, 0.9]",0.1724209964012504,"[34.913, -97.445, 39.911, -32.828, 81.033, -30.327, 6.076, -3.176, -5.544, 6.22, 8.833, -6.003]","[32.218, -100.637, 24.714, -42.896, 74.702, -19.385, 6.302, -3.494, -3.944, 8.972, 18.149, -7.317]",24.665246866796206
