,start_rnd,duration_rnd,loudness_start,rem_loudness_start,loud_start_diff,loudness_max,rem_loudness_max,loud_max_diff,pitches,rem_pitches,pitch_eucl_dist,timbre,rem_timbre,timbre_eucl_dist
0,0.0,0.2,-55.751999999999995,-59.821000000000005,-4.06900000000001,-53.645,-58.045,-4.399999999999999,"[0.213, 0.218, 0.432, 0.439, 0.459, 0.779, 1.0, 0.651, 0.268, 0.035, 0.066, 0.223]","[0.753, 0.674, 0.395, 0.189, 0.183, 0.325, 0.235, 0.232, 0.217, 0.395, 0.351, 1.0]",1.5568037769738357,"[5.279, 80.824, -94.435, -61.994, -10.438, -42.284, -8.291, 17.348, -27.96, -0.462, -10.003, -14.796]","[1.473, 164.012, -1.409, -34.308, 24.225, -39.879, 14.17, 7.674, -26.114, 4.547, -8.173, -17.769]",134.91166024106292
1,0.2,0.3,-57.703,-58.635,-0.931999999999995,-8.941,-24.822,-15.880999999999998,"[0.465, 1.0, 0.169, 0.087, 0.234, 0.399, 0.071, 0.048, 0.03, 0.083, 0.059, 0.235]","[0.205, 0.029, 0.028, 0.02, 0.02, 0.024, 0.041, 0.066, 0.136, 0.284, 1.0, 0.819]",1.5813380410272815,"[41.815, -25.103, -45.155, -27.402, 3.281, 173.618, 55.722, 3.045, -13.333, 82.265, 117.205, -23.783]","[19.147, -0.204, -20.276, -262.456, 11.385, 25.23, 29.177, -1.909, -46.838, 68.303, 15.754, -23.837]",302.36869756805186
2,0.5,0.1,-18.227,-39.637,-21.41,-15.995,-25.678,-9.683000000000002,"[1.0, 0.614, 0.636, 0.628, 0.508, 0.508, 0.101, 0.091, 0.084, 0.144, 0.394, 0.125]","[0.419, 0.298, 0.172, 0.073, 0.087, 0.073, 0.184, 0.201, 0.311, 0.456, 0.253, 1.0]",1.5101562833031554,"[43.448, 2.368, 9.896, -28.191, 10.647, -43.002, 6.615, 6.775, -16.055, -6.953, 4.992, 8.025]","[27.852, 25.622, -55.305, 3.881, -8.367, -113.311, 2.898, -65.202, -57.078, 42.175, 0.579, -23.822]",147.28649803359437
3,3.1,0.4,-24.0,-19.538,4.462,-11.395999999999999,-10.085,1.3109999999999982,"[0.035, 0.075, 0.146, 0.114, 0.212, 0.726, 1.0, 0.395, 0.145, 0.075, 0.055, 0.031]","[0.585, 0.581, 0.576, 0.557, 0.492, 0.531, 0.562, 0.694, 0.765, 0.96, 1.0, 0.807]",2.000045249488121,"[42.936, -15.887, -24.672, -44.586, 5.403, 20.519, 5.958, 6.98, -4.493, 42.212, -24.618, 1.856]","[44.953, 93.378, 33.591, -3.494, 36.92, 22.382, -13.226, -1.366, -7.356, -25.672, -24.869, 15.462]",152.51928481015113
4,4.2,0.2,-24.557,-18.833,5.724,-12.465,0.013000000000000001,12.478,"[0.184, 0.338, 0.359, 0.186, 0.593, 0.244, 0.242, 0.325, 0.709, 1.0, 0.296, 0.137]","[0.196, 0.237, 0.229, 0.124, 0.138, 0.122, 0.228, 1.0, 0.601, 0.282, 0.122, 0.222]",1.1284981169678574,"[44.41, 76.734, 65.881, 2.592, 39.405, 27.489, -29.757, -17.951, -23.34, -3.814, 3.848, -3.832]","[51.236, 47.3, -9.131, 39.291, 17.331, 58.845, -0.431, 16.232, 2.944, -12.053, 21.952, -4.046]",111.67834948189376
5,4.4,0.2,-18.736,-14.934000000000001,3.8019999999999996,-13.696,-11.655999999999999,2.040000000000001,"[0.084, 0.69, 0.945, 0.051, 0.201, 0.207, 0.649, 1.0, 0.182, 0.419, 0.351, 0.135]","[0.215, 0.287, 0.429, 0.057, 0.254, 0.631, 0.374, 0.35, 0.303, 0.65, 1.0, 0.066]",1.2730027494078715,"[43.028, 25.499, 17.699, 28.569, 22.277, -33.009, -23.924, -39.839, -20.089, 9.398, -9.928, -12.689]","[45.135, 66.345, 46.297, 44.281, -21.043, -29.621, -24.104, -2.003, -16.721, -7.428, -17.693, -0.036]",81.06846049481882
6,6.0,0.3,-18.678,-11.544,7.134,-8.575,-8.126,0.44899999999999984,"[0.46, 1.0, 0.206, 0.117, 0.217, 0.425, 0.095, 0.057, 0.054, 0.083, 0.071, 0.247]","[1.0, 0.063, 0.041, 0.008, 0.015, 0.012, 0.012, 0.032, 0.013, 0.027, 0.008, 0.589]",1.2463193812181532,"[46.215, -33.234, -56.973, -10.297, -4.685, 3.794, 19.471, -14.748, -7.752, 33.082, -7.191, -4.241]","[49.183, 80.627, -67.272, -3.294, 22.995, -45.866, 5.403, 20.866, 10.237, 1.507, -20.922, -1.919]",139.07310367572876
7,8.2,0.4,-18.858,-20.157,-1.2989999999999995,-3.213,-9.552999999999999,-6.339999999999999,"[0.177, 0.145, 0.037, 0.105, 0.427, 1.0, 0.127, 0.122, 0.101, 0.04, 0.054, 0.074]","[1.0, 0.592, 0.719, 0.731, 0.332, 0.273, 0.402, 0.583, 0.297, 0.231, 0.24, 0.415]",1.6690152785400139,"[47.598, 22.121, -38.819, 60.192, -8.706, 37.933, -0.902, 6.486, -4.526, -5.165, 9.343, -4.502]","[45.858, 80.273, 107.016, -41.477, 23.108, 26.673, -18.553, 41.728, -7.788, -40.1, -3.843, -19.364]",198.26102632640638
8,11.9,0.3,-18.707,-13.4,5.307,-7.671,-7.462999999999999,0.20800000000000107,"[0.459, 1.0, 0.195, 0.113, 0.223, 0.389, 0.093, 0.039, 0.041, 0.071, 0.062, 0.251]","[1.0, 0.058, 0.042, 0.03, 0.014, 0.013, 0.023, 0.033, 0.014, 0.028, 0.011, 0.625]",1.2431375627821726,"[46.635, -30.935, -58.701, 5.745, -6.128, 12.424, 22.015, -16.602, -5.586, 24.669, -4.061, -3.034]","[49.863, 64.213, -66.958, -2.0, 33.769, -34.764, -9.861, 21.545, 6.251, -2.322, -21.368, -2.881]",129.03356233166625
9,14.4,0.3,-22.154,-15.788,6.366,-14.547,-1.051,13.496,"[0.727, 0.642, 0.648, 0.652, 0.506, 0.722, 0.663, 0.726, 0.779, 0.894, 1.0, 0.957]","[0.152, 0.094, 0.044, 0.106, 0.389, 1.0, 0.126, 0.125, 0.093, 0.042, 0.052, 0.092]",2.2085816715711464,"[42.875, 78.976, 6.789, 12.322, 35.064, -1.014, -15.665, -10.774, -18.176, 3.453, -7.398, 24.312]","[51.017, 51.807, -17.246, 72.93, -4.597, 15.857, 4.298, -0.616, -5.368, -11.098, 15.779, -4.926]",95.82588349188335
