,start_rnd,duration_rnd,loudness_start,rem_loudness_start,loud_start_diff,loudness_max,rem_loudness_max,loud_max_diff,pitches,rem_pitches,pitch_eucl_dist,timbre,rem_timbre,timbre_eucl_dist
0,0.0,0.2,-60.0,-60.0,0.0,-60.0,-60.0,0.0,"[1.0, 0.964, 0.257, 0.223, 0.189, 0.184, 0.168, 0.147, 0.126, 0.096, 0.081, 0.3]","[0.961, 0.287, 0.218, 0.203, 0.116, 0.389, 0.316, 0.094, 0.043, 0.039, 0.065, 1.0]",1.016971976015072,"[0.047, 170.19, 7.851, -29.783, 56.092, -50.34, 16.005, 4.452, -27.041, 1.36, -11.069, -7.212]","[0.046, 170.207, 7.887, -29.759, 56.126, -50.333, 15.971, 4.464, -27.049, 1.347, -11.055, -7.205]",0.07172865536171597
1,0.2,0.2,-59.027,-60.0,-0.972999999999999,-25.639,-21.903000000000002,3.735999999999997,"[0.011, 0.429, 0.292, 0.022, 0.038, 0.008, 0.186, 0.011, 0.038, 1.0, 0.075, 0.007]","[0.021, 0.581, 0.378, 0.042, 0.055, 0.017, 0.254, 0.024, 0.055, 1.0, 0.085, 0.014]",0.19131387822110552,"[30.754, 8.254, -36.712, 10.312, 99.393, -11.577, 12.772, -128.007, -23.624, 66.587, -39.512, 10.349]","[31.617, 52.624, -31.363, -12.895, 114.117, 111.686, 53.687, -133.502, -12.31, 67.23, 42.173, -8.734]",163.75724128416428
2,0.7,0.3,-32.496,-28.660999999999998,3.8350000000000044,-16.378,-12.218,4.16,"[0.066, 1.0, 0.32, 0.046, 0.587, 0.042, 0.118, 0.017, 0.083, 0.444, 0.046, 0.262]","[0.064, 1.0, 0.324, 0.049, 0.599, 0.044, 0.123, 0.018, 0.082, 0.432, 0.045, 0.278]",0.02459674775249771,"[39.414, -11.437, 0.119, 2.235, 84.918, -15.604, 18.306, 0.415, -4.785, -19.544, 23.123, 15.488]","[43.596, -4.779, 4.684, 7.062, 87.648, -23.076, 17.397, -2.336, -5.168, -17.087, 20.319, 17.337]",13.967818834735793
3,1.5,0.1,-30.798000000000002,-27.089000000000002,3.7089999999999996,-24.666,-20.614,4.052,"[0.008, 0.076, 0.073, 0.012, 0.037, 0.005, 0.045, 0.014, 0.434, 1.0, 0.2, 0.007]","[0.006, 0.077, 0.074, 0.013, 0.041, 0.006, 0.048, 0.013, 0.417, 1.0, 0.229, 0.007]",0.034117444218463966,"[34.067, -59.112, -71.153, -48.538, 23.406, -44.183, -32.9, 10.281, -3.073, 3.662, 2.578, -2.287]","[38.015, -53.16, -64.766, -44.798, 25.0, -45.472, -32.137, 7.638, -3.23, 1.198, -0.94, -2.569]",11.666882402767246
4,1.9,0.1,-28.759,-25.269000000000002,3.4899999999999984,-23.761,-20.171,3.59,"[0.115, 0.64, 0.42, 0.085, 0.059, 0.06, 0.411, 0.603, 1.0, 0.595, 0.15, 0.027]","[0.102, 0.605, 0.399, 0.08, 0.055, 0.053, 0.384, 0.51, 1.0, 0.539, 0.153, 0.024]",0.1202372654379664,"[34.911, -25.435, -33.833, -47.286, 22.223, -27.086, -17.489, -23.073, -18.791, 6.041, 11.266, -6.941]","[38.933, -21.655, -25.482, -46.742, 22.474, -31.215, -20.429, -19.884, -20.137, 14.595, 8.202, -4.292]",15.093472529540707
5,2.0,0.1,-25.491999999999997,-21.291999999999998,4.199999999999999,-22.357,-18.325,4.032,"[0.13, 0.295, 0.315, 0.109, 0.066, 0.046, 0.234, 0.107, 1.0, 0.434, 0.129, 0.089]","[0.109, 0.281, 0.323, 0.104, 0.059, 0.044, 0.236, 0.106, 1.0, 0.413, 0.137, 0.074]",0.03891015291668744,"[36.749, 20.406, 9.15, -35.264, 47.527, -30.575, -55.77, -3.19, -2.665, -7.842, 3.441, -3.919]","[40.875, 29.576, 13.407, -33.925, 52.313, -34.282, -59.352, -5.435, -3.031, -8.563, 0.365, -2.918]",13.662492964316577
6,2.1,0.2,-24.176,-20.419,3.756999999999998,-17.168,-13.314,3.853999999999999,"[0.067, 0.526, 0.246, 0.08, 0.179, 0.041, 0.192, 0.053, 1.0, 0.135, 0.024, 0.055]","[0.064, 0.52, 0.241, 0.082, 0.182, 0.041, 0.207, 0.051, 1.0, 0.142, 0.024, 0.054]",0.019026297590440434,"[37.719, -17.49, -52.899, 56.715, 70.213, -50.939, -31.46, -37.94, -7.731, 14.271, -28.013, 13.647]","[41.521, -19.963, -44.946, 58.777, 70.141, -59.006, -35.29, -37.787, -8.907, 14.342, -32.009, 15.295]",13.70835165145686
7,2.6,0.2,-33.849000000000004,-30.11,3.7390000000000043,-16.11,-12.274000000000001,3.8359999999999985,"[0.061, 0.501, 0.177, 0.087, 0.238, 0.031, 0.067, 0.026, 1.0, 0.088, 0.018, 0.123]","[0.065, 0.544, 0.196, 0.101, 0.262, 0.036, 0.075, 0.027, 1.0, 0.097, 0.019, 0.132]",0.05701754116059378,"[39.291, 11.038, -36.423, 4.256, 80.242, -5.555, -3.768, -8.203, 15.273, -1.811, 32.463, 4.101]","[43.048, 15.823, -32.715, 3.472, 84.291, 2.392, -3.167, -7.992, 16.232, -5.326, 35.625, 3.129]",12.471890794903551
8,3.0,0.2,-31.628,-27.698,3.9299999999999997,-21.491999999999997,-17.667,3.8249999999999957,"[0.022, 0.062, 0.086, 0.052, 0.018, 0.023, 0.149, 0.426, 1.0, 0.228, 0.022, 0.016]","[0.022, 0.064, 0.098, 0.059, 0.021, 0.025, 0.162, 0.482, 1.0, 0.233, 0.025, 0.018]",0.05960704656330491,"[33.659, -44.919, -101.224, -62.662, 62.12, -28.073, -28.833, 1.893, 23.905, -9.42, -15.522, 9.087]","[37.733, -34.702, -99.548, -57.828, 63.531, -33.3, -30.382, -1.494, 26.105, -15.691, -24.21, 9.573]",17.613281863412052
9,3.2,0.2,-29.592,-25.833000000000002,3.758999999999997,-25.301,-21.34,3.9609999999999985,"[0.059, 0.329, 0.31, 0.124, 0.065, 0.105, 0.217, 0.447, 1.0, 0.386, 0.098, 0.044]","[0.059, 0.349, 0.334, 0.138, 0.066, 0.106, 0.238, 0.443, 1.0, 0.399, 0.101, 0.047]",0.042638011210655684,"[32.405, -19.983, -77.68, -52.456, 32.571, -53.337, -35.889, -8.623, 22.064, -8.283, 11.822, -7.197]","[36.242, -14.279, -70.019, -50.238, 33.428, -54.764, -35.868, -8.692, 22.339, -7.291, 11.584, -7.619]",10.72096203705619
