,start_rnd,duration_rnd,loudness_start,rem_loudness_start,loud_start_diff,loudness_max,rem_loudness_max,loud_max_diff,pitches,rem_pitches,pitch_eucl_dist,timbre,rem_timbre,timbre_eucl_dist
0,0.8,0.1,-51.525,-38.071,13.454,-36.787,-28.024,8.762999999999998,"[0.284, 0.514, 0.12, 0.144, 0.215, 0.15, 0.181, 1.0, 0.366, 0.356, 0.588, 0.286]","[0.495, 0.752, 1.0, 0.613, 0.479, 0.909, 0.93, 0.778, 0.462, 0.297, 0.329, 0.556]",1.5824872827293115,"[16.955, 134.723, 6.042, 66.641, 95.517, -73.055, -30.677, -8.366, -35.026, 44.339, -15.498, 3.996]","[26.324, 139.765, -45.937, 57.368, 105.222, -28.526, -65.232, -0.093, -9.762, -23.333, -22.917, 1.345]",107.3329071487398
1,0.9,0.1,-49.972,-44.228,5.744,-33.722,-23.74,9.982000000000003,"[0.56, 0.182, 0.197, 0.117, 0.169, 0.146, 0.161, 0.154, 0.251, 0.296, 0.225, 1.0]","[0.319, 0.43, 0.635, 0.606, 0.48, 0.457, 0.408, 0.999, 0.81, 0.545, 1.0, 0.961]",1.5797639064113347,"[20.006, 116.025, -1.34, 61.184, 76.457, -42.216, -37.322, -10.287, -17.243, 48.849, -0.856, 21.385]","[27.631, 163.847, 0.189, 87.129, 74.423, 19.743, -70.794, -18.499, -32.467, 49.843, 10.806, -1.718]",94.62526515154397
2,1.3,0.1,-49.79,-43.543,6.247,-33.736,-27.451999999999998,6.283999999999999,"[0.376, 0.366, 0.745, 0.289, 0.225, 0.367, 0.531, 0.713, 1.0, 0.295, 0.641, 0.489]","[0.106, 0.409, 0.126, 0.141, 0.217, 0.146, 0.134, 1.0, 0.228, 0.212, 0.403, 0.288]",1.2118642663268853,"[17.991, 119.4, -2.018, 82.187, 72.488, -88.055, -74.939, -30.519, -40.484, 22.059, -24.465, 26.0]","[25.081, 127.569, -17.506, 73.995, 97.356, -67.92, -41.921, -2.225, -35.666, 52.708, -9.958, 5.322]",70.27922264794908
3,1.5,0.1,-50.044,-43.245,6.7989999999999995,-35.082,-24.057,11.025000000000002,"[0.374, 0.528, 0.433, 0.751, 0.436, 0.343, 0.326, 1.0, 0.634, 0.508, 0.938, 0.657]","[0.503, 0.174, 0.184, 0.109, 0.159, 0.125, 0.136, 0.141, 0.196, 0.248, 0.137, 1.0]",1.5915558425641243,"[18.909, 198.859, 29.485, 51.701, 72.429, 25.595, -26.113, -33.903, -38.066, 37.727, -17.464, -27.154]","[28.459, 100.297, -26.577, 66.88, 70.927, -42.299, -50.392, -4.378, -7.971, 58.248, 4.026, 22.527]",153.3261532224689
4,1.7,0.1,-47.073,-45.966,1.1069999999999993,-35.444,-23.203000000000003,12.241,"[0.786, 0.584, 0.708, 0.339, 0.342, 0.415, 0.521, 0.601, 0.802, 0.992, 0.657, 1.0]","[0.307, 0.313, 0.348, 0.359, 0.279, 0.236, 0.217, 1.0, 0.822, 0.396, 0.595, 0.724]",1.0752418332635687,"[18.125, 147.636, 8.86, 29.56, 91.983, 19.922, -38.465, -13.591, -19.969, 33.562, -22.139, 16.356]","[28.528, 161.306, 5.39, 106.385, 58.419, -26.884, -62.32, 1.729, -21.193, 36.303, 1.444, -5.698]",106.68583810890742
5,1.9,0.1,-49.169,-43.068999999999996,6.100000000000001,-33.7,-24.369,9.331000000000003,"[0.516, 0.338, 0.42, 0.387, 0.343, 0.397, 0.46, 0.536, 0.866, 0.638, 0.925, 1.0]","[0.261, 0.597, 0.985, 0.352, 0.262, 0.456, 0.629, 0.767, 1.0, 0.2, 0.457, 0.56]",1.0802518224932554,"[18.975, 149.227, 21.313, 75.146, 75.753, 25.541, -51.541, -29.286, -39.75, 50.895, -3.066, -8.143]","[25.573, 101.905, -29.563, 96.199, 71.976, -101.54, -91.079, -21.942, -37.681, 23.368, -24.884, 29.02]",160.3579300377752
6,2.1,0.1,-48.523,-43.208,5.315000000000005,-34.312,-25.695,8.616999999999997,"[0.507, 0.545, 0.684, 0.297, 0.313, 0.364, 0.34, 1.0, 0.919, 0.511, 0.441, 0.718]","[0.353, 0.579, 0.402, 0.634, 0.369, 0.284, 0.245, 1.0, 0.506, 0.397, 0.818, 0.669]",0.7514126695764453,"[18.905, 123.169, -24.496, 63.114, 108.908, -28.447, -49.29, -19.387, -32.22, 19.326, 2.552, -2.004]","[27.139, 186.037, 9.906, 58.896, 70.982, 28.449, -39.873, -24.725, -30.548, 34.866, -17.07, -21.99]",105.0853652846104
7,2.2,0.1,-48.93600000000001,-40.185,8.751000000000005,-36.314,-25.936,10.378,"[0.696, 0.512, 0.684, 0.385, 0.45, 0.554, 0.569, 0.611, 0.92, 1.0, 0.734, 0.699]","[0.714, 0.571, 0.649, 0.3, 0.292, 0.352, 0.406, 0.546, 0.71, 0.897, 0.52, 1.0]",0.5476522619326977,"[18.627, 167.196, 10.724, 51.137, 98.758, -12.921, -44.942, -27.143, -30.715, 38.853, -18.284, 20.71]","[26.354, 136.414, -13.068, 52.475, 93.973, 9.002, -54.649, 2.441, -10.357, 38.861, -15.639, 16.276]",59.06898703211357
8,2.5,0.1,-50.925,-42.037,8.887999999999998,-33.302,-24.603,8.698999999999998,"[0.398, 0.294, 0.517, 0.49, 0.371, 0.32, 0.323, 0.784, 0.755, 0.538, 1.0, 0.776]","[0.393, 0.321, 0.409, 0.364, 0.328, 0.395, 0.439, 0.506, 0.765, 0.54, 0.751, 1.0]",0.48866041378446035,"[19.454, 167.881, 17.585, 89.43, 72.83, -12.868, -64.257, -18.231, -41.971, 45.511, -7.239, 2.961]","[27.388, 139.315, 3.564, 77.762, 80.578, 31.111, -62.541, -26.328, -32.09, 51.011, 1.373, -7.486]",59.87967853120122
9,2.6,0.1,-49.123999999999995,-40.967,8.156999999999996,-33.786,-24.684,9.102,"[0.349, 0.509, 1.0, 0.328, 0.329, 0.554, 0.489, 0.75, 0.765, 0.669, 0.602, 0.86]","[0.373, 0.544, 0.694, 0.293, 0.32, 0.381, 0.325, 1.0, 0.891, 0.486, 0.341, 0.733]",0.591340003720364,"[19.516, 125.942, 11.649, 78.018, 123.596, -22.751, -39.946, -21.01, -37.873, 32.008, 12.721, 9.206]","[27.213, 117.739, -50.023, 68.956, 100.955, -33.707, -60.338, -0.294, -17.814, 23.163, 11.349, -2.468]",78.15680232071935
