,start_rnd,duration_rnd,loudness_start,rem_loudness_start,loud_start_diff,loudness_max,rem_loudness_max,loud_max_diff,pitches,rem_pitches,pitch_eucl_dist,timbre,rem_timbre,timbre_eucl_dist
0,4.3,0.3,-20.896,-22.005,-1.1089999999999982,-16.942999999999998,-16.382,0.5609999999999964,"[0.078, 0.337, 0.077, 0.08, 1.0, 0.078, 0.083, 0.086, 0.183, 0.751, 0.14, 0.139]","[0.094, 0.058, 0.028, 0.051, 0.161, 0.083, 0.929, 0.498, 0.244, 1.0, 0.1, 0.522]",1.3728641593398818,"[40.781, 22.683, -20.256, -20.821, 26.613, -33.004, 20.035, 7.753, -10.317, -19.348, -1.173, 18.685]","[40.09, 6.771, -41.815, 2.47, 32.496, -18.369, 15.206, -23.55, -29.748, -8.879, -11.715, 17.159]",55.799162296579325
1,4.6,0.2,-21.776,-25.136999999999997,-3.360999999999997,-15.470999999999998,-18.447,-2.976000000000001,"[0.068, 0.035, 0.012, 0.146, 1.0, 0.284, 0.191, 0.173, 0.058, 0.291, 0.063, 0.248]","[0.223, 0.081, 0.06, 0.061, 0.164, 0.152, 1.0, 0.556, 0.115, 0.154, 0.104, 0.668]",1.3241068687987385,"[42.982, 32.847, -23.294, -25.039, 31.018, -31.777, 22.613, 4.676, -20.111, 9.521, -5.966, 24.417]","[38.042, 15.26, -11.913, -39.342, 15.808, -8.574, 30.986, -16.486, -22.241, -32.23, -5.597, 12.215]",62.065914051111825
2,7.1,0.2,-22.88,-20.593000000000004,2.2869999999999955,-16.862000000000002,-15.382,1.4800000000000022,"[0.163, 0.048, 0.026, 0.042, 0.144, 0.158, 1.0, 0.867, 0.373, 0.222, 0.115, 0.327]","[0.039, 0.243, 0.058, 0.049, 0.256, 0.116, 0.217, 0.239, 0.492, 1.0, 0.286, 0.08]",1.33639440286167,"[39.383, 6.682, -24.371, -26.971, 21.058, -9.845, 22.733, -10.128, -23.039, -19.442, -29.126, 21.692]","[42.888, 55.801, 1.704, -10.575, 11.046, -21.322, 26.673, -20.489, -47.959, -19.303, 5.667, 6.339]",76.13031196573412
3,7.3,0.3,-24.951,-18.215,6.736000000000001,-15.136,-16.424,-1.2880000000000003,"[0.012, 0.304, 0.031, 0.01, 0.069, 0.052, 1.0, 0.196, 0.102, 0.165, 0.028, 0.036]","[0.008, 0.375, 0.026, 0.005, 0.081, 0.012, 0.034, 0.035, 0.05, 1.0, 0.221, 0.024]",1.3050862040493723,"[40.472, 7.27, -39.63, 35.951, 6.786, -37.389, 1.268, -44.347, -27.594, 45.167, -20.956, 17.056]","[40.788, 12.685, -19.583, 28.971, -16.337, -36.893, 1.241, -23.198, -53.065, -4.792, -22.523, 10.261]",68.23141359373994
4,8.4,0.1,-23.590999999999998,-21.035999999999998,2.5549999999999997,-21.002,-15.04,5.962,"[0.174, 1.0, 0.28, 0.04, 0.527, 0.42, 0.717, 0.608, 0.252, 0.392, 0.116, 0.046]","[0.446, 0.156, 0.084, 0.223, 1.0, 0.608, 0.664, 0.394, 0.119, 0.271, 0.369, 0.985]",1.4642277828261556,"[38.302, 15.266, 41.947, -9.437, 3.257, -38.589, 15.59, -5.462, -43.859, -7.001, 0.521, 17.161]","[42.071, 43.72, -29.347, -13.664, 29.25, -17.684, 20.079, -12.55, -30.546, -7.535, 3.063, 7.124]",85.97853010490469
5,15.6,0.2,-18.803,-22.293000000000003,-3.490000000000002,-12.772,-16.722,-3.950000000000001,"[0.387, 0.119, 0.117, 0.121, 0.466, 0.192, 0.943, 0.444, 0.142, 1.0, 0.212, 0.84]","[0.135, 0.044, 0.039, 0.065, 0.092, 0.276, 0.537, 0.66, 0.693, 1.0, 0.217, 0.26]",1.0376892598461256,"[43.753, 48.925, -5.673, 17.529, 30.936, -46.558, 25.068, -1.503, -26.228, 6.258, -0.249, 24.097]","[40.118, 39.68, 10.426, -38.054, 21.873, -22.751, 18.075, 4.475, -29.755, -16.158, -20.928, 23.405]",71.5814038769847
6,20.0,0.4,-18.939,-25.365,-6.425999999999998,-13.857999999999999,-12.283,1.5749999999999993,"[0.021, 0.42, 0.044, 0.013, 0.565, 0.045, 0.064, 0.052, 0.114, 1.0, 0.142, 0.096]","[0.084, 0.037, 0.027, 0.072, 0.682, 0.061, 0.207, 0.143, 0.178, 0.163, 0.054, 1.0]",1.3140502273505377,"[41.672, -1.876, -21.71, 15.025, 45.863, -22.836, 22.034, -24.771, 2.68, -14.336, -30.812, 3.761]","[41.992, 59.914, -23.224, 0.913, 50.037, 13.451, 10.639, 5.738, 0.505, -6.748, 15.975, 0.015]",93.16504304190494
7,20.8,0.2,-18.889,-22.343000000000004,-3.454000000000004,-14.887,-13.85,1.0370000000000008,"[0.016, 0.145, 0.056, 0.075, 1.0, 0.222, 0.065, 0.07, 0.127, 0.746, 0.194, 0.065]","[0.196, 0.137, 0.075, 0.1, 0.246, 0.131, 0.321, 0.675, 0.235, 1.0, 0.224, 0.329]",1.0902219957421515,"[43.299, 27.324, -1.212, -5.253, 27.219, -47.254, 27.934, 5.294, -13.2, -12.163, -5.376, 9.542]","[42.975, 64.073, -18.419, -8.146, 33.391, -2.118, 23.311, -26.361, -31.232, -8.707, 7.165, 14.191]",72.59334922015928
8,23.3,0.2,-18.252,-9.63,8.621999999999998,-14.997,-4.428,10.568999999999999,"[0.077, 0.091, 0.028, 0.032, 0.085, 0.191, 1.0, 0.183, 0.042, 0.264, 0.07, 0.103]","[0.108, 0.216, 0.077, 0.071, 0.152, 0.254, 0.6, 0.622, 0.529, 1.0, 0.505, 0.232]",1.168938835012337,"[42.638, 15.657, -18.032, 1.03, 24.734, -24.148, 23.74, -0.528, -29.171, -21.391, -13.364, 16.926]","[51.657, 109.755, -12.962, -2.627, 13.685, -12.861, -55.733, 30.363, -6.658, -13.235, -22.974, -12.071]",134.168090498449
9,23.8,0.2,-22.947,-16.055,6.8919999999999995,-14.34,-1.253,13.087,"[0.023, 0.34, 0.06, 0.013, 0.063, 0.086, 1.0, 0.141, 0.063, 0.298, 0.044, 0.027]","[0.096, 0.26, 0.053, 0.079, 0.101, 0.059, 0.137, 0.192, 0.227, 0.658, 0.36, 1.0]",1.4031243708239123,"[42.903, 35.049, -17.796, 10.522, 8.377, -22.304, 17.151, -21.666, -40.004, 14.493, -5.392, 10.695]","[53.833, 86.131, 4.396, -22.83, -3.556, 41.51, -39.403, 1.663, 1.938, -30.825, 15.94, -20.933]",132.5108815531766
10,25.1,0.2,-8.476,-16.465999999999998,-7.989999999999997,-4.91,-4.813,0.09700000000000042,"[0.147, 0.299, 0.119, 0.096, 0.227, 0.311, 1.0, 0.631, 0.531, 0.927, 0.621, 0.495]","[0.166, 0.081, 0.103, 0.132, 0.325, 0.168, 0.471, 0.107, 0.065, 0.113, 0.464, 1.0]",1.3391538373166842,"[51.536, 105.519, -19.484, 18.524, 20.67, -32.404, -40.549, 9.312, -12.782, -7.65, -6.148, -3.071]","[49.74, 38.713, 54.326, -81.732, 55.485, 6.965, 30.148, -44.982, -6.651, 17.746, -11.351, 7.889]",177.49111049570905
11,27.6,0.2,-12.832,-23.605,-10.773,-4.195,-16.586,-12.390999999999998,"[0.283, 1.0, 0.237, 0.129, 0.523, 0.168, 0.116, 0.167, 0.172, 0.112, 0.086, 0.299]","[0.07, 1.0, 0.198, 0.025, 0.12, 0.119, 0.67, 0.301, 0.318, 0.43, 0.148, 0.08]",0.8494898469081311,"[50.812, 150.839, 20.429, -71.968, 44.235, -15.313, -10.635, -26.204, -36.691, -4.242, -7.589, -11.376]","[40.108, 34.374, -19.034, 15.053, 12.096, -40.361, -2.511, -27.494, -30.868, 14.581, -2.208, 17.531]",160.59084102152278
12,37.9,0.2,-6.952000000000001,-21.43,-14.477999999999998,-4.221,-3.287,0.9340000000000002,"[0.176, 0.019, 0.022, 0.145, 0.264, 0.04, 0.318, 0.119, 0.06, 0.059, 0.093, 1.0]","[0.031, 0.145, 0.054, 0.039, 0.069, 0.113, 1.0, 0.337, 0.163, 0.171, 0.352, 0.063]",1.2543388696839464,"[53.57, 40.56, 59.75, 30.518, 59.155, -15.995, -19.212, -15.391, -4.864, 2.671, -35.174, 14.407]","[52.046, -19.745, 53.95, 49.128, 46.596, -7.419, 25.982, -7.229, -2.268, 17.535, 11.628, -14.107]",97.93126645765386
13,44.3,0.2,-20.132,-21.2,-1.0679999999999978,-11.059000000000001,-16.941,-5.881999999999998,"[0.301, 0.171, 0.047, 0.069, 0.133, 0.171, 1.0, 0.447, 0.115, 0.409, 0.087, 0.522]","[0.064, 1.0, 0.736, 0.208, 0.153, 0.1, 0.465, 0.073, 0.062, 0.184, 0.123, 0.064]",1.3904991909382758,"[45.785, 64.618, -26.23, 8.061, 43.477, -27.038, 20.986, -19.753, -21.715, 14.3, 1.509, 11.851]","[40.661, -62.729, -13.911, -14.641, 2.476, -28.417, -12.044, 1.907, -4.359, -5.998, -0.545, 5.325]",144.61611121863288
14,46.1,0.1,-18.087,-9.831,8.256,-16.7,-6.039,10.661,"[0.157, 1.0, 0.727, 0.174, 0.158, 0.155, 0.828, 0.105, 0.05, 0.158, 0.105, 0.088]","[0.096, 0.216, 0.11, 0.19, 1.0, 0.198, 0.111, 0.082, 0.161, 0.7, 0.447, 0.208]",1.6316255697922855,"[41.764, -63.324, -15.842, -18.672, -0.839, -46.578, -1.725, -3.263, -8.414, -2.945, -3.289, 2.402]","[52.325, 154.92, -37.969, -45.037, 73.264, -18.371, -27.731, -9.482, -6.295, -33.2, -5.304, 13.927]",238.71596951607572
15,46.2,0.3,-19.938,-9.745,10.193,-2.435,-2.863,-0.42799999999999994,"[0.151, 0.161, 0.037, 0.064, 0.072, 0.125, 1.0, 0.191, 0.069, 0.148, 0.071, 0.387]","[0.118, 0.43, 0.145, 0.227, 0.957, 0.102, 0.12, 0.088, 0.159, 0.571, 0.286, 1.0]",1.513099137531973,"[53.513, 21.264, 51.65, 40.971, 25.66, 22.442, 6.509, -2.794, -5.633, 15.118, -7.915, -3.574]","[54.945, 66.172, 18.714, 7.842, -6.457, -1.867, -52.375, -5.769, -22.696, -10.113, -12.179, -4.447]",101.2244448293
16,50.2,0.2,-7.17,-11.665,-4.494999999999999,-3.572,-7.4639999999999995,-3.8919999999999995,"[1.0, 0.196, 0.024, 0.083, 0.178, 0.045, 0.099, 0.051, 0.213, 0.367, 0.792, 0.55]","[0.665, 0.587, 0.102, 0.095, 0.182, 0.173, 0.928, 0.348, 0.754, 0.789, 1.0, 0.101]",1.3337218600592855,"[54.153, 14.492, 46.953, 15.626, 11.947, -20.549, 57.371, -16.017, 1.646, -5.728, -18.138, 7.472]","[51.893, 151.256, -53.052, -63.851, 39.178, -46.751, -6.143, 30.872, 17.689, -37.159, 13.51, -7.112]",212.47904861891678
17,62.0,0.2,-9.59,-12.998,-3.4079999999999995,-5.242999999999999,-7.994,-2.7510000000000003,"[0.264, 0.304, 0.221, 0.138, 0.24, 0.471, 0.7, 0.369, 0.793, 1.0, 0.424, 0.559]","[1.0, 0.669, 0.097, 0.101, 0.218, 0.136, 0.164, 0.2, 0.133, 0.219, 0.432, 0.028]",1.5645504146559164,"[52.344, 97.281, -16.945, -24.208, 10.151, -24.811, 20.882, -50.78, -26.665, -18.478, -28.205, -19.709]","[48.283, 4.012, -51.044, -8.333, 0.132, -54.7, 5.173, -1.649, -8.818, 19.354, 0.075, -7.544]",128.3831659136041
18,62.2,0.2,-10.052,-14.460999999999999,-4.408999999999999,-4.125,-5.546,-1.4210000000000003,"[0.769, 0.405, 0.056, 0.283, 0.614, 0.207, 0.561, 0.467, 0.786, 1.0, 0.837, 0.685]","[0.232, 0.245, 0.08, 0.132, 0.149, 0.061, 0.344, 0.249, 0.836, 0.989, 1.0, 0.039]",1.0564118515048948,"[54.231, 31.381, 49.094, -14.674, -11.435, -13.888, -0.022, -13.039, -10.112, -5.552, -2.05, -31.033]","[49.461, 7.184, -40.471, -19.537, 10.279, 7.355, 12.231, -3.319, 2.972, -14.114, -18.448, -10.29]",103.75369058496184
19,63.6,0.2,-13.515,-12.491,1.024000000000001,-4.897,-7.268,-2.3709999999999996,"[0.075, 0.343, 0.084, 0.061, 0.088, 0.431, 1.0, 0.443, 0.109, 0.06, 0.06, 0.076]","[0.855, 0.224, 0.095, 0.171, 1.0, 0.128, 0.196, 0.264, 0.332, 0.354, 0.494, 0.638]",1.696218441121308,"[50.813, 44.462, -43.372, -12.81, 3.641, 1.454, 8.46, -3.778, -14.216, -13.798, -15.451, 1.153]","[49.398, 41.837, -35.573, 9.699, -23.189, -60.819, 12.657, -21.16, -18.77, 13.77, -12.633, 2.128]",79.26866835641937
20,64.1,0.3,-15.015,-12.56,2.455,-7.04,-4.82,2.2199999999999998,"[0.816, 0.559, 0.13, 0.08, 0.232, 0.147, 0.085, 0.084, 0.167, 1.0, 0.36, 0.597]","[0.068, 0.013, 0.017, 0.275, 1.0, 0.207, 0.036, 0.069, 0.037, 0.021, 0.025, 0.29]",1.6389871872592536,"[48.808, 37.555, -43.56, -4.318, 12.957, -52.698, 17.786, -11.128, -16.794, 17.093, 4.366, -5.468]","[52.126, 26.517, -32.702, 2.463, -16.711, -20.703, 11.71, -13.645, -20.74, -4.218, 2.577, -15.594]",53.09721311895757
21,64.8,0.2,-12.982999999999999,-10.412,2.570999999999998,-8.281,-8.238,0.04300000000000104,"[0.56, 0.699, 0.078, 0.112, 0.781, 0.105, 0.15, 0.176, 0.224, 1.0, 0.323, 0.207]","[0.193, 0.114, 0.067, 0.148, 0.247, 0.113, 0.345, 0.288, 0.911, 1.0, 0.663, 0.202]",1.183940032265148,"[49.392, 28.85, -10.049, -15.886, 24.368, -26.205, 11.715, -8.384, -13.179, -17.508, 4.688, -28.446]","[49.907, 24.498, -24.652, -17.566, -11.303, -56.354, 13.371, -13.095, -26.24, 16.35, -12.7, -28.861]",63.72646303538272
22,65.0,0.2,-12.526,-11.415999999999999,1.1100000000000012,-4.184,-5.477,-1.2930000000000001,"[0.076, 0.165, 0.102, 0.076, 0.35, 0.056, 0.26, 0.268, 0.886, 1.0, 0.626, 0.072]","[1.0, 0.217, 0.026, 0.136, 0.096, 0.05, 0.111, 0.073, 0.343, 0.365, 0.92, 0.468]",1.3899496393754704,"[52.172, 35.866, -29.171, 2.844, 9.412, -8.81, 11.61, -25.085, -8.141, 5.369, -3.761, -15.938]","[51.087, 27.746, -24.696, 7.053, -4.995, -60.187, -13.884, -19.349, -16.018, 16.016, -17.1, -9.34]",63.49586367630572
23,65.2,0.2,-12.030999999999999,-12.585,-0.554000000000002,-6.629,-5.611000000000001,1.017999999999999,"[0.809, 1.0, 0.15, 0.156, 0.43, 0.117, 0.194, 0.062, 0.67, 0.662, 0.449, 0.099]","[0.216, 0.221, 0.126, 0.165, 0.125, 0.107, 0.154, 0.092, 0.568, 1.0, 0.409, 0.391]",1.1252928507726334,"[49.931, 50.491, -51.408, -4.921, -2.266, -60.549, 14.303, -1.797, -21.214, 13.536, -1.538, -3.705]","[51.033, 24.3, 8.434, -47.063, -8.657, -13.65, 17.492, 4.744, -7.073, -6.111, -5.261, -24.916]",96.88782811581649
24,76.0,0.2,-11.182,-11.482000000000001,-0.3000000000000007,-2.747,-6.239,-3.492,"[0.656, 0.618, 0.291, 0.139, 1.0, 0.231, 0.122, 0.134, 0.097, 0.234, 0.194, 0.423]","[0.136, 0.297, 0.144, 0.11, 0.301, 0.231, 1.0, 0.234, 0.075, 0.302, 0.098, 0.108]",1.3337634722843477,"[53.503, -4.305, 29.199, -46.694, 16.967, 10.647, 27.05, 4.952, 1.116, -16.397, -17.698, 0.722]","[51.007, 11.5, -30.866, -10.58, -17.378, -16.448, -12.005, -8.432, -6.89, -4.357, -0.583, -14.996]",97.64851344490606
25,78.2,0.2,-12.100999999999999,-8.046,4.055,-1.882,-2.603,-0.7210000000000003,"[0.095, 0.213, 0.073, 0.059, 0.194, 0.389, 1.0, 0.37, 0.107, 0.101, 0.088, 0.102]","[0.416, 0.498, 1.0, 0.16, 0.321, 0.19, 0.315, 0.302, 0.718, 0.619, 0.314, 0.098]",1.5086788922762855,"[52.31, 71.811, -10.314, -64.661, 11.646, -40.198, -1.817, 9.295, -25.235, -12.606, -19.158, -16.108]","[54.006, 62.729, -0.968, -13.41, -3.258, -3.352, -30.338, -17.16, -0.305, -17.364, -8.137, -7.428]",82.05724562767142
26,79.9,0.2,-7.3839999999999995,-9.442,-2.0580000000000007,-3.925,-2.3890000000000002,1.5359999999999996,"[0.368, 0.678, 1.0, 0.113, 0.263, 0.176, 0.332, 0.241, 0.512, 0.461, 0.19, 0.127]","[1.0, 0.587, 0.241, 0.176, 0.299, 0.22, 0.269, 0.335, 0.665, 0.602, 0.972, 0.366]",1.309857625850993,"[53.924, 59.105, -7.358, -20.396, 4.345, -16.715, -23.039, -2.515, -0.558, -14.757, -8.434, 1.462]","[54.575, 27.412, 21.209, -62.475, -3.359, -15.36, 6.857, -11.896, 1.321, 11.083, -5.036, -3.138]",73.06497138164087
27,81.5,0.1,-11.193,-5.118,6.074999999999999,-4.178,-2.822,1.3559999999999999,"[0.359, 0.282, 0.472, 0.575, 0.768, 0.471, 0.202, 0.231, 0.308, 0.601, 0.85, 1.0]","[0.215, 0.231, 0.067, 0.073, 0.817, 0.778, 1.0, 0.995, 0.325, 0.447, 0.277, 0.117]",1.6995702397959316,"[53.145, 33.668, 11.8, -11.019, 47.122, 9.225, -13.651, -16.906, -11.222, -8.55, -7.61, -1.119]","[55.341, 74.006, -8.589, -11.818, -0.481, -45.418, -20.927, 12.981, 11.305, 18.839, -3.799, 10.706]",98.27705622880653
28,83.4,0.4,-4.863,-7.4479999999999995,-2.584999999999999,-1.1840000000000002,-2.846,-1.662,"[0.02, 0.095, 0.027, 0.034, 0.122, 0.102, 1.0, 0.109, 0.054, 0.2, 0.047, 0.034]","[0.245, 0.096, 0.027, 0.063, 0.048, 0.017, 0.17, 0.083, 0.105, 0.095, 0.052, 1.0]",1.3040517627763093,"[57.129, 81.184, 11.545, -14.578, 13.421, -28.765, -6.107, 6.4, 9.115, 14.378, -16.798, 6.59]","[55.02, 17.554, 21.678, 0.628, 20.719, -31.31, 37.942, -10.994, 5.395, -6.115, -8.078, -12.191]",86.90393651613256
29,83.8,0.2,-6.1129999999999995,-8.146,-2.0330000000000013,-0.46299999999999997,-5.44,-4.977,"[0.71, 0.544, 0.341, 0.283, 0.402, 0.259, 0.326, 0.22, 0.553, 1.0, 0.299, 0.764]","[0.685, 0.657, 0.28, 0.399, 0.594, 0.259, 0.609, 0.457, 0.308, 1.0, 0.427, 0.864]",0.5386111770099095,"[57.064, 81.851, 0.868, -5.801, 31.726, -43.094, 8.37, -6.96, -13.788, 41.206, 2.325, 0.701]","[53.379, 76.329, 58.867, -5.251, -0.294, -37.908, 7.084, -4.017, -11.838, 3.164, 0.362, -23.338]",80.64410334922201
30,86.0,0.2,-9.481,-7.949,1.532,-4.276,-4.257,0.019000000000000128,"[1.0, 0.299, 0.083, 0.182, 0.127, 0.067, 0.23, 0.13, 0.424, 0.44, 0.789, 0.809]","[0.496, 0.156, 0.092, 0.176, 0.337, 0.12, 0.541, 0.386, 0.973, 1.0, 0.973, 0.524]",1.1017395336466782,"[53.405, 42.773, 23.322, 18.855, -0.479, -21.818, 2.03, -28.552, -22.981, 0.688, 2.036, -16.154]","[53.447, 41.308, 10.718, -22.972, -14.637, -46.98, 20.108, -5.29, -22.46, 3.685, 7.051, -15.503]",60.38910618646379
31,88.9,0.4,-9.649,-4.619,5.029999999999999,-3.6719999999999997,-1.7,1.9719999999999998,"[0.482, 0.51, 0.425, 0.289, 0.285, 0.322, 0.413, 0.261, 0.501, 1.0, 0.38, 0.692]","[0.042, 0.249, 1.0, 0.053, 0.065, 0.021, 0.066, 0.037, 0.036, 0.15, 0.034, 0.038]",1.563261014674133,"[53.164, 25.616, 20.414, -37.119, -19.803, -13.237, 16.165, 12.407, -5.498, -20.992, -2.306, -6.429]","[56.516, 92.088, 9.59, -11.831, 12.214, -35.951, -12.987, -30.185, -19.995, 22.423, -12.204, -40.179]",112.79802480096892
