,start_rnd,duration_rnd,loudness_start,rem_loudness_start,loud_start_diff,loudness_max,rem_loudness_max,loud_max_diff,pitches,rem_pitches,pitch_eucl_dist,timbre,rem_timbre,timbre_eucl_dist
0,0.4,0.1,-43.266999999999996,-37.984,5.282999999999994,-36.398,-30.624000000000002,5.774000000000001,"[0.353, 0.162, 0.45, 0.791, 0.432, 0.386, 0.603, 0.889, 1.0, 0.496, 0.184, 0.269]","[0.351, 0.155, 0.394, 0.687, 0.461, 0.386, 0.616, 0.858, 1.0, 0.553, 0.269, 0.22]",0.16985582121316894,"[22.636, -232.844, -146.453, -89.755, 54.528, -67.531, 6.923, 29.249, -18.236, 5.642, 21.785, -3.206]","[27.491, -293.557, -142.252, -60.457, 31.325, -70.44, 4.362, 31.334, -12.465, -13.53, -2.248, -2.41]",78.24638499636902
1,0.8,0.2,-45.708999999999996,-40.844,4.864999999999995,-33.626,-27.589000000000002,6.0369999999999955,"[0.808, 1.0, 0.501, 0.749, 0.754, 0.727, 0.547, 0.255, 0.186, 0.321, 0.292, 0.651]","[0.988, 1.0, 0.456, 0.651, 0.669, 0.695, 0.521, 0.236, 0.171, 0.299, 0.31, 0.649]",0.2331351539343648,"[17.314, 156.056, -115.166, 113.947, 1.752, -53.276, -48.381, -8.773, -17.288, -8.845, -43.499, 2.449]","[23.127, 155.413, -111.603, 118.228, -12.956, -56.346, -60.724, -20.354, -12.017, -3.359, -44.179, 6.268]",25.502402239789095
2,1.9,0.3,-47.879,-42.622,5.256999999999998,-36.937,-30.343000000000004,6.593999999999994,"[0.894, 0.9, 0.41, 0.239, 0.56, 0.407, 0.282, 0.315, 0.187, 1.0, 0.784, 0.517]","[0.881, 1.0, 0.348, 0.232, 0.46, 0.355, 0.258, 0.302, 0.172, 0.813, 0.677, 0.469]",0.2765103976345194,"[14.936, 144.242, -92.339, 98.969, 19.792, -70.092, -35.048, -23.789, -1.757, 1.452, -36.986, 18.7]","[20.532, 136.076, -84.084, 105.887, 1.377, -82.571, -42.294, -43.998, 3.182, 1.78, -34.645, 16.191]",34.72787138596318
3,2.6,0.1,-48.701,-43.375,5.3260000000000005,-34.545,-28.048000000000002,6.497,"[1.0, 0.683, 0.413, 0.383, 0.406, 0.65, 0.166, 0.092, 0.472, 0.499, 0.26, 0.473]","[1.0, 0.678, 0.427, 0.405, 0.407, 0.63, 0.158, 0.094, 0.472, 0.482, 0.27, 0.456]",0.043034869582700044,"[22.941, -224.744, -148.888, -61.664, 46.216, -74.854, -5.541, 17.549, -3.632, 5.983, -4.036, 7.497]","[29.113, -248.295, -138.677, -54.641, 22.969, -74.105, -10.443, 5.519, 6.451, 15.091, 3.064, 13.724]",41.591739937155786
4,2.7,0.3,-40.336999999999996,-34.415,5.921999999999997,-9.759,-3.217,6.542,"[0.818, 0.263, 0.084, 0.117, 0.478, 1.0, 0.171, 0.154, 0.22, 0.168, 0.11, 0.446]","[0.928, 0.312, 0.092, 0.111, 0.446, 1.0, 0.189, 0.143, 0.231, 0.176, 0.1, 0.491]",0.13557285864065866,"[35.929, 1.146, -191.381, 165.681, 5.324, 34.405, -29.242, -1.332, 31.247, -21.809, -4.65, 7.848]","[42.607, -5.675, -181.953, 174.252, -7.088, 2.065, -34.016, -16.467, 26.687, -16.706, -24.459, 15.773]",46.98191045498256
5,3.0,0.3,-45.033,-39.044000000000004,5.988999999999997,-27.279,-19.525,7.754000000000001,"[0.705, 0.107, 0.221, 0.24, 1.0, 0.923, 0.138, 0.109, 0.477, 0.17, 0.046, 0.855]","[0.778, 0.114, 0.222, 0.229, 1.0, 0.947, 0.15, 0.113, 0.483, 0.186, 0.043, 0.901]",0.09302150289046081,"[26.518, -127.495, -184.345, 21.666, 40.034, -38.074, -20.728, -39.516, 13.879, -6.225, -11.15, 7.07]","[32.797, -145.147, -185.549, 39.597, 27.764, -21.004, -20.68, -49.875, 22.619, -7.021, -6.666, 8.893]",36.38253850406812
6,3.5,0.3,-41.282,-34.760999999999996,6.521000000000001,-23.768,-16.547,7.221,"[0.461, 0.527, 0.33, 0.317, 0.556, 0.625, 0.297, 0.202, 0.391, 0.895, 1.0, 0.543]","[0.47, 0.509, 0.308, 0.251, 0.504, 0.599, 0.277, 0.201, 0.355, 0.861, 1.0, 0.522]",0.10917417276993681,"[28.737, -73.65, -191.218, 22.961, 39.561, -8.163, -20.321, -91.804, 23.487, -3.381, 1.079, 4.66]","[35.573, -85.095, -183.937, 42.22, 23.948, -34.838, -29.875, -105.564, 21.805, 14.625, -13.383, 11.914]",49.25844082997349
7,3.8,0.3,-39.452,-33.195,6.256999999999998,-10.519,-3.2769999999999997,7.242000000000001,"[0.851, 0.521, 0.119, 0.277, 0.628, 0.798, 0.229, 0.31, 0.21, 0.581, 0.588, 1.0]","[0.903, 0.567, 0.135, 0.205, 0.53, 0.748, 0.249, 0.307, 0.246, 0.567, 0.638, 1.0]",0.16360012224934312,"[35.072, 80.159, -160.783, 208.368, -23.587, -39.765, -46.675, 39.639, 18.628, -12.661, -61.584, 13.309]","[41.437, 77.341, -158.257, 216.364, -36.569, -71.849, -55.911, 41.908, 21.227, -14.451, -85.803, 26.503]",46.66625093148152
8,4.8,0.1,-43.035,-37.173,5.861999999999995,-35.623000000000005,-29.302,6.321000000000005,"[0.331, 0.192, 0.513, 0.755, 0.463, 0.405, 0.634, 0.936, 1.0, 0.537, 0.218, 0.236]","[0.285, 0.116, 0.392, 0.648, 0.432, 0.389, 0.687, 0.953, 1.0, 0.583, 0.204, 0.193]",0.206053391139287,"[23.029, -228.121, -139.999, -87.162, 40.793, -66.5, -0.429, 24.91, -0.106, -8.929, 5.519, -0.213]","[29.35, -249.931, -126.454, -82.386, 19.501, -64.462, -8.887, 30.915, 14.647, -8.674, 3.85, 7.597]",39.60437518759765
9,4.9,0.3,-38.324,-32.71,5.613999999999997,-9.683,-2.861,6.821999999999999,"[0.764, 0.21, 0.128, 0.145, 0.517, 1.0, 0.081, 0.116, 0.341, 0.142, 0.067, 0.621]","[0.834, 0.238, 0.129, 0.12, 0.529, 1.0, 0.091, 0.125, 0.348, 0.149, 0.062, 0.648]",0.08652745229116592,"[36.681, -4.418, -175.324, 156.563, -2.558, 17.673, -27.071, -22.386, 22.789, 5.74, -4.159, 16.714]","[43.909, -4.879, -163.174, 156.865, -14.575, -43.242, -39.113, -30.711, 20.306, 13.145, -42.388, 27.436]",76.8566727812231
