,start_rnd,duration_rnd,loudness_start,rem_loudness_start,loud_start_diff,loudness_max,rem_loudness_max,loud_max_diff,pitches,rem_pitches,pitch_eucl_dist,timbre,rem_timbre,timbre_eucl_dist
0,0.0,0.2,-60.0,-60.0,0.0,-60.0,-60.0,0.0,"[0.999, 1.0, 0.34, 0.287, 0.25, 0.253, 0.258, 0.277, 0.27, 0.246, 0.201, 0.45]","[0.999, 1.0, 0.34, 0.287, 0.25, 0.253, 0.258, 0.277, 0.27, 0.246, 0.201, 0.45]",0.0,"[0.0, 171.13, 9.469, -28.48, 57.491, -50.067, 14.833, 5.359, -27.228, 0.973, -10.64, -7.228]","[0.0, 171.13, 9.469, -28.48, 57.491, -50.067, 14.833, 5.359, -27.228, 0.973, -10.64, -7.228]",0.0
1,0.2,0.2,-60.0,-60.0,0.0,-2.149,-2.149,0.0,"[0.28, 0.265, 0.221, 0.16, 0.104, 0.126, 0.27, 0.57, 1.0, 0.407, 0.183, 0.219]","[0.28, 0.265, 0.221, 0.16, 0.104, 0.126, 0.27, 0.57, 1.0, 0.407, 0.183, 0.219]",0.0,"[34.88, 44.334, 64.218, -311.472, 87.911, 272.66, 77.123, 14.915, -15.505, 80.311, -60.959, 7.65]","[34.88, 44.334, 64.218, -311.472, 87.911, 272.66, 77.123, 14.915, -15.505, 80.311, -60.959, 7.65]",0.0
2,0.4,0.4,-14.515999999999998,-14.515999999999998,0.0,-4.397,-4.397,0.0,"[0.065, 0.12, 0.14, 0.029, 0.155, 1.0, 0.364, 0.126, 0.316, 0.046, 0.03, 0.06]","[0.065, 0.12, 0.14, 0.029, 0.155, 1.0, 0.364, 0.126, 0.316, 0.046, 0.03, 0.06]",0.0,"[45.986, -31.48, -103.825, 121.485, 27.029, -18.345, -21.785, -7.469, 2.931, -0.148, -61.889, -7.379]","[45.986, -31.48, -103.825, 121.485, 27.029, -18.345, -21.785, -7.469, 2.931, -0.148, -61.889, -7.379]",0.0
3,0.7,0.5,-33.542,-33.542,0.0,-2.295,-2.295,0.0,"[0.047, 0.077, 0.048, 0.026, 0.263, 1.0, 0.55, 0.229, 0.302, 0.042, 0.031, 0.036]","[0.047, 0.077, 0.048, 0.026, 0.263, 1.0, 0.55, 0.229, 0.302, 0.042, 0.031, 0.036]",0.0,"[46.0, -14.77, -104.419, 191.109, 23.377, -6.749, -18.073, 14.833, 11.78, -6.794, -57.888, 0.152]","[46.0, -14.77, -104.419, 191.109, 23.377, -6.749, -18.073, 14.833, 11.78, -6.794, -57.888, 0.152]",0.0
4,1.2,0.2,-37.998000000000005,-37.998000000000005,0.0,-4.4510000000000005,-4.4510000000000005,0.0,"[0.262, 0.658, 0.575, 0.232, 0.326, 0.292, 0.349, 0.855, 1.0, 0.372, 0.537, 0.265]","[0.262, 0.658, 0.575, 0.232, 0.326, 0.292, 0.349, 0.855, 1.0, 0.372, 0.537, 0.265]",0.0,"[48.371, 10.881, -84.098, 14.829, 32.001, 49.074, -9.592, 20.227, 6.816, 8.029, 64.069, -5.306]","[48.371, 10.881, -84.098, 14.829, 32.001, 49.074, -9.592, 20.227, 6.816, 8.029, 64.069, -5.306]",0.0
5,1.4,0.3,-16.798,-16.798,0.0,-3.177,-3.177,0.0,"[0.293, 0.42, 0.861, 0.468, 0.914, 1.0, 0.717, 0.725, 0.939, 0.485, 0.434, 0.335]","[0.293, 0.42, 0.861, 0.468, 0.914, 1.0, 0.717, 0.725, 0.939, 0.485, 0.434, 0.335]",0.0,"[53.475, 10.298, -11.907, -54.559, 33.539, -3.753, -16.586, 4.798, 4.576, -1.102, 9.516, -1.09]","[53.475, 10.298, -11.907, -54.559, 33.539, -3.753, -16.586, 4.798, 4.576, -1.102, 9.516, -1.09]",0.0
6,1.7,0.3,-9.039,-9.039,0.0,-1.436,-1.436,0.0,"[0.106, 0.401, 0.263, 0.08, 0.271, 1.0, 0.519, 0.782, 0.379, 0.157, 0.152, 0.146]","[0.106, 0.401, 0.263, 0.08, 0.271, 1.0, 0.519, 0.782, 0.379, 0.157, 0.152, 0.146]",0.0,"[55.452, 40.511, 5.684, -20.199, 51.208, -18.456, -8.315, 11.251, 32.472, 1.391, 24.579, -1.905]","[55.452, 40.511, 5.684, -20.199, 51.208, -18.456, -8.315, 11.251, 32.472, 1.391, 24.579, -1.905]",0.0
7,2.0,0.2,-6.58,-6.58,0.0,-2.376,-2.376,0.0,"[0.199, 0.57, 0.465, 0.326, 0.905, 1.0, 0.287, 0.499, 0.677, 0.372, 0.257, 0.233]","[0.199, 0.57, 0.465, 0.326, 0.905, 1.0, 0.287, 0.499, 0.677, 0.372, 0.257, 0.233]",0.0,"[52.755, 18.099, -50.397, 37.984, 37.067, -54.009, -39.379, -16.756, 14.97, -7.049, -20.652, -2.281]","[52.755, 18.099, -50.397, 37.984, 37.067, -54.009, -39.379, -16.756, 14.97, -7.049, -20.652, -2.281]",0.0
8,2.3,0.5,-14.795,-14.795,0.0,-1.621,-1.621,0.0,"[0.048, 0.099, 0.078, 0.069, 0.169, 0.045, 0.046, 0.058, 0.061, 1.0, 0.06, 0.032]","[0.048, 0.099, 0.078, 0.069, 0.169, 0.045, 0.046, 0.058, 0.061, 1.0, 0.06, 0.032]",0.0,"[54.924, 46.311, 16.441, -56.858, 45.098, 3.544, 1.455, 10.803, 29.036, -1.751, -0.307, 6.382]","[54.924, 46.311, 16.441, -56.858, 45.098, 3.544, 1.455, 10.803, 29.036, -1.751, -0.307, 6.382]",0.0
9,2.8,0.2,-7.987,-7.987,0.0,-1.409,-1.409,0.0,"[0.257, 0.211, 0.11, 0.084, 0.119, 0.032, 0.073, 0.249, 0.241, 1.0, 0.199, 0.039]","[0.257, 0.211, 0.11, 0.084, 0.119, 0.032, 0.073, 0.249, 0.241, 1.0, 0.199, 0.039]",0.0,"[55.378, 50.136, -0.265, -25.792, 36.266, -5.368, -27.931, -8.123, 5.795, 4.523, -0.345, 6.798]","[55.378, 50.136, -0.265, -25.792, 36.266, -5.368, -27.931, -8.123, 5.795, 4.523, -0.345, 6.798]",0.0
