,start_rnd,duration_rnd,loudness_start,rem_loudness_start,loud_start_diff,loudness_max,rem_loudness_max,loud_max_diff,pitches,rem_pitches,pitch_eucl_dist,timbre,rem_timbre,timbre_eucl_dist
0,0.0,0.4,-60.0,-60.0,0.0,-31.898000000000003,-31.898000000000003,0.0,"[0.173, 0.187, 0.199, 0.226, 0.113, 0.176, 0.397, 0.473, 0.313, 1.0, 0.508, 0.146]","[0.173, 0.187, 0.199, 0.226, 0.113, 0.176, 0.397, 0.473, 0.313, 1.0, 0.508, 0.146]",0.0,"[17.743, 81.022, -42.639, -117.776, 2.829, 86.143, 27.689, 39.063, -18.253, 59.172, 16.754, -3.623]","[17.743, 81.022, -42.639, -117.776, 2.829, 86.143, 27.689, 39.063, -18.253, 59.172, 16.754, -3.623]",0.0
1,0.4,0.2,-38.85,-38.85,0.0,-23.964000000000002,-23.964000000000002,0.0,"[0.578, 0.937, 0.251, 0.313, 0.307, 0.423, 0.278, 0.539, 0.608, 0.284, 0.257, 1.0]","[0.578, 0.937, 0.251, 0.313, 0.307, 0.423, 0.278, 0.539, 0.608, 0.284, 0.257, 1.0]",0.0,"[25.497, 92.761, -72.205, -64.324, 1.406, 4.358, 14.471, 0.268, -9.234, 21.248, -49.576, 13.785]","[25.497, 92.761, -72.205, -64.324, 1.406, 4.358, 14.471, 0.268, -9.234, 21.248, -49.576, 13.785]",0.0
2,0.7,0.2,-35.399,-35.399,0.0,-32.412,-32.412,0.0,"[0.137, 0.327, 0.229, 0.218, 0.553, 0.533, 0.973, 0.973, 1.0, 0.997, 0.365, 0.018]","[0.137, 0.327, 0.229, 0.218, 0.553, 0.533, 0.973, 0.973, 1.0, 0.997, 0.365, 0.018]",0.0,"[26.021, 58.383, -79.838, -46.711, -1.683, -60.283, -16.614, 26.004, -0.736, 0.999, -7.08, -14.496]","[26.021, 58.383, -79.838, -46.711, -1.683, -60.283, -16.614, 26.004, -0.736, 0.999, -7.08, -14.496]",0.0
3,0.8,0.2,-35.348,-35.348,0.0,-24.063000000000002,-24.063000000000002,0.0,"[0.85, 1.0, 0.759, 0.811, 0.57, 0.487, 0.446, 0.695, 0.53, 0.268, 0.174, 0.809]","[0.85, 1.0, 0.759, 0.811, 0.57, 0.487, 0.446, 0.695, 0.53, 0.268, 0.174, 0.809]",0.0,"[27.642, 80.922, -71.703, -74.065, 12.241, -14.781, 7.945, 14.582, 0.935, 18.282, -46.582, 9.415]","[27.642, 80.922, -71.703, -74.065, 12.241, -14.781, 7.945, 14.582, 0.935, 18.282, -46.582, 9.415]",0.0
4,1.0,0.2,-34.193000000000005,-34.193000000000005,0.0,-30.465,-30.465,0.0,"[0.699, 1.0, 0.605, 0.384, 0.224, 0.124, 0.102, 0.239, 0.336, 0.206, 0.101, 0.434]","[0.699, 1.0, 0.605, 0.384, 0.224, 0.124, 0.102, 0.239, 0.336, 0.206, 0.101, 0.434]",0.0,"[27.225, 89.321, -106.694, -69.278, 14.931, -34.703, -3.156, 2.084, 5.625, 13.692, -17.319, -1.703]","[27.225, 89.321, -106.694, -69.278, 14.931, -34.703, -3.156, 2.084, 5.625, 13.692, -17.319, -1.703]",0.0
5,1.2,0.2,-33.106,-33.106,0.0,-23.06,-23.06,0.0,"[0.731, 1.0, 0.7, 0.686, 0.468, 0.342, 0.337, 0.562, 0.395, 0.236, 0.169, 0.539]","[0.731, 1.0, 0.7, 0.686, 0.468, 0.342, 0.337, 0.562, 0.395, 0.236, 0.169, 0.539]",0.0,"[29.906, 68.254, -86.881, -66.688, 31.701, -20.07, 0.256, 15.304, 2.159, 27.132, -35.957, 2.591]","[29.906, 68.254, -86.881, -66.688, 31.701, -20.07, 0.256, 15.304, 2.159, 27.132, -35.957, 2.591]",0.0
6,1.4,0.2,-32.082,-32.082,0.0,-28.585,-28.585,0.0,"[0.788, 1.0, 0.676, 0.433, 0.292, 0.089, 0.097, 0.208, 0.298, 0.181, 0.107, 0.541]","[0.788, 1.0, 0.676, 0.433, 0.292, 0.089, 0.097, 0.208, 0.298, 0.181, 0.107, 0.541]",0.0,"[29.289, 88.741, -108.125, -54.999, 26.81, -38.492, -9.128, 7.277, 0.999, 22.173, -22.763, -4.97]","[29.289, 88.741, -108.125, -54.999, 26.81, -38.492, -9.128, 7.277, 0.999, 22.173, -22.763, -4.97]",0.0
7,1.6,0.1,-32.103,-32.103,0.0,-23.416,-23.416,0.0,"[0.627, 0.911, 0.608, 0.581, 0.607, 0.608, 0.607, 0.623, 0.999, 1.0, 0.762, 0.049]","[0.627, 0.911, 0.608, 0.581, 0.607, 0.608, 0.607, 0.623, 0.999, 1.0, 0.762, 0.049]",0.0,"[31.979, 79.267, -70.577, -81.297, 26.035, -22.442, 20.062, -0.651, -0.322, 18.609, -30.729, 5.346]","[31.979, 79.267, -70.577, -81.297, 26.035, -22.442, 20.062, -0.651, -0.322, 18.609, -30.729, 5.346]",0.0
8,1.8,0.3,-29.489,-29.489,0.0,-7.707999999999999,-7.707999999999999,0.0,"[0.874, 0.894, 0.507, 0.675, 0.851, 0.769, 1.0, 0.626, 0.405, 0.376, 0.454, 0.837]","[0.874, 0.894, 0.507, 0.675, 0.851, 0.769, 1.0, 0.626, 0.405, 0.376, 0.454, 0.837]",0.0,"[49.721, 102.057, -38.037, -39.371, 6.254, -19.424, -28.574, 52.025, 12.146, -26.993, 23.009, -9.229]","[49.721, 102.057, -38.037, -39.371, 6.254, -19.424, -28.574, 52.025, 12.146, -26.993, 23.009, -9.229]",0.0
9,2.0,0.1,-14.030999999999999,-14.030999999999999,0.0,-10.174,-10.174,0.0,"[1.0, 0.685, 0.439, 0.349, 0.431, 0.421, 0.422, 0.271, 0.223, 0.253, 0.517, 0.447]","[1.0, 0.685, 0.439, 0.349, 0.431, 0.421, 0.422, 0.271, 0.223, 0.253, 0.517, 0.447]",0.0,"[48.294, 163.069, -41.723, -43.076, 21.363, -52.612, -19.363, 7.441, 14.032, 0.245, -1.916, 5.408]","[48.294, 163.069, -41.723, -43.076, 21.363, -52.612, -19.363, 7.441, 14.032, 0.245, -1.916, 5.408]",0.0
