,start_rnd,duration_rnd,loudness_start,rem_loudness_start,loud_start_diff,loudness_max,rem_loudness_max,loud_max_diff,pitches,rem_pitches,pitch_eucl_dist,timbre,rem_timbre,timbre_eucl_dist
0,9.7,0.3,-9.425,-14.249,-4.824,-4.522,-8.356,-3.8339999999999996,"[0.57, 0.406, 0.218, 0.129, 0.14, 0.053, 0.044, 0.054, 0.06, 0.099, 0.203, 1.0]","[1.0, 0.058, 0.074, 0.035, 0.487, 0.306, 0.056, 0.141, 0.047, 0.203, 0.038, 0.168]",1.1216688459612312,"[50.267, -63.796, 1.356, 45.092, 59.081, -26.819, -2.361, 3.948, 0.296, -30.437, -22.436, -0.363]","[47.083, 4.79, 28.344, 33.622, 40.267, -69.749, 15.152, -28.204, -15.731, 9.926, -20.825, -8.022]",105.16078244764061
1,16.4,0.3,-33.428000000000004,-32.012,1.416000000000004,-1.6569999999999998,-17.483,-15.826,"[0.105, 1.0, 0.067, 0.027, 0.082, 0.084, 0.14, 0.034, 0.309, 0.033, 0.021, 0.129]","[0.022, 0.07, 0.081, 0.392, 0.631, 0.123, 0.09, 0.016, 0.071, 1.0, 0.042, 0.073]",1.5186395227307894,"[47.574, -17.662, -53.462, 5.509, 48.424, 122.104, 41.944, -19.155, -29.036, 1.037, 42.872, -12.43]","[35.605, 41.825, -61.374, 71.918, 69.805, -28.832, -14.368, -30.987, -53.955, 0.865, -11.846, 3.851]",196.42986689910475
2,20.7,0.1,-20.688000000000002,-27.318,-6.629999999999999,-6.397,-17.511,-11.113999999999999,"[0.931, 0.078, 0.067, 0.083, 0.067, 0.021, 0.174, 0.079, 0.013, 0.104, 0.065, 1.0]","[0.058, 0.134, 0.121, 0.039, 0.146, 0.066, 0.233, 0.065, 0.341, 1.0, 0.165, 0.243]",1.508479035320014,"[51.65, 63.029, 163.507, 38.075, 93.144, -8.625, 31.004, 23.249, -9.559, -14.499, 36.337, 22.143]","[37.598, 12.266, 54.006, 60.578, 1.485, -17.703, -15.595, -15.607, -60.078, -4.007, 9.111, -9.344]",178.4129212108809
3,21.7,0.2,-16.184,-17.717,-1.5329999999999977,-6.725,-7.337999999999999,-0.6129999999999995,"[0.153, 0.112, 0.091, 0.34, 0.592, 0.41, 0.167, 0.106, 0.118, 0.079, 1.0, 0.501]","[0.203, 0.941, 0.291, 0.078, 0.132, 0.163, 1.0, 0.117, 0.461, 0.073, 0.074, 0.318]",1.665429073842534,"[47.51, -33.471, -14.605, 32.395, 73.953, -4.428, 42.181, -22.267, -44.103, 19.478, -43.63, 14.011]","[47.21, -11.863, -4.726, 66.053, 46.327, -62.108, 14.179, -23.124, -12.621, 7.858, -17.4, -2.463]",93.04849433494343
4,25.0,0.2,-14.13,-17.872,-3.741999999999999,-5.815,-13.617,-7.8020000000000005,"[0.248, 0.809, 1.0, 0.113, 0.059, 0.235, 0.433, 0.046, 0.063, 0.275, 0.085, 0.347]","[0.523, 1.0, 0.364, 0.098, 0.485, 0.215, 0.225, 0.124, 0.398, 0.406, 0.163, 0.326]",0.9401925334738624,"[50.268, -27.011, -21.88, 29.489, 9.374, -24.729, -11.539, -12.527, -9.177, -1.791, -8.348, 22.27]","[44.33, -6.923, 94.743, -0.817, 9.302, -14.553, 34.093, 4.748, -26.804, -15.758, 4.111, 17.513]",134.63309589398887
5,27.9,0.3,-15.79,-40.218,-24.428000000000004,-5.204,-24.691999999999997,-19.487999999999996,"[0.012, 0.021, 0.079, 0.381, 1.0, 0.343, 0.026, 0.008, 0.007, 0.008, 0.01, 0.032]","[1.0, 0.634, 0.754, 0.463, 0.316, 0.178, 0.117, 0.072, 0.053, 0.064, 0.18, 0.698]",1.673149126647114,"[50.597, 28.701, -58.58, 9.153, 88.703, -12.884, -66.333, -25.888, 5.125, -24.316, -20.262, -7.571]","[27.135, 134.291, 40.946, -134.545, 17.127, -9.362, 6.523, 18.156, -21.554, -1.187, -7.377, 7.025]",237.19915362201442
6,29.6,0.1,-22.063000000000002,-16.910999999999998,5.152000000000005,-12.228,-14.364,-2.136000000000001,"[0.088, 0.183, 0.171, 0.093, 0.244, 0.085, 0.136, 0.061, 0.514, 1.0, 0.254, 0.203]","[0.402, 0.37, 0.132, 0.084, 0.088, 0.413, 1.0, 0.19, 0.084, 0.147, 0.126, 0.506]",1.4321054430453086,"[43.132, 39.716, 27.939, 39.194, -10.119, -54.795, -17.994, 17.391, -54.303, 7.922, 9.283, -8.902]","[44.65, 73.838, 18.97, -32.519, 23.649, -20.542, -48.697, -20.046, -14.809, 9.395, -4.659, -19.294]",113.6304551693779
7,31.3,0.1,-25.829,-25.679000000000002,0.14999999999999858,-8.323,-20.295,-11.972000000000001,"[0.095, 0.3, 0.06, 0.037, 0.231, 0.064, 0.231, 0.073, 0.263, 1.0, 0.148, 0.221]","[0.304, 1.0, 0.323, 0.085, 0.34, 0.055, 0.123, 0.11, 0.466, 0.062, 0.055, 0.167]",1.2501067954378937,"[45.541, 11.612, 48.145, 22.653, 10.297, 46.304, 1.492, -14.274, -49.453, 23.856, 36.593, -5.021]","[36.317, -48.909, -26.315, 9.91, 15.618, -27.82, 16.377, -11.233, -48.533, -8.778, -1.016, -0.086]",133.08890280936274
8,31.5,0.3,-17.132,-31.004,-13.872,-8.958,-12.649000000000001,-3.6910000000000007,"[0.058, 0.199, 0.045, 0.044, 0.125, 0.301, 1.0, 0.204, 0.029, 0.036, 0.035, 0.09]","[0.093, 0.177, 0.072, 0.221, 1.0, 0.277, 0.213, 0.136, 0.155, 0.192, 0.068, 0.399]",1.2492970023177035,"[45.466, -9.44, -41.904, 82.692, 29.447, -37.072, -28.348, 30.371, -20.582, -2.005, -40.145, 1.474]","[40.078, 39.496, -34.837, 72.655, -24.602, -7.563, -18.425, 25.825, -35.29, -2.009, -19.563, -13.216]",85.68193583830842
9,32.0,0.3,-28.648000000000003,-25.614,3.0340000000000025,-12.761,-17.069000000000003,-4.308000000000003,"[0.178, 0.418, 0.119, 0.148, 0.334, 1.0, 0.578, 0.168, 0.116, 0.142, 0.152, 0.373]","[0.074, 0.232, 0.046, 0.041, 0.158, 0.276, 1.0, 0.188, 0.037, 0.039, 0.046, 0.101]",0.9475737438321093,"[44.788, 111.748, -45.684, -16.349, 72.218, -31.326, -73.571, 10.167, -15.971, -19.638, -3.199, 2.426]","[37.326, 17.024, -28.081, 88.963, 34.972, -33.885, -24.23, 31.782, -21.866, -1.547, -42.233, 1.265]",163.1299863881561
10,47.2,0.2,-5.314,-20.732,-15.418,0.259,-8.905,-9.164,"[0.104, 0.572, 0.101, 0.04, 0.222, 0.327, 0.717, 0.519, 0.109, 1.0, 0.434, 0.103]","[0.057, 0.163, 0.075, 0.039, 0.117, 0.104, 1.0, 0.213, 0.12, 0.069, 0.146, 0.207]",1.168455390676084,"[55.832, -10.215, 46.209, 2.633, 83.863, -35.198, 40.478, 3.138, -40.932, -9.895, -8.944, -13.764]","[48.069, 28.649, 73.381, -45.085, 24.252, -12.648, -8.308, 30.503, -29.106, -14.804, 12.618, -14.717]",111.38523791328903
11,49.6,0.2,-8.956,-19.304000000000002,-10.348000000000003,-5.442,-14.481,-9.039,"[0.285, 1.0, 0.199, 0.345, 0.691, 0.472, 0.242, 0.099, 0.493, 0.041, 0.045, 0.129]","[0.171, 0.759, 0.624, 0.659, 1.0, 0.129, 0.048, 0.017, 0.05, 0.116, 0.147, 0.339]",0.9296052925839009,"[53.475, -16.616, -1.026, -30.207, 70.388, -42.116, -9.239, -4.939, 24.945, 9.446, -5.871, -13.036]","[42.238, 2.426, 36.302, 25.669, 77.133, -9.823, -29.608, 1.878, 15.784, 11.402, -25.291, 11.413]",87.2737948928543
12,51.0,0.2,-10.649000000000001,-24.139,-13.489999999999998,-3.076,-7.306,-4.23,"[0.138, 0.492, 0.774, 0.856, 1.0, 0.928, 0.709, 0.221, 0.153, 0.323, 0.112, 0.181]","[0.11, 0.123, 0.117, 0.379, 1.0, 0.229, 0.265, 0.152, 0.181, 0.148, 0.109, 0.188]",1.2321071381986228,"[53.004, -0.368, -4.635, -67.721, 20.338, -10.289, -61.79, -2.826, -37.487, -6.715, 0.871, -28.158]","[44.935, 101.975, 6.314, 92.5, 10.583, -56.975, -5.21, 57.122, -25.246, -3.991, 11.775, -10.385]",214.45672891984526
13,53.6,0.2,-15.109000000000002,-14.422,0.6870000000000012,-6.617999999999999,-9.373,-2.755,"[0.048, 0.049, 0.07, 0.398, 1.0, 0.142, 0.049, 0.032, 0.036, 0.019, 0.031, 0.094]","[0.091, 0.412, 0.883, 0.182, 0.116, 0.311, 1.0, 0.78, 0.095, 0.313, 0.045, 0.063]",1.7905973863490363,"[49.193, 12.578, 80.922, -48.982, 105.523, -19.719, -7.076, -7.639, 0.178, 15.64, -4.264, -17.168]","[47.749, -24.27, 73.294, 40.187, 72.076, -50.49, 28.425, 13.056, -9.194, 3.684, -28.555, -20.79]",118.14088769769761
14,54.3,0.2,-14.718,-19.861,-5.143000000000001,-10.324000000000002,-13.513,-3.1889999999999983,"[0.229, 1.0, 0.322, 0.214, 0.298, 0.206, 0.272, 0.096, 0.613, 0.072, 0.055, 0.117]","[0.101, 0.007, 0.018, 0.087, 0.728, 1.0, 0.045, 0.016, 0.017, 0.01, 0.017, 0.072]",1.5319177523613987,"[47.41, -70.202, -40.615, -17.211, 38.33, -31.943, -20.055, -11.517, 5.414, -1.375, -12.463, -14.433]","[43.473, 22.418, 104.212, 27.776, 127.712, -3.361, -20.061, 10.772, 9.368, 6.602, -14.404, -22.24]",202.5821069270433
15,54.5,0.3,-15.300999999999998,-20.113,-4.812000000000001,-6.763,-5.985,0.7779999999999996,"[0.079, 0.096, 0.182, 0.429, 1.0, 0.323, 0.134, 0.058, 0.105, 0.09, 0.043, 0.246]","[0.111, 1.0, 0.135, 0.386, 0.685, 0.345, 0.268, 0.071, 0.608, 0.059, 0.084, 0.251]",1.0935300636013625,"[49.096, -23.397, -30.187, 12.943, 9.89, -28.696, -21.73, 27.492, -11.16, -2.315, -5.537, -19.407]","[44.12, -7.875, 33.615, 26.205, 85.462, 20.484, -5.02, -3.552, 6.461, 0.81, -45.616, -20.981]",125.75409142847003
16,54.9,0.3,-14.050999999999998,-23.671,-9.620000000000001,-5.461,-13.314,-7.853,"[0.027, 0.165, 0.047, 0.047, 0.076, 0.335, 1.0, 0.242, 0.061, 0.032, 0.025, 0.04]","[0.089, 0.113, 0.182, 0.432, 1.0, 0.312, 0.169, 0.074, 0.131, 0.121, 0.061, 0.247]",1.3427784627405968,"[50.537, 27.907, -3.759, 17.05, 12.792, -41.564, -18.005, 54.202, -20.962, 6.144, 23.513, -9.717]","[41.848, 4.032, -17.187, 28.469, 18.602, -20.296, -24.311, 30.079, -13.967, -0.238, -2.694, -20.58]",54.39172130940516
17,55.2,0.2,-14.503,-26.299,-11.796,-1.821,-16.47,-14.649,"[0.078, 0.076, 0.072, 0.275, 1.0, 0.28, 0.192, 0.101, 0.091, 0.06, 0.055, 0.164]","[0.111, 0.313, 0.189, 0.473, 1.0, 0.41, 0.549, 0.109, 0.489, 0.96, 0.217, 0.57]",1.1891375025622561,"[50.385, 17.237, -64.278, 98.616, 25.923, -31.663, -2.856, -2.125, -31.679, -2.268, -27.411, -2.388]","[38.944, 35.579, 65.577, -15.72, 32.154, 29.285, -16.156, 1.219, -34.709, -18.234, -3.694, -11.186]",187.74429076805507
18,57.7,0.1,-15.262,-20.71,-5.448,-9.677,-12.762,-3.085000000000001,"[0.075, 0.062, 0.093, 0.087, 0.277, 0.04, 0.163, 0.096, 0.333, 1.0, 0.165, 0.191]","[0.542, 0.286, 0.187, 0.078, 0.129, 0.217, 0.682, 0.228, 0.191, 0.242, 0.388, 1.0]",1.3842463653555317,"[48.494, -36.606, 31.952, 4.801, 17.121, -43.914, -11.282, -12.7, -53.113, -5.686, -0.811, -10.562]","[44.698, 19.175, 16.388, -0.525, 17.725, -8.366, -2.576, 9.602, 6.65, 5.405, -0.015, -2.22]",94.86085461875199
19,57.8,0.2,-12.795,-17.685,-4.889999999999999,-6.206,-14.222000000000001,-8.016000000000002,"[0.055, 0.448, 1.0, 0.288, 0.165, 0.156, 0.22, 0.115, 0.174, 0.467, 0.073, 0.084]","[0.443, 1.0, 0.453, 0.101, 0.132, 0.156, 0.165, 0.074, 0.346, 0.664, 0.426, 0.304]",1.018146845990302,"[51.47, -36.542, 21.887, 0.24, 18.817, -3.148, -5.366, -9.576, -21.202, -7.737, 2.906, -11.363]","[43.035, 13.594, 20.463, 15.246, 2.197, -7.212, -18.113, -2.413, -13.425, -12.032, -25.421, -24.737]",66.17191372478206
20,59.1,0.3,-18.654,-29.613000000000003,-10.959000000000003,-8.59,-7.38,1.21,"[0.128, 0.135, 0.172, 0.224, 1.0, 0.287, 0.191, 0.074, 0.15, 0.125, 0.041, 0.371]","[0.158, 1.0, 0.12, 0.102, 0.292, 0.353, 0.381, 0.112, 0.459, 0.124, 0.137, 0.278]",1.1929895221668965,"[47.457, 5.468, -50.564, 12.053, 7.092, -40.4, -19.261, 26.061, -30.693, -3.378, -11.235, -14.757]","[36.537, -0.502, 7.635, -78.672, 60.429, 10.37, 4.993, -27.084, -19.795, 5.941, -49.349, 9.408]",151.16331208993802
21,63.3,0.3,-27.676,-33.738,-6.062000000000001,-2.424,-15.474,-13.05,"[0.088, 1.0, 0.112, 0.044, 0.115, 0.115, 0.197, 0.048, 0.287, 0.018, 0.019, 0.108]","[0.034, 0.033, 0.052, 0.197, 1.0, 0.08, 0.078, 0.029, 0.082, 0.212, 0.136, 0.171]",1.3642965220215142,"[47.878, -58.691, -51.62, -21.364, 30.058, 101.263, 40.198, 10.885, -5.918, -42.663, 2.532, -18.288]","[35.337, 81.378, -63.852, 93.433, 25.455, 33.366, -28.878, 11.517, -48.113, -20.066, 3.301, -9.458]",211.84253724877826
22,65.1,0.2,-10.927,-27.546999999999997,-16.619999999999997,-4.007,-14.012,-10.005,"[0.215, 0.154, 0.171, 0.238, 0.368, 1.0, 0.429, 0.268, 0.236, 0.513, 0.148, 0.186]","[0.019, 0.119, 0.054, 0.052, 0.252, 0.288, 0.058, 0.054, 0.075, 1.0, 0.655, 0.029]",1.1560929893395253,"[52.447, 47.974, -35.173, -36.905, 11.543, -21.839, -15.595, 14.064, -7.733, -21.39, 18.921, 0.417]","[40.141, 77.471, 126.053, -58.802, 52.498, 4.654, 32.371, -21.915, 31.241, 9.694, 16.624, -0.127]",189.63119173279483
23,66.5,0.2,-9.365,-13.193,-3.8279999999999994,-5.876,-7.607,-1.7309999999999999,"[0.499, 0.407, 0.326, 0.076, 0.171, 0.406, 1.0, 0.222, 0.173, 0.163, 0.216, 0.955]","[1.0, 0.827, 0.218, 0.438, 0.433, 0.747, 0.752, 0.19, 0.429, 0.402, 0.354, 0.603]",1.040753092717,"[53.126, 80.146, -54.567, -49.585, 41.648, -52.136, -7.621, -15.9, -15.567, -7.46, 4.046, 17.651]","[48.19, 18.283, 75.514, 74.006, 23.166, -12.389, 55.593, 10.146, -10.936, 12.521, -45.314, 15.561]",213.31777510090433
24,73.4,0.1,-24.826,-24.391,0.4350000000000023,-9.306000000000001,-18.277,-8.971,"[0.166, 0.201, 0.069, 0.031, 0.122, 0.093, 0.162, 0.098, 0.399, 1.0, 0.243, 0.678]","[0.418, 1.0, 0.416, 0.122, 0.256, 0.076, 0.145, 0.171, 0.551, 0.134, 0.07, 0.266]",1.3517362908496613,"[44.342, 50.512, 29.797, -29.33, 8.98, 60.195, 4.607, -2.681, -54.258, 25.677, -9.641, -1.479]","[37.957, -30.067, -16.28, 15.65, 2.349, -65.576, 3.168, -19.036, -40.83, -6.008, -9.179, 2.896]",167.37834274779996
25,73.6,0.3,-16.918,-27.998,-11.080000000000002,-5.936,-12.055,-6.119,"[0.028, 0.254, 0.039, 0.025, 0.046, 0.232, 1.0, 0.202, 0.033, 0.017, 0.034, 0.08]","[0.075, 0.098, 0.071, 0.137, 1.0, 0.216, 0.083, 0.076, 0.102, 0.147, 0.048, 0.231]",1.3608482648701141,"[47.76, -10.484, -28.317, 77.401, 24.081, -45.475, -40.644, 22.328, -17.157, 2.805, -39.745, 13.48]","[40.533, 39.589, -48.739, 64.928, -9.165, 1.268, -30.234, 42.348, -27.316, -3.227, -28.124, -3.462]",86.56333546022819
26,74.1,0.2,-24.243000000000002,-25.805,-1.5619999999999976,-7.517,-14.287,-6.7700000000000005,"[0.357, 0.218, 0.144, 0.131, 0.131, 0.42, 0.336, 0.254, 0.902, 1.0, 0.627, 0.59]","[0.036, 0.372, 0.053, 0.028, 0.067, 0.233, 1.0, 0.194, 0.045, 0.024, 0.049, 0.106]",1.6984030734781421,"[49.39, 56.424, -52.2, -47.775, 44.94, 8.659, -34.31, 19.782, -38.012, 16.517, 4.017, -2.302]","[39.443, 17.302, -8.775, 80.928, 32.809, -50.657, -43.545, 21.3, -20.489, -3.023, -41.854, 17.179]",164.33298580625862
