,start_rnd,duration_rnd,loudness_start,rem_loudness_start,loud_start_diff,loudness_max,rem_loudness_max,loud_max_diff,pitches,rem_pitches,pitch_eucl_dist,timbre,rem_timbre,timbre_eucl_dist
0,5.2,0.2,-11.775,-12.984000000000002,-1.2090000000000014,-9.414,-10.13,-0.7160000000000011,"[0.291, 1.0, 0.625, 0.409, 0.278, 0.197, 0.035, 0.03, 0.01, 0.192, 0.041, 0.01]","[0.328, 1.0, 0.49, 0.262, 0.201, 0.033, 0.076, 0.069, 0.028, 0.146, 0.053, 0.035]",0.28361770043493406,"[49.299, 37.289, 22.494, -4.89, 7.75, -27.782, 5.594, 4.948, -10.383, -3.929, -9.262, 25.074]","[48.691, 10.157, 44.399, -3.43, -2.971, -30.756, 31.083, 6.842, -7.306, -5.294, -2.309, 7.368]",48.669439959794076
1,11.1,0.2,-12.535,-15.1,-2.5649999999999995,-9.141,-12.753,-3.612,"[0.347, 0.758, 0.796, 1.0, 0.563, 0.139, 0.188, 0.092, 0.11, 0.388, 0.371, 0.349]","[0.166, 0.143, 0.055, 0.484, 1.0, 0.582, 0.148, 0.071, 0.178, 0.047, 0.052, 0.361]",1.35587315040899,"[48.483, 33.704, 49.344, 0.144, -9.512, -30.238, 24.974, -3.698, -11.504, 17.91, -8.01, 19.45]","[46.803, -26.575, 37.397, -17.814, -7.617, -43.794, 43.182, 8.152, -4.861, 9.525, -10.517, -7.188]",74.77443751710874
2,13.9,0.2,-9.116,-9.607000000000001,-0.49100000000000144,-5.921,-3.108,2.813,"[0.147, 0.202, 0.095, 0.051, 0.756, 0.119, 0.098, 0.05, 0.098, 1.0, 0.127, 0.24]","[0.379, 0.359, 0.188, 0.212, 0.662, 0.145, 0.546, 0.359, 0.516, 1.0, 0.499, 0.364]",0.8644211936319007,"[52.344, 34.517, 62.029, -11.79, 38.627, -20.579, -16.205, -24.15, -36.019, -0.259, -1.385, -1.638]","[53.091, 10.832, 32.058, -2.611, 18.779, -61.295, -10.704, -6.357, 15.775, 5.258, 2.342, -28.459]",85.95901361113911
3,16.5,0.4,-9.963,-7.681,2.281999999999999,-5.226,-5.254,-0.02799999999999958,"[0.15, 0.321, 1.0, 0.265, 0.31, 0.22, 0.221, 0.129, 0.081, 0.401, 0.08, 0.104]","[0.3, 0.364, 1.0, 0.475, 0.58, 0.276, 0.38, 0.366, 0.342, 0.948, 0.365, 0.439]",0.8869695597933448,"[52.861, 19.243, 31.592, -3.789, 11.807, -38.018, 6.022, 9.548, 6.924, 28.223, 4.994, -11.603]","[53.392, 22.88, 56.12, -1.568, 16.57, -28.695, 29.435, 18.42, -6.739, -4.052, -18.076, 3.931]",57.951997860298135
4,18.0,0.4,-8.751,-8.484,0.26699999999999946,-3.825,-5.957000000000001,-2.1320000000000006,"[0.071, 0.322, 0.101, 0.052, 0.172, 0.245, 1.0, 0.27, 0.067, 0.095, 0.058, 0.088]","[0.156, 0.595, 1.0, 0.072, 0.791, 0.089, 0.129, 0.095, 0.056, 0.797, 0.098, 0.192]",1.6101114868231952,"[54.678, 56.653, 21.941, -15.337, 7.411, -27.989, 15.332, 10.831, -6.356, 8.713, -1.039, -15.484]","[52.888, 35.772, 50.925, -3.545, 50.624, -36.509, 0.567, -5.05, 10.414, 14.168, -6.949, -14.05]",64.62571714882552
5,19.8,0.2,-8.702,-9.318999999999999,-0.6169999999999991,-4.832,-3.557,1.275,"[0.208, 0.411, 0.078, 0.067, 1.0, 0.14, 0.27, 0.081, 0.085, 0.268, 0.049, 0.276]","[0.679, 0.957, 0.536, 0.326, 1.0, 0.526, 0.877, 0.426, 0.727, 0.849, 0.348, 0.7]",1.5659418890878423,"[53.275, 27.629, 62.974, -1.638, 33.558, -21.283, -3.249, -12.095, -18.311, -1.717, -4.434, -0.26]","[53.295, 8.931, 40.944, 5.713, 5.762, -53.879, 19.579, -8.013, 3.539, 13.817, 2.686, -24.717]",68.03997170781304
6,20.0,0.2,-8.822000000000001,-8.152000000000001,0.6699999999999999,-4.516,-5.831,-1.3150000000000004,"[0.37, 0.768, 0.572, 0.554, 1.0, 0.914, 0.759, 0.365, 0.07, 0.208, 0.044, 0.445]","[0.161, 0.363, 0.089, 0.088, 0.412, 0.373, 1.0, 0.374, 0.091, 0.14, 0.057, 0.192]",1.193306750169461,"[53.966, 22.51, 44.843, -9.388, 12.065, -51.993, 15.521, 19.323, -14.71, -15.934, -1.407, -33.477]","[53.166, 9.255, 69.117, 1.636, 6.06, -30.215, 25.57, 14.356, -6.899, -8.807, -10.568, -9.139]",48.074457781653656
7,23.5,0.4,-10.741,-10.139,0.6020000000000003,-7.0120000000000005,-0.9059999999999999,6.106000000000001,"[0.067, 0.056, 0.08, 0.092, 0.63, 1.0, 0.917, 0.256, 0.135, 0.048, 0.034, 0.238]","[0.096, 0.089, 0.087, 0.128, 1.0, 0.329, 0.32, 0.122, 0.078, 0.047, 0.047, 0.327]",0.987988360255322,"[50.97, 63.019, 29.82, -30.11, 11.336, -29.094, 7.011, 10.013, -15.841, -16.905, -6.387, 6.901]","[53.006, 27.608, 51.509, -29.541, 3.358, -0.731, 8.14, 19.346, -20.963, -16.654, -22.47, 3.983]",54.578237237932115
8,29.8,0.1,-22.853,-16.051,6.802000000000003,-13.040999999999999,-12.057,0.9839999999999982,"[0.501, 1.0, 0.403, 0.301, 0.291, 0.215, 0.133, 0.13, 0.119, 0.105, 0.109, 0.034]","[0.036, 0.364, 0.486, 1.0, 0.316, 0.066, 0.116, 0.046, 0.322, 0.031, 0.082, 0.026]",1.0926390071748309,"[41.365, -84.534, 50.602, -60.351, -28.825, 0.24, 16.693, -8.789, -37.486, -14.904, -15.471, -8.863]","[45.222, -32.236, -35.566, 9.081, -14.017, -29.909, -2.623, -3.431, -63.824, -9.323, -20.875, -23.501]",132.26507948434462
9,29.9,0.2,-20.187,-18.7,1.4870000000000019,-13.112,-14.659,-1.5470000000000006,"[0.016, 0.462, 1.0, 0.414, 0.235, 0.015, 0.037, 0.01, 0.045, 0.048, 0.01, 0.009]","[0.086, 0.684, 0.403, 1.0, 0.519, 0.21, 0.32, 0.029, 0.489, 0.033, 0.079, 0.044]",1.075391556596945,"[44.015, -77.055, 38.24, -29.162, -40.478, -22.782, 2.389, 8.864, -37.372, -19.858, -7.251, -10.599]","[42.658, -60.348, 6.9, -7.15, -60.761, -7.139, 8.028, 1.713, -42.631, -22.667, -16.326, -19.089]",51.73694027481719
