,start_rnd,duration_rnd,loudness_start,rem_loudness_start,loud_start_diff,loudness_max,rem_loudness_max,loud_max_diff,pitches,rem_pitches,pitch_eucl_dist,timbre,rem_timbre,timbre_eucl_dist
0,4.2,0.1,-21.456,-19.070999999999998,2.3850000000000016,-16.149,-10.525,5.6240000000000006,"[0.125, 0.111, 0.597, 1.0, 0.571, 0.152, 0.187, 0.183, 0.081, 0.16, 0.6, 0.206]","[0.092, 0.161, 1.0, 0.7, 0.128, 0.072, 0.075, 0.1, 0.061, 0.122, 0.112, 0.074]",0.8576083021986203,"[41.682, 155.098, 112.351, -25.276, 30.497, -15.907, -20.922, 24.798, -22.507, 2.193, 8.599, 17.9]","[47.116, 145.434, 69.567, -38.753, 36.082, -15.77, -17.44, 4.38, -7.619, -6.399, 20.121, 57.384]",67.69393788959245
1,9.5,0.2,-23.107,-14.369000000000002,8.737999999999998,-12.171,-6.28,5.890999999999999,"[0.783, 0.682, 0.157, 0.071, 0.111, 0.209, 0.451, 0.1, 0.269, 0.155, 0.471, 1.0]","[1.0, 0.647, 0.154, 0.075, 0.083, 0.159, 0.545, 0.204, 0.47, 0.232, 0.388, 0.982]",0.35329590996783417,"[43.764, -5.575, 48.771, 50.505, 8.497, 8.619, -14.831, 9.293, -22.972, -8.901, -47.396, -22.535]","[51.127, 19.414, 43.605, 38.723, 5.38, -12.5, -17.369, 20.98, -23.109, 1.34, -40.18, -23.185]",40.003902797102185
2,9.7,0.2,-27.022,-18.373,8.648999999999997,-22.033,-14.536,7.497000000000002,"[0.558, 0.111, 0.084, 0.119, 0.042, 0.102, 0.103, 0.081, 0.128, 0.167, 1.0, 0.954]","[0.382, 0.15, 0.054, 0.132, 0.038, 0.063, 0.22, 0.088, 0.149, 0.083, 0.549, 1.0]",0.5117176956096007,"[35.377, 39.277, -11.88, -1.497, 60.884, -22.685, -7.616, -26.322, 4.589, -16.954, -25.317, 0.354]","[43.487, 105.016, 4.301, -1.963, 47.645, -32.004, 12.216, -21.394, -16.873, -27.4, -23.68, -2.436]",76.87222292219732
3,14.3,0.2,-28.865,-24.788,4.076999999999998,-17.35,-9.046,8.304000000000002,"[0.369, 0.248, 0.465, 0.837, 0.998, 0.333, 0.219, 1.0, 0.8, 0.456, 0.465, 0.646]","[0.489, 0.366, 0.663, 0.751, 0.895, 0.79, 0.246, 0.588, 0.702, 0.796, 1.0, 1.0]",1.0007996802557442,"[36.782, 54.954, 50.184, -113.666, -31.662, 4.01, -30.742, -32.84, -34.721, 29.452, -2.917, -29.23]","[45.211, 32.468, 39.676, -100.398, -18.309, 22.449, -23.415, -10.728, -28.884, -1.665, 23.249, -33.431]",60.23866817086845
4,14.5,0.3,-18.497,-10.287,8.209999999999999,-14.292,-5.943,8.349,"[0.324, 0.604, 0.325, 0.401, 0.489, 0.513, 0.938, 0.742, 0.408, 0.738, 1.0, 0.611]","[0.284, 0.589, 0.303, 0.225, 0.332, 0.232, 0.62, 0.505, 0.253, 0.35, 1.0, 0.634]",0.6850445241004413,"[40.287, 38.189, -7.369, 70.367, -35.737, 0.463, -38.063, 27.045, -31.757, -24.035, -61.938, -24.582]","[48.328, 56.83, 1.212, 57.815, -30.33, -7.427, -42.775, 24.554, -40.276, -31.76, -44.391, -22.656]",34.743089557493306
5,15.2,0.3,-29.043000000000003,-19.102999999999998,9.940000000000005,-10.306,-3.552,6.754,"[0.433, 0.121, 0.094, 0.587, 0.151, 0.219, 0.264, 0.31, 1.0, 0.093, 0.545, 0.579]","[0.408, 0.103, 0.147, 0.445, 0.147, 0.203, 0.355, 0.254, 0.949, 0.163, 0.463, 1.0]",0.4765259699113995,"[39.03, 52.742, 56.899, -128.469, -8.243, 9.153, -8.57, -7.993, -3.534, 4.102, -3.472, -6.626]","[46.7, 73.851, 46.572, -119.413, -3.955, -4.559, -7.78, -8.135, -14.685, 9.323, -10.315, -11.619]",33.51846264374308
6,15.7,0.5,-19.325,-12.142999999999999,7.182,-16.239,-8.265,7.974,"[0.373, 0.3, 0.054, 0.123, 0.101, 0.18, 0.174, 0.303, 1.0, 0.379, 0.18, 0.163]","[0.31, 0.253, 0.031, 0.046, 0.043, 0.08, 0.119, 0.184, 1.0, 0.4, 0.108, 0.2]",0.2240089283934906,"[40.254, 81.569, 4.425, 17.542, -24.734, -0.401, -33.432, -57.986, -34.715, 5.227, -42.529, -5.468]","[48.044, 92.007, 14.023, 16.142, -12.949, -13.783, -30.165, -36.513, -38.84, 19.877, -31.182, -1.961]",37.76421981188013
7,16.6,0.2,-24.49,-17.253,7.236999999999998,-9.386000000000001,-4.571000000000001,4.815,"[1.0, 0.359, 0.144, 0.035, 0.289, 0.599, 0.066, 0.074, 0.081, 0.268, 0.85, 0.685]","[1.0, 0.345, 0.068, 0.032, 0.141, 0.265, 0.128, 0.112, 0.293, 0.353, 0.762, 0.351]",0.5623148584200848,"[45.909, 16.92, 38.037, 22.267, 36.493, 38.709, 17.954, 20.48, 6.312, 13.347, -18.334, 5.043]","[51.488, 27.19, 19.818, 36.058, 32.932, 10.691, 16.05, 16.364, 10.223, 9.467, -24.616, 10.534]",39.71073439260473
8,16.8,0.2,-21.223000000000003,-16.141,5.082000000000004,-11.24,-6.2,5.04,"[1.0, 0.305, 0.05, 0.034, 0.13, 0.053, 0.07, 0.097, 0.25, 0.46, 0.574, 0.567]","[1.0, 0.173, 0.026, 0.02, 0.067, 0.03, 0.038, 0.054, 0.162, 0.244, 0.591, 0.467]",0.3004263636900064,"[43.085, 19.434, 2.504, 98.19, -19.755, -8.632, -33.315, -22.091, -25.589, -0.762, -51.322, -14.268]","[48.426, 32.354, 1.646, 72.363, -22.99, -4.84, -17.537, -21.801, -21.506, 6.024, -29.966, -13.26]",40.70518556646069
9,18.3,0.2,-24.659000000000002,-16.838,7.8210000000000015,-18.384,-13.251,5.133000000000001,"[0.119, 0.059, 0.138, 0.57, 1.0, 0.862, 0.258, 0.156, 0.215, 0.145, 0.085, 0.229]","[0.147, 0.067, 0.091, 0.446, 1.0, 0.49, 0.141, 0.104, 0.193, 0.124, 0.104, 0.278]",0.42059125050338364,"[36.477, -11.061, -27.497, 57.684, 4.852, -27.67, -12.811, 27.618, -27.573, 10.826, -5.608, 25.003]","[43.325, 0.733, -32.782, 18.093, 4.967, -60.236, -15.133, 13.334, -24.433, -0.837, -5.531, 19.379]",56.823185769543045
10,19.5,0.5,-30.646,-23.878,6.768000000000001,-7.101,-2.475,4.6259999999999994,"[0.414, 0.139, 0.434, 0.419, 0.243, 0.522, 1.0, 0.302, 0.164, 0.135, 0.327, 0.858]","[0.476, 0.151, 0.473, 0.45, 0.253, 0.596, 0.918, 0.295, 0.291, 0.292, 0.461, 1.0]",0.31259718488815597,"[46.563, 23.696, 82.726, 76.72, 79.179, 41.841, 34.435, 27.416, 28.669, -11.805, -48.502, 10.05]","[52.666, 35.449, 78.914, 38.133, 81.979, 29.6, 30.275, 14.282, 29.622, -4.459, -32.266, 13.637]",48.55618763865219
11,20.0,0.5,-29.000999999999998,-18.622,10.378999999999998,-12.415,-6.671,5.743999999999999,"[0.193, 0.416, 0.564, 0.376, 1.0, 0.817, 0.45, 0.191, 0.486, 0.56, 0.727, 0.233]","[0.195, 0.201, 0.385, 0.315, 0.379, 0.373, 0.251, 0.247, 0.362, 1.0, 0.955, 0.354]",0.9915170195210972,"[42.409, -6.418, 48.121, 96.194, 42.698, 12.4, 26.569, 40.57, 11.253, -1.606, -39.438, 14.437]","[47.17, -7.273, 34.219, 33.519, 53.595, 43.784, 34.693, 32.167, 15.3, -3.041, -44.369, 13.291]",73.68306953432383
12,22.4,0.3,-24.596999999999998,-16.238,8.358999999999998,-13.687999999999999,-8.759,4.9289999999999985,"[0.295, 0.193, 0.154, 0.262, 0.139, 0.658, 1.0, 0.482, 0.103, 0.395, 0.356, 0.367]","[0.283, 0.23, 0.169, 0.167, 0.161, 0.332, 1.0, 0.408, 0.06, 0.15, 0.346, 0.284]",0.43802054746324404,"[37.151, -47.205, -20.343, 78.715, 3.307, 27.469, 4.818, 7.225, 0.577, -41.806, -45.741, 5.769]","[43.923, -13.823, -15.962, 99.77, -3.403, -10.307, -2.199, -19.327, -4.632, -30.146, -22.962, 1.447]",67.45126514009948
13,22.7,0.1,-32.427,-25.034000000000002,7.392999999999997,-23.21,-18.582,4.628,"[0.345, 0.152, 0.085, 0.056, 0.04, 0.226, 0.405, 0.088, 0.062, 0.092, 0.354, 1.0]","[0.435, 0.225, 0.174, 0.14, 0.084, 0.294, 0.603, 0.154, 0.106, 0.137, 0.366, 1.0]",0.2874560836023478,"[34.835, 6.645, 26.999, -47.244, -25.984, 16.119, -34.574, 23.772, -29.933, -26.904, 22.55, -15.477]","[39.881, 31.861, 8.358, -37.426, -8.045, -4.5, -37.393, 2.952, -35.508, -11.357, 10.609, -11.378]",52.20860021107634
14,22.8,0.3,-24.712,-20.442,4.27,-19.021,-14.232999999999999,4.788000000000002,"[0.637, 0.036, 0.027, 0.037, 0.048, 0.044, 0.107, 0.06, 0.072, 0.056, 0.097, 1.0]","[0.404, 0.03, 0.019, 0.032, 0.017, 0.019, 0.054, 0.041, 0.101, 0.062, 0.052, 1.0]",0.2491425294886443,"[35.714, 92.001, -46.77, 14.9, -41.16, 8.38, -68.171, -1.788, -14.711, -17.403, -39.414, -15.151]","[40.996, 74.666, -63.655, 4.318, -40.789, -4.865, -53.563, -5.892, -2.863, -16.276, -25.417, -13.237]",38.373330348042515
15,23.4,0.2,-30.756,-23.826,6.93,-22.34,-16.846,5.494,"[1.0, 0.308, 0.007, 0.026, 0.007, 0.013, 0.035, 0.025, 0.061, 0.038, 0.312, 0.294]","[1.0, 0.148, 0.013, 0.031, 0.011, 0.014, 0.034, 0.029, 0.055, 0.037, 0.445, 0.322]",0.2102498513673672,"[34.07, 73.08, -85.429, -15.261, 34.912, -10.578, 5.427, -20.366, 29.159, -23.495, -21.921, 3.382]","[39.339, 81.755, -107.857, -30.676, 44.01, -17.298, 7.254, -6.639, 24.528, -45.174, -11.081, -5.896]",43.10879194549529
16,23.6,0.4,-32.57,-25.392,7.178000000000001,-15.081,-11.242,3.8389999999999986,"[0.092, 0.139, 0.355, 0.254, 1.0, 0.509, 0.432, 0.071, 0.123, 0.173, 0.069, 0.157]","[0.156, 0.155, 0.367, 0.263, 1.0, 0.471, 0.32, 0.082, 0.222, 0.234, 0.182, 0.2]",0.21639316070523118,"[38.371, -59.962, 79.755, -52.165, 49.888, 32.551, 39.025, 33.859, 8.506, 21.553, -18.207, -5.87]","[42.733, -21.841, 48.872, -53.31, 64.314, 15.555, 35.534, 19.418, -2.965, 26.835, -20.412, -3.688]",57.56837644922775
17,24.3,0.2,-31.214000000000002,-23.761,7.453000000000003,-22.781,-18.237000000000002,4.543999999999997,"[0.145, 0.182, 0.343, 1.0, 0.989, 0.71, 0.733, 0.252, 0.373, 0.5, 0.394, 0.273]","[0.181, 0.213, 0.371, 0.649, 1.0, 0.441, 0.355, 0.171, 0.23, 0.221, 0.13, 0.41]",0.7313849875407615,"[33.999, 54.155, -49.54, -21.5, 61.173, -13.746, 19.625, -4.042, 29.016, -31.588, -11.027, -4.411]","[39.299, 65.486, -45.302, -24.853, 82.785, -30.902, 9.022, 5.975, 19.706, -52.922, -5.402, -8.173]",41.802685523779445
