,start_rnd,duration_rnd,loudness_start,rem_loudness_start,loud_start_diff,loudness_max,rem_loudness_max,loud_max_diff,pitches,rem_pitches,pitch_eucl_dist,timbre,rem_timbre,timbre_eucl_dist
0,20.5,0.2,-25.729,-29.695999999999998,-3.9669999999999987,-16.83,-17.552,-0.7220000000000013,"[0.102, 0.161, 0.135, 0.112, 0.688, 0.114, 0.058, 0.031, 0.253, 1.0, 0.264, 0.122]","[0.134, 0.153, 0.301, 0.111, 0.394, 0.052, 0.049, 0.05, 0.328, 1.0, 0.174, 0.25]",0.38662126170194,"[35.648, -35.678, -88.793, 66.222, -48.45, -40.871, -17.32, -27.77, -7.089, 8.097, -29.55, 13.845]","[37.717, 64.298, -9.016, 66.519, -0.94, -7.545, -30.981, -45.628, -1.37, -0.188, -56.421, -3.837]",146.196254011517
1,22.2,0.3,-37.398,-20.477999999999998,16.920000000000005,-18.215999999999998,-9.168,9.047999999999998,"[0.177, 0.203, 0.107, 0.116, 0.987, 0.136, 0.077, 0.083, 0.248, 1.0, 0.142, 0.162]","[0.252, 0.308, 0.279, 0.232, 0.765, 0.187, 0.16, 0.154, 0.179, 1.0, 0.161, 0.271]",0.37484396753849464,"[38.56, 80.123, 38.217, 33.207, 4.936, 4.584, -25.03, -11.198, 15.236, -15.801, -6.325, -7.057]","[45.185, 53.055, -17.24, -19.895, -17.811, 20.343, -10.72, 1.996, 9.509, 7.555, -6.274, -8.482]",91.63423388123022
2,23.9,0.3,-21.416,-12.345999999999998,9.070000000000002,-7.144,-9.807,-2.6630000000000003,"[0.155, 0.151, 0.641, 0.15, 0.086, 0.194, 0.361, 1.0, 0.363, 0.185, 0.101, 0.206]","[0.02, 0.021, 0.321, 0.042, 0.029, 0.034, 0.125, 1.0, 0.185, 0.103, 0.024, 0.094]",0.539087191463496,"[46.246, 81.202, -66.48, -4.292, -1.207, -16.653, -32.644, 25.311, 8.943, -1.619, 29.199, 1.081]","[48.169, 124.808, -51.791, -37.639, 2.41, -31.826, -19.857, -5.661, 12.424, -4.64, -21.322, -7.983]",85.17521003789777
3,26.6,0.1,-31.146,-20.018,11.128,-23.406,-16.597,6.8089999999999975,"[0.267, 0.19, 0.068, 0.078, 0.291, 0.129, 0.255, 0.558, 1.0, 0.805, 0.511, 0.125]","[0.226, 0.138, 0.067, 0.082, 0.236, 0.232, 0.21, 0.357, 0.38, 0.587, 1.0, 0.233]",0.8620736627458236,"[35.728, 67.827, 18.492, -26.544, 21.239, -28.792, -26.782, -27.382, 0.81, 9.169, 3.36, 9.308]","[41.151, 51.502, 45.865, -5.907, 4.69, -15.646, -24.252, 7.538, -12.171, -11.229, -11.642, 21.877]",64.11864002768618
4,31.6,0.5,-27.351999999999997,-22.171,5.180999999999997,-9.076,-4.503,4.573,"[0.07, 0.085, 0.368, 0.102, 0.084, 0.135, 0.134, 1.0, 0.18, 0.121, 0.074, 0.094]","[0.023, 0.035, 0.329, 0.05, 0.033, 0.053, 0.086, 1.0, 0.17, 0.098, 0.029, 0.047]",0.1594553228964151,"[39.576, 51.573, -23.305, -94.988, 3.592, 37.564, 6.713, -22.756, -8.814, 13.604, -43.831, -10.614]","[50.128, 53.594, -20.215, 34.784, -24.863, -18.32, -11.848, -5.102, -6.02, 3.403, 3.148, -6.134]",154.5755343675059
5,41.5,0.2,-17.439,-10.909,6.529999999999999,-11.14,-5.7,5.44,"[0.812, 1.0, 0.479, 0.144, 0.096, 0.095, 0.217, 0.266, 0.164, 0.339, 0.205, 0.336]","[1.0, 0.341, 0.027, 0.078, 0.04, 0.014, 0.112, 0.18, 0.025, 0.029, 0.205, 0.383]",0.9077626341726123,"[46.515, 22.593, 66.042, 17.735, 0.071, -25.992, -13.8, 5.82, -25.707, -12.532, 2.73, -2.543]","[51.88, 31.235, 58.711, 16.009, -5.204, -19.689, 6.739, -18.452, -7.016, 2.94, 5.339, -2.177]",42.82990855698854
6,50.8,0.1,-22.195999999999998,-11.453,10.742999999999999,-15.293,-8.544,6.748999999999999,"[0.066, 0.118, 1.0, 0.323, 0.025, 0.025, 0.459, 0.701, 0.104, 0.088, 0.079, 0.229]","[0.184, 0.16, 0.773, 0.577, 0.119, 0.048, 0.772, 1.0, 0.096, 0.081, 0.033, 0.617]",0.693715359495521,"[42.972, -38.797, 74.216, -32.063, 40.058, -16.187, 15.086, 20.802, -5.263, 11.653, 13.382, 17.408]","[49.966, 5.85, 89.974, 6.941, 48.459, -34.417, 30.009, 1.882, -6.253, 4.685, -9.049, 26.138]",73.65028879780445
7,53.2,0.2,-30.406,-25.906,4.5,-21.121,-16.557000000000002,4.5639999999999965,"[0.494, 0.018, 0.023, 0.011, 0.044, 0.022, 0.183, 0.125, 0.021, 0.021, 0.054, 1.0]","[0.488, 0.019, 0.024, 0.009, 0.042, 0.024, 0.176, 0.116, 0.018, 0.02, 0.058, 1.0]",0.014352700094407327,"[37.103, -11.975, -23.055, -25.262, -33.561, -33.869, -12.077, -1.286, 2.894, 14.461, 5.078, 5.05]","[41.666, -6.593, -17.411, -22.359, -35.363, -33.063, -9.764, -1.33, -0.875, 14.48, 5.275, 4.375]",10.6779182896293
8,56.6,0.2,-24.213,-19.320999999999998,4.892000000000003,-11.844000000000001,-7.434,4.410000000000001,"[0.731, 0.284, 0.055, 0.023, 0.13, 1.0, 0.302, 0.036, 0.031, 0.045, 0.014, 0.052]","[0.769, 0.274, 0.051, 0.024, 0.155, 1.0, 0.28, 0.041, 0.035, 0.048, 0.014, 0.061]",0.052924474489596966,"[41.444, -11.048, 21.151, -30.125, 27.979, 42.934, -1.828, -23.045, 9.424, 0.057, -44.933, 8.951]","[46.525, -6.544, 25.916, -19.356, 26.846, 42.176, -1.353, -22.404, 8.352, 2.706, -39.522, 6.31]",15.221501535656722
9,57.1,0.2,-18.715999999999998,-14.067,4.648999999999997,-11.814,-6.796,5.018,"[1.0, 0.298, 0.066, 0.079, 0.084, 0.034, 0.082, 0.258, 0.045, 0.039, 0.033, 0.487]","[1.0, 0.291, 0.067, 0.088, 0.087, 0.034, 0.096, 0.25, 0.04, 0.045, 0.034, 0.546]",0.06279331174575845,"[46.467, -11.766, 64.709, -1.736, 7.194, -16.76, 11.049, -16.679, -6.983, 5.694, 7.393, -11.36]","[51.541, -1.114, 71.886, 3.098, 4.617, -21.034, 9.293, -17.008, -10.472, 6.64, 3.639, -10.026]",16.465945341825954
10,57.3,0.5,-15.457,-11.148,4.309000000000001,-6.787999999999999,-1.886,4.901999999999999,"[0.072, 0.048, 0.628, 0.1, 0.059, 0.081, 0.12, 1.0, 0.087, 0.144, 0.134, 0.302]","[0.072, 0.059, 0.635, 0.101, 0.064, 0.092, 0.141, 1.0, 0.086, 0.16, 0.143, 0.315]",0.03556683848755748,"[47.713, 67.57, -18.627, 28.278, -1.24, -54.164, -35.672, 29.904, -12.473, -19.763, 3.627, -0.034]","[52.491, 76.647, -6.19, 28.035, -5.167, -60.251, -35.487, 30.665, -16.35, -21.398, -6.527, 0.438]",20.834498530082264
11,57.8,0.2,-19.992,-15.005,4.987,-12.604000000000001,-7.996,4.6080000000000005,"[0.125, 0.13, 0.206, 0.269, 1.0, 0.225, 0.132, 0.115, 0.052, 0.041, 0.038, 0.4]","[0.149, 0.176, 0.232, 0.336, 1.0, 0.244, 0.156, 0.119, 0.062, 0.053, 0.046, 0.428]",0.09950879358127099,"[42.624, 66.544, -46.126, 9.862, -19.951, -57.001, -27.969, -7.426, -18.022, -8.197, -8.296, -1.488]","[47.49, 72.442, -35.311, 11.266, -24.709, -44.672, -25.777, -6.532, -21.716, -6.598, 2.299, -2.587]",22.075121041570757
12,59.5,0.2,-18.735,-14.297,4.437999999999999,-12.772,-8.285,4.487,"[0.517, 0.719, 0.82, 1.0, 0.854, 0.97, 0.455, 0.379, 0.425, 0.593, 0.287, 0.396]","[0.532, 0.745, 0.877, 1.0, 0.866, 0.931, 0.44, 0.373, 0.419, 0.554, 0.282, 0.391]",0.08765272385955838,"[40.842, 169.069, 7.127, 96.548, 58.546, -50.692, -25.391, 106.392, 16.158, -2.867, -24.104, -8.506]","[45.498, 171.557, 14.446, 95.715, 53.791, -46.82, -22.289, 104.253, 11.794, -0.345, -25.202, -8.292]",12.67227856385741
13,60.2,0.5,-27.899,-23.480999999999998,4.418000000000003,-9.305,-4.906000000000001,4.398999999999999,"[0.145, 0.195, 0.174, 0.152, 0.405, 0.164, 0.149, 0.259, 0.479, 1.0, 0.349, 0.104]","[0.152, 0.202, 0.174, 0.161, 0.397, 0.165, 0.155, 0.278, 0.53, 1.0, 0.335, 0.099]",0.05884725991921803,"[42.628, -0.547, -33.849, 84.9, 51.09, 38.025, 25.545, 25.898, 10.793, 43.626, -15.308, 1.703]","[47.241, 2.309, -25.349, 92.373, 46.394, 25.108, 24.484, 28.56, 9.671, 42.26, -24.679, 1.114]",21.117123525707754
14,60.7,0.2,-39.294000000000004,-34.726,4.568000000000005,-10.921,-6.5760000000000005,4.344999999999999,"[0.106, 0.155, 0.137, 0.086, 0.573, 0.174, 0.124, 0.079, 0.238, 1.0, 0.284, 0.082]","[0.112, 0.158, 0.149, 0.095, 0.58, 0.172, 0.127, 0.077, 0.285, 1.0, 0.267, 0.092]",0.05416641025580334,"[40.666, 12.143, -115.882, 95.927, 28.779, -11.619, -11.617, 38.609, 8.837, 16.391, -23.946, 11.888]","[45.355, 16.288, -106.751, 98.051, 25.23, -18.817, -9.373, 39.987, 6.276, 11.251, -30.764, 15.813]",17.12496359120217
15,62.1,0.5,-37.7,-33.003,4.697000000000003,-9.184,-4.772,4.411999999999999,"[0.116, 0.195, 0.199, 0.238, 0.681, 0.464, 0.254, 0.126, 0.185, 1.0, 0.356, 0.163]","[0.096, 0.171, 0.19, 0.238, 0.662, 0.443, 0.209, 0.094, 0.203, 1.0, 0.369, 0.143]",0.07616429609731849,"[31.151, -70.911, 0.054, -185.579, 35.612, 48.171, 25.006, 23.946, 20.98, -8.772, -52.012, -4.046]","[39.296, -42.767, 13.409, -116.034, 41.686, 118.283, 37.945, 21.909, 20.556, -21.554, -65.092, -7.142]",106.49729028008177
16,62.9,0.2,-20.355999999999998,-15.883,4.472999999999999,-15.582,-11.002,4.58,"[0.039, 0.112, 0.509, 0.182, 0.574, 0.108, 0.035, 0.236, 0.292, 1.0, 0.235, 0.124]","[0.043, 0.108, 0.56, 0.187, 0.578, 0.119, 0.038, 0.245, 0.316, 1.0, 0.219, 0.127]",0.06104096984812746,"[40.823, -44.591, 8.236, 32.863, 21.131, -18.523, -2.2, 18.037, -12.189, 22.06, -56.277, -11.66]","[45.429, -37.684, 13.431, 39.613, 16.687, -16.886, -2.241, 20.482, -13.06, 19.961, -59.162, -10.95]",13.559970058963996
17,63.1,0.5,-29.781,-26.415,3.3659999999999997,-8.252,-3.858,4.394,"[0.49, 0.029, 0.028, 0.027, 0.073, 1.0, 0.093, 0.057, 0.026, 0.08, 0.045, 0.033]","[0.516, 0.03, 0.037, 0.033, 0.095, 1.0, 0.095, 0.066, 0.03, 0.084, 0.054, 0.042]",0.03945883931389774,"[47.15, 80.596, -40.094, 2.688, -10.29, -11.834, -26.961, 17.883, -2.972, -7.655, 30.284, 2.375]","[51.955, 91.822, -27.316, 2.948, -16.102, -22.244, -26.844, 19.449, -6.369, -7.933, 22.256, 4.835]",23.220395151676467
18,64.6,0.2,-14.692,-10.048,4.644,-9.124,-4.933,4.191000000000001,"[0.398, 0.398, 1.0, 0.195, 0.079, 0.088, 0.119, 0.063, 0.035, 0.322, 0.033, 0.07]","[0.392, 0.426, 1.0, 0.198, 0.085, 0.088, 0.107, 0.061, 0.035, 0.306, 0.027, 0.062]",0.036999999999999984,"[45.219, 25.504, -28.493, 40.927, -9.79, -62.781, -15.995, -5.83, -5.739, -12.51, -21.286, 19.026]","[49.545, 30.843, -19.681, 37.461, -14.382, -61.628, -12.436, -6.358, -5.91, -17.081, -23.482, 17.08]",14.204838929041046
19,66.3,0.2,-23.294,-18.799,4.495000000000001,-14.171,-9.597999999999999,4.573,"[0.619, 0.113, 0.988, 0.275, 0.141, 0.042, 0.356, 1.0, 0.108, 0.126, 0.054, 0.513]","[0.389, 0.093, 0.579, 0.258, 0.126, 0.042, 0.471, 1.0, 0.122, 0.052, 0.027, 0.345]",0.5185990744303349,"[43.327, -19.748, 77.066, -37.202, 29.88, 7.197, 14.497, 0.005, -12.504, -4.849, 17.849, 20.84]","[47.644, -13.045, 82.203, -42.038, 27.453, 10.606, 14.323, -0.191, -12.675, -3.311, 16.411, 19.491]",11.71345358978299
