,start_rnd,duration_rnd,loudness_start,rem_loudness_start,loud_start_diff,loudness_max,rem_loudness_max,loud_max_diff,pitches,rem_pitches,pitch_eucl_dist,timbre,rem_timbre,timbre_eucl_dist
0,0.0,0.2,-21.085,-18.824,2.2609999999999992,-10.639000000000001,-7.891,2.748000000000001,"[0.42, 1.0, 0.299, 0.534, 0.41, 0.202, 0.215, 0.358, 0.074, 0.077, 0.126, 0.458]","[0.358, 1.0, 0.508, 0.538, 0.349, 0.181, 0.248, 0.338, 0.07, 0.077, 0.074, 0.358]",0.2567333246775728,"[43.819, 45.836, -75.004, 32.053, -20.997, 23.995, -14.786, -0.598, 41.472, -16.867, -46.961, 14.894]","[45.262, 51.854, -36.688, 6.446, -12.351, 22.014, -15.483, 16.458, 24.597, 6.064, -63.022, 18.13]",60.09348802490999
1,0.2,0.3,-30.234,-30.06,0.17400000000000304,-3.8569999999999998,-2.545,1.3119999999999998,"[0.091, 0.078, 0.026, 0.041, 0.151, 0.091, 0.106, 0.127, 0.513, 1.0, 0.295, 0.108]","[0.104, 0.083, 0.028, 0.036, 0.142, 0.085, 0.112, 0.154, 0.544, 1.0, 0.314, 0.116]",0.049909918853871145,"[40.773, 114.341, -44.156, -61.226, -3.275, 62.473, -23.801, 40.271, 29.688, 15.689, -74.923, 7.379]","[40.446, 110.522, -52.877, -90.571, -9.542, 64.778, -22.587, 31.695, 39.366, 1.261, -55.715, 3.512]",41.91918728935474
2,0.5,0.2,-32.272,-31.791,0.4809999999999981,-3.1069999999999998,-0.618,2.489,"[0.375, 0.081, 0.042, 0.058, 0.047, 0.059, 0.11, 0.054, 0.07, 0.081, 0.328, 1.0]","[0.396, 0.081, 0.04, 0.053, 0.044, 0.052, 0.105, 0.058, 0.073, 0.089, 0.332, 1.0]",0.025651510676761333,"[46.703, 151.416, -93.053, 106.314, 13.98, 18.611, -61.783, 55.625, 18.311, 26.919, -12.256, 9.661]","[48.044, 153.44, -97.304, 108.971, 17.919, 47.965, -56.244, 58.373, 23.738, 24.918, -6.595, 4.475]",32.23086123577836
3,0.8,0.1,-31.537,-30.97,0.5670000000000002,-12.466,-12.122,0.3439999999999994,"[0.267, 0.312, 0.21, 0.563, 1.0, 0.345, 0.159, 0.148, 0.184, 0.209, 0.161, 0.085]","[0.341, 0.39, 0.249, 0.578, 1.0, 0.383, 0.21, 0.196, 0.233, 0.258, 0.207, 0.092]",0.1631624956906458,"[42.751, 108.719, 51.156, 63.053, 44.307, -22.838, -5.786, 93.541, -8.164, -4.171, 1.112, 38.102]","[43.297, 114.255, 45.015, 58.432, 39.334, -11.013, 1.978, 96.793, -10.473, 10.432, -2.852, 38.462]",23.66113847641318
4,1.1,0.1,-28.755,-26.885,1.8699999999999974,-8.89,-7.444,1.4460000000000006,"[0.594, 1.0, 0.313, 0.178, 0.099, 0.12, 0.067, 0.033, 0.067, 0.096, 0.17, 0.028]","[0.589, 1.0, 0.298, 0.169, 0.095, 0.115, 0.056, 0.025, 0.066, 0.095, 0.175, 0.026]",0.02424871130596428,"[44.861, 64.907, -1.86, -40.53, -35.053, 63.936, -21.099, 31.871, 27.884, -30.017, -19.92, -40.43]","[45.862, 63.331, -8.633, -54.545, -38.254, 69.779, -16.047, 31.285, 28.851, -21.545, -26.884, -38.618]",20.988644405963903
5,1.3,0.2,-21.565,-19.361,2.2040000000000006,-5.872999999999999,-4.362,1.5109999999999992,"[0.073, 0.202, 0.137, 0.707, 1.0, 0.313, 0.059, 0.069, 0.09, 0.072, 0.089, 0.214]","[0.069, 0.206, 0.14, 0.725, 1.0, 0.311, 0.061, 0.066, 0.08, 0.061, 0.086, 0.203]",0.027073972741361762,"[45.991, 110.474, -24.912, 84.966, -13.297, 13.374, -43.763, 62.518, 10.144, -24.379, -30.28, -15.735]","[46.787, 106.459, -39.732, 82.255, -19.438, 24.062, -38.101, 65.373, 9.266, -23.239, -33.784, -17.839]",21.322888453490535
6,1.5,0.3,-32.59,-31.4,1.1900000000000048,-1.9669999999999999,0.723,2.69,"[0.265, 0.98, 1.0, 0.272, 0.119, 0.108, 0.084, 0.08, 0.134, 0.217, 0.092, 0.104]","[0.28, 0.995, 1.0, 0.283, 0.125, 0.102, 0.079, 0.074, 0.124, 0.209, 0.084, 0.1]",0.030789608636681308,"[47.106, 88.759, -25.197, 113.987, 35.671, 70.169, -18.456, 34.985, 3.573, 43.3, 45.404, -12.759]","[49.916, 85.634, -40.112, 139.17, 30.661, 51.242, -23.269, 37.961, 9.733, 35.038, 29.547, -11.052]",40.62289939184548
7,1.8,0.2,-25.464000000000002,-25.164,0.3000000000000007,-6.48,-5.093999999999999,1.386000000000001,"[0.1, 0.205, 0.122, 0.684, 1.0, 0.358, 0.073, 0.087, 0.064, 0.044, 0.079, 0.187]","[0.097, 0.214, 0.123, 0.697, 1.0, 0.35, 0.071, 0.074, 0.056, 0.039, 0.078, 0.182]",0.024738633753705917,"[47.511, 69.869, 7.686, 65.203, 4.248, 12.783, 9.333, -10.077, -11.13, -23.469, -20.855, -3.041]","[48.269, 72.31, 2.072, 60.337, 1.998, 25.641, 9.152, -5.792, -8.19, -23.809, -20.479, -1.923]",16.14506571680648
8,2.0,0.2,-25.788,-25.504,0.2839999999999989,-9.443,-7.24,2.2029999999999994,"[1.0, 0.832, 0.274, 0.116, 0.115, 0.052, 0.181, 0.309, 0.13, 0.058, 0.062, 0.511]","[1.0, 0.855, 0.282, 0.12, 0.115, 0.057, 0.168, 0.297, 0.138, 0.057, 0.054, 0.506]",0.03318132004607412,"[45.0, 52.732, -63.937, 7.329, -30.624, 29.841, -20.015, 24.634, 38.241, -13.595, -13.105, -0.111]","[46.092, 50.259, -71.846, 8.4, -29.79, 52.103, -17.881, 28.585, 39.474, -10.629, -16.603, -0.392]",24.700131214226374
9,2.2,0.3,-24.272,-23.605,0.666999999999998,-5.012,-3.94,1.0719999999999996,"[0.091, 0.074, 0.038, 0.092, 0.267, 0.117, 0.14, 0.142, 0.522, 1.0, 0.335, 0.132]","[0.088, 0.07, 0.036, 0.09, 0.26, 0.122, 0.132, 0.141, 0.554, 1.0, 0.343, 0.133]",0.03551056180912943,"[43.222, 117.626, -18.603, -27.303, 6.094, 71.885, -8.864, 43.535, 23.153, 2.998, -72.934, 7.801]","[45.139, 129.353, -32.597, 8.351, 4.323, 87.72, -8.004, 52.838, 23.39, 7.142, -64.984, 2.829]",45.32723722002037
