start,duration,confidence,loudness_start,loudness_max_time,loudness_max,loudness_end,pitches,timbre
0.0,0.2961,0.0,-60.0,0.24596,-53.03,0.0,"[0.89, 1.0, 0.693, 0.547, 0.378, 0.414, 0.495, 0.425, 0.351, 0.323, 0.39, 0.659]","[0.984, 148.818, 0.517, -54.676, 56.376, -53.486, 16.663, -25.965, -26.274, 2.442, -5.568, -7.649]"
0.2961,0.13546,1.0,-53.476,0.02531,-36.512,0.0,"[0.384, 0.296, 0.255, 0.156, 0.284, 0.566, 0.489, 0.433, 0.856, 0.965, 1.0, 0.216]","[21.278, -229.667, -166.415, -63.109, 52.17, -66.568, 4.932, 36.935, -11.695, -7.568, -2.246, 0.037]"
0.43156,0.13234,0.53,-43.267,0.02876,-36.398,0.0,"[0.353, 0.162, 0.45, 0.791, 0.432, 0.386, 0.603, 0.889, 1.0, 0.496, 0.184, 0.269]","[22.636, -232.844, -146.453, -89.755, 54.528, -67.531, 6.923, 29.249, -18.236, 5.642, 21.785, -3.206]"
0.5639,0.27424,1.0,-39.457,0.01232,-8.945,0.0,"[0.889, 0.204, 0.134, 0.059, 0.729, 1.0, 0.086, 0.117, 0.297, 0.155, 0.065, 0.739]","[37.498, 1.145, -161.925, 162.215, -15.4, -77.86, -46.5, -21.228, 16.722, 9.684, -68.63, 27.416]"
0.83814,0.22322,0.699,-45.709,0.01215,-33.626,0.0,"[0.808, 1.0, 0.501, 0.749, 0.754, 0.727, 0.547, 0.255, 0.186, 0.321, 0.292, 0.651]","[17.314, 156.056, -115.166, 113.947, 1.752, -53.276, -48.381, -8.773, -17.288, -8.845, -43.499, 2.449]"
1.06136,0.31438,1.0,-56.488,0.05923,-8.978,0.0,"[1.0, 0.429, 0.373, 0.737, 0.353, 0.609, 0.2, 0.319, 0.272, 0.169, 0.288, 0.875]","[28.105, 33.023, -78.578, -119.59, 42.208, 272.77, 21.611, 18.674, -1.9, 23.523, -103.572, 19.563]"
1.37574,0.20023,0.628,-44.132,0.02286,-32.09,0.0,"[0.961, 1.0, 0.085, 0.111, 0.111, 0.533, 0.962, 0.139, 0.172, 0.159, 0.14, 0.556]","[19.127, 172.955, -109.021, 112.104, 7.58, -53.182, -38.969, -15.374, -9.118, -20.612, -45.527, 11.496]"
1.57596,0.35184,1.0,-56.438,0.0752,-9.976,0.0,"[0.751, 0.338, 0.197, 0.347, 0.687, 0.762, 0.126, 0.239, 0.255, 0.113, 0.1, 1.0]","[16.708, 49.813, -15.696, -238.64, 19.581, 78.146, 31.166, -46.556, -21.045, 50.834, -109.006, 33.493]"
1.9278,0.26113,0.635,-47.879,0.01438,-36.937,0.0,"[0.894, 0.9, 0.41, 0.239, 0.56, 0.407, 0.282, 0.315, 0.187, 1.0, 0.784, 0.517]","[14.936, 144.242, -92.339, 98.969, 19.792, -70.092, -35.048, -23.789, -1.757, 1.452, -36.986, 18.7]"
2.18893,0.28726,1.0,-55.56,0.02233,-8.373,0.0,"[0.791, 0.505, 0.231, 0.83, 0.749, 0.497, 0.489, 0.833, 0.34, 0.197, 0.167, 1.0]","[38.437, 80.767, -140.457, 203.859, -24.062, -39.891, -49.724, 58.1, 6.008, -36.014, -76.47, 35.341]"
2.47619,0.12363,1.0,-50.961,0.01621,-33.051,0.0,"[1.0, 0.663, 0.487, 0.566, 0.501, 0.491, 0.369, 0.289, 0.464, 0.525, 0.658, 0.298]","[21.042, 177.258, -30.677, 67.576, 39.976, -55.468, -50.571, -47.642, -5.244, 17.291, -35.808, 7.188]"
2.59982,0.12467,0.82,-48.701,0.02602,-34.545,0.0,"[1.0, 0.683, 0.413, 0.383, 0.406, 0.65, 0.166, 0.092, 0.472, 0.499, 0.26, 0.473]","[22.941, -224.744, -148.888, -61.664, 46.216, -74.854, -5.541, 17.549, -3.632, 5.983, -4.036, 7.497]"
2.72449,0.28195,1.0,-40.337,0.02185,-9.759,0.0,"[0.818, 0.263, 0.084, 0.117, 0.478, 1.0, 0.171, 0.154, 0.22, 0.168, 0.11, 0.446]","[35.929, 1.146, -191.381, 165.681, 5.324, 34.405, -29.242, -1.332, 31.247, -21.809, -4.65, 7.848]"
3.00644,0.27247,1.0,-45.033,0.02392,-27.279,0.0,"[0.705, 0.107, 0.221, 0.24, 1.0, 0.923, 0.138, 0.109, 0.477, 0.17, 0.046, 0.855]","[26.518, -127.495, -184.345, 21.666, 40.034, -38.074, -20.728, -39.516, 13.879, -6.225, -11.15, 7.07]"
3.27891,0.26626,1.0,-47.202,0.01077,-8.614,0.0,"[0.439, 0.223, 0.339, 0.54, 0.298, 0.207, 0.085, 0.632, 1.0, 0.082, 0.217, 0.512]","[40.636, 34.449, -150.009, 128.544, -18.279, -56.574, -54.599, -3.34, 4.353, -30.901, -66.945, 24.711]"
3.54517,0.28277,1.0,-41.282,0.02712,-23.768,0.0,"[0.461, 0.527, 0.33, 0.317, 0.556, 0.625, 0.297, 0.202, 0.391, 0.895, 1.0, 0.543]","[28.737, -73.65, -191.218, 22.961, 39.561, -8.163, -20.321, -91.804, 23.487, -3.381, 1.079, 4.66]"
3.82794,0.25855,1.0,-39.452,0.01506,-10.519,0.0,"[0.851, 0.521, 0.119, 0.277, 0.628, 0.798, 0.229, 0.31, 0.21, 0.581, 0.588, 1.0]","[35.072, 80.159, -160.783, 208.368, -23.587, -39.765, -46.675, 39.639, 18.628, -12.661, -61.584, 13.309]"
4.08649,0.27923,1.0,-52.871,0.03613,-33.282,0.0,"[1.0, 0.887, 0.172, 0.212, 0.176, 0.478, 0.229, 0.091, 0.083, 0.161, 0.233, 0.49]","[15.114, 181.25, -103.031, 107.755, 15.263, 58.733, -9.017, -3.968, 9.064, -26.466, -13.603, -11.438]"
