start,duration,confidence,loudness_start,loudness_max_time,loudness_max,loudness_end,pitches,timbre
0.0,0.39583,1.0,-60.0,0.27953,-31.53,0.0,"[0.173, 0.296, 0.365, 0.374, 0.57, 0.605, 0.401, 0.482, 0.677, 1.0, 0.825, 0.259]","[6.072, 60.667, 12.632, -171.487, 52.332, -61.251, 57.401, -153.213, -35.876, 16.736, 28.4, -5.362]"
0.39583,0.12023,0.589,-37.984,0.01888,-30.624,0.0,"[0.351, 0.155, 0.394, 0.687, 0.461, 0.386, 0.616, 0.858, 1.0, 0.553, 0.269, 0.22]","[27.491, -293.557, -142.252, -60.457, 31.325, -70.44, 4.362, 31.334, -12.465, -13.53, -2.248, -2.41]"
0.51605,0.27937,1.0,-35.54,0.01863,-2.509,0.0,"[1.0, 0.253, 0.134, 0.059, 0.672, 0.97, 0.084, 0.125, 0.304, 0.151, 0.063, 0.814]","[43.503, -2.558, -164.192, 168.867, -18.66, -37.273, -41.655, -22.919, 14.347, 24.909, -45.613, 23.811]"
0.79542,0.21478,0.756,-40.844,0.0155,-27.589,0.0,"[0.988, 1.0, 0.456, 0.651, 0.669, 0.695, 0.521, 0.236, 0.171, 0.299, 0.31, 0.649]","[23.127, 155.413, -111.603, 118.228, -12.956, -56.346, -60.724, -20.354, -12.017, -3.359, -44.179, 6.268]"
1.0102,0.32063,1.0,-50.552,0.06801,-2.917,0.0,"[1.0, 0.453, 0.355, 0.667, 0.317, 0.574, 0.192, 0.325, 0.253, 0.165, 0.27, 0.887]","[30.982, 17.101, -28.58, -204.585, 28.987, 223.453, 21.102, 14.49, -0.997, 19.071, -145.188, 26.437]"
1.33084,0.20168,0.664,-37.87,0.02757,-25.639,0.0,"[0.986, 1.0, 0.073, 0.084, 0.08, 0.36, 0.665, 0.107, 0.139, 0.117, 0.099, 0.44]","[24.878, 173.355, -111.164, 133.67, -2.8, -37.987, -39.862, -8.886, -1.969, -24.089, -47.227, 17.366]"
1.53252,0.35129,1.0,-51.337,0.07534,-3.765,0.0,"[0.782, 0.36, 0.183, 0.289, 0.595, 0.737, 0.125, 0.234, 0.246, 0.113, 0.096, 1.0]","[23.302, 21.171, -3.871, -229.009, 6.942, 80.795, 23.418, -27.328, -11.463, 55.743, -109.041, 42.845]"
1.88381,0.26354,0.686,-42.622,0.01325,-30.343,0.0,"[0.881, 1.0, 0.348, 0.232, 0.46, 0.355, 0.258, 0.302, 0.172, 0.813, 0.677, 0.469]","[20.532, 136.076, -84.084, 105.887, 1.377, -82.571, -42.294, -43.998, 3.182, 1.78, -34.645, 16.191]"
2.14735,0.28531,1.0,-50.163,0.02077,-1.438,0.0,"[0.827, 0.509, 0.205, 0.664, 0.619, 0.475, 0.479, 0.788, 0.352, 0.167, 0.137, 1.0]","[44.873, 84.326, -137.034, 209.066, -34.956, -43.957, -52.051, 58.194, 12.326, -40.493, -80.032, 34.151]"
2.43265,0.12082,1.0,-46.238,0.01662,-25.236,0.0,"[1.0, 0.557, 0.421, 0.499, 0.389, 0.379, 0.301, 0.244, 0.431, 0.477, 0.555, 0.228]","[27.425, 171.644, -35.298, 92.364, 29.073, -49.498, -53.294, -32.623, -1.594, 23.259, -37.589, 7.082]"
